"trial_number","layer_from","node_from","layer_to","node_to"
446,1,216,"2",216
446,1,216,"5",216
446,1,216,"6",216
446,1,216,"8",216
446,1,238,"5",238
446,1,274,"2",274
446,1,274,"3",274
446,1,274,"5",274
446,1,274,"6",274
446,1,274,"7",274
446,1,274,"8",274
446,1,266,"3",266
446,1,266,"4",266
446,1,266,"7",266
446,1,275,"2",275
446,1,275,"3",275
446,1,275,"4",275
446,1,275,"5",275
446,1,275,"6",275
446,1,275,"7",275
446,1,275,"8",275
446,1,275,"9",275
446,1,77,"9",77
446,1,217,"2",217
446,1,217,"3",217
446,1,217,"8",217
446,1,59,"6",59
446,1,115,"7",115
446,1,241,"4",241
446,1,241,"6",241
446,1,215,"3",215
446,1,284,"2",284
446,1,284,"3",284
446,1,284,"4",284
446,1,284,"5",284
446,1,284,"7",284
446,1,284,"8",284
446,1,284,"9",284
446,1,227,"5",227
446,1,163,"3",163
446,1,163,"4",163
446,1,163,"8",163
446,1,163,"9",163
446,1,99,"5",99
446,1,175,"8",175
446,1,114,"2",114
446,1,170,"2",170
446,1,170,"3",170
446,1,170,"6",170
446,1,170,"7",170
446,1,170,"8",170
446,1,170,"9",170
446,1,146,"9",146
446,1,108,"3",108
446,1,92,"2",92
446,1,92,"3",92
446,1,92,"4",92
446,1,92,"5",92
446,1,92,"7",92
446,1,92,"8",92
446,1,92,"9",92
446,1,212,"2",212
446,1,141,"4",141
446,1,141,"5",141
446,1,141,"7",141
446,1,101,"3",101
446,1,101,"4",101
446,1,101,"5",101
446,1,101,"6",101
446,1,106,"7",106
446,1,187,"3",187
446,1,187,"4",187
446,1,187,"5",187
446,1,187,"8",187
446,1,187,"9",187
446,10,130,"11",130
446,10,274,"11",274
446,10,274,"12",274
446,10,274,"13",274
446,10,274,"14",274
446,10,275,"12",275
446,10,275,"14",275
446,10,216,"11",216
446,10,60,"12",60
446,10,60,"13",60
446,10,92,"13",92
446,10,92,"14",92
446,10,50,"14",50
446,10,55,"11",55
446,10,55,"12",55
446,10,55,"13",55
446,10,55,"14",55
446,10,165,"11",165
446,10,165,"12",165
446,10,104,"13",104
446,10,253,"12",253
446,10,111,"11",111
446,10,111,"12",111
446,10,111,"13",111
446,10,111,"14",111
446,10,187,"11",187
446,10,187,"12",187
446,10,187,"13",187
446,10,211,"12",211
446,10,211,"14",211
446,10,163,"11",163
446,10,163,"12",163
446,10,163,"13",163
446,10,163,"14",163
446,10,238,"13",238
446,10,95,"14",95
446,10,278,"11",278
446,10,225,"11",225
446,10,140,"11",140
446,10,143,"12",143
446,10,242,"11",242
446,10,242,"14",242
446,10,236,"12",236
446,10,138,"11",138
446,10,138,"14",138
446,10,88,"13",88
446,11,274,"10",274
446,11,274,"12",274
446,11,274,"13",274
446,11,274,"14",274
446,11,242,"10",242
446,11,242,"14",242
446,11,130,"10",130
446,11,276,"13",276
446,11,192,"12",192
446,11,187,"10",187
446,11,187,"12",187
446,11,187,"13",187
446,11,278,"10",278
446,11,254,"12",254
446,11,111,"10",111
446,11,111,"12",111
446,11,111,"13",111
446,11,111,"14",111
446,11,216,"10",216
446,11,138,"10",138
446,11,138,"14",138
446,11,225,"10",225
446,11,141,"13",141
446,11,140,"10",140
446,11,217,"13",217
446,11,165,"10",165
446,11,165,"12",165
446,11,163,"10",163
446,11,163,"12",163
446,11,163,"13",163
446,11,163,"14",163
446,11,126,"12",126
