"trial_number","layer_from","node_from","layer_to","node_to"
620,1,266,"8",266
620,1,275,"3",275
620,1,275,"4",275
620,1,275,"5",275
620,1,275,"6",275
620,1,275,"7",275
620,1,275,"8",275
620,1,275,"9",275
620,1,170,"2",170
620,1,170,"3",170
620,1,170,"4",170
620,1,170,"5",170
620,1,170,"6",170
620,1,170,"7",170
620,1,170,"9",170
620,1,216,"2",216
620,1,216,"9",216
620,1,55,"2",55
620,1,55,"5",55
620,1,55,"6",55
620,1,55,"7",55
620,1,55,"8",55
620,1,55,"9",55
620,1,274,"2",274
620,1,274,"3",274
620,1,274,"4",274
620,1,274,"5",274
620,1,274,"6",274
620,1,274,"7",274
620,1,274,"8",274
620,1,274,"9",274
620,1,92,"2",92
620,1,92,"3",92
620,1,92,"4",92
620,1,92,"5",92
620,1,92,"6",92
620,1,126,"6",126
620,1,126,"8",126
620,1,126,"9",126
620,1,163,"2",163
620,1,163,"3",163
620,1,163,"4",163
620,1,163,"5",163
620,1,163,"9",163
620,1,167,"4",167
620,1,242,"2",242
620,1,242,"3",242
620,1,242,"4",242
620,1,242,"6",242
620,1,217,"2",217
620,1,217,"3",217
620,1,217,"7",217
620,1,114,"4",114
620,1,197,"3",197
620,1,190,"4",190
620,1,190,"8",190
620,1,50,"3",50
620,1,50,"5",50
620,1,50,"6",50
620,1,50,"9",50
620,1,111,"2",111
620,1,111,"3",111
620,1,111,"6",111
620,1,111,"7",111
620,1,111,"8",111
620,1,111,"9",111
620,1,236,"3",236
620,1,254,"4",254
620,1,254,"8",254
620,1,284,"4",284
620,1,284,"5",284
620,1,284,"6",284
620,1,284,"7",284
620,1,284,"8",284
620,1,165,"3",165
620,1,165,"4",165
620,1,165,"6",165
620,1,165,"7",165
620,1,165,"8",165
620,1,165,"9",165
620,1,101,"5",101
620,1,101,"7",101
620,1,101,"9",101
620,1,226,"4",226
620,10,109,"13",109
620,10,60,"12",60
620,10,274,"13",274
620,10,274,"14",274
620,10,92,"11",92
620,10,92,"12",92
620,10,92,"13",92
620,10,92,"14",92
620,10,140,"11",140
620,10,235,"11",235
620,10,235,"13",235
620,10,163,"11",163
620,10,163,"12",163
620,10,163,"13",163
620,10,215,"14",215
620,10,50,"11",50
620,10,50,"12",50
620,10,284,"11",284
620,10,284,"14",284
620,10,270,"12",270
620,10,270,"13",270
620,10,56,"12",56
620,10,56,"14",56
620,10,139,"14",139
620,10,239,"14",239
620,10,101,"12",101
620,10,101,"13",101
620,10,225,"11",225
620,10,98,"14",98
620,10,192,"14",192
620,10,242,"13",242
620,10,216,"11",216
620,10,216,"12",216
620,10,216,"14",216
620,10,210,"11",210
620,10,141,"12",141
620,10,141,"13",141
620,10,275,"11",275
620,10,275,"13",275
620,10,275,"14",275
620,10,55,"11",55
620,10,55,"13",55
620,10,55,"14",55
620,11,92,"10",92
620,11,92,"12",92
620,11,92,"13",92
620,11,92,"14",92
620,11,165,"13",165
620,11,165,"14",165
620,11,50,"10",50
620,11,50,"12",50
620,11,284,"10",284
620,11,284,"14",284
620,11,210,"10",210
620,11,55,"10",55
620,11,55,"13",55
620,11,55,"14",55
620,11,163,"10",163
620,11,163,"12",163
620,11,163,"13",163
620,11,130,"14",130
620,11,170,"12",170
620,11,170,"13",170
620,11,217,"14",217
620,11,241,"12",241
620,11,140,"10",140
620,11,225,"10",225
620,11,235,"10",235
620,11,235,"13",235
620,11,216,"10",216
620,11,216,"12",216
620,11,216,"14",216
620,11,187,"13",187
620,11,187,"14",187
620,11,138,"12",138
