"trial_number","layer_from","node_from","layer_to","node_to"
409,1,206,"5",206
409,1,40,"5",40
409,1,275,"2",275
409,1,275,"4",275
409,1,275,"5",275
409,1,275,"6",275
409,1,275,"7",275
409,1,266,"3",266
409,1,141,"2",141
409,1,141,"5",141
409,1,226,"2",226
409,1,101,"2",101
409,1,101,"3",101
409,1,101,"4",101
409,1,101,"5",101
409,1,101,"6",101
409,1,145,"2",145
409,1,187,"2",187
409,1,187,"5",187
409,1,187,"6",187
409,1,187,"7",187
409,1,211,"4",211
409,1,211,"7",211
409,1,219,"2",219
409,1,284,"2",284
409,1,284,"4",284
409,1,284,"5",284
409,1,284,"6",284
409,1,284,"7",284
409,1,170,"2",170
409,1,170,"3",170
409,1,170,"4",170
409,1,170,"5",170
409,1,170,"6",170
409,1,276,"3",276
409,1,276,"7",276
409,1,111,"2",111
409,1,111,"3",111
409,1,111,"5",111
409,1,111,"6",111
409,1,242,"5",242
409,1,242,"6",242
409,1,242,"7",242
409,1,163,"3",163
409,1,163,"4",163
409,1,163,"5",163
409,1,163,"6",163
409,1,163,"7",163
409,1,188,"2",188
409,1,274,"3",274
409,1,274,"4",274
409,1,274,"5",274
409,1,274,"6",274
409,1,274,"7",274
409,1,241,"4",241
409,1,126,"6",126
409,1,126,"7",126
409,1,98,"3",98
409,1,98,"6",98
409,1,143,"6",143
409,1,96,"6",96
409,1,254,"5",254
409,1,254,"7",254
409,1,112,"7",112
409,1,92,"2",92
409,1,92,"3",92
409,1,92,"4",92
409,1,92,"6",92
409,1,92,"7",92
409,1,192,"2",192
409,1,192,"7",192
409,1,197,"5",197
409,1,218,"6",218
409,1,137,"7",137
409,1,165,"2",165
409,1,165,"3",165
409,1,165,"4",165
409,1,165,"7",165
409,1,216,"2",216
409,1,216,"5",216
409,1,216,"7",216
409,2,216,"1",216
409,2,216,"5",216
409,2,216,"7",216
409,2,187,"1",187
409,2,187,"5",187
409,2,187,"6",187
409,2,187,"7",187
409,2,275,"1",275
409,2,275,"4",275
409,2,275,"5",275
409,2,275,"6",275
409,2,275,"7",275
409,2,108,"7",108
409,2,56,"3",56
409,2,56,"4",56
409,2,56,"5",56
409,2,99,"3",99
409,2,176,"7",176
409,2,226,"1",226
409,2,139,"4",139
409,2,139,"5",139
409,2,60,"3",60
409,2,60,"4",60
409,2,60,"6",60
409,2,170,"1",170
409,2,170,"3",170
409,2,170,"4",170
409,2,170,"5",170
409,2,170,"6",170
409,2,192,"1",192
409,2,192,"7",192
409,2,55,"3",55
409,2,55,"4",55
409,2,55,"5",55
409,2,55,"6",55
409,2,55,"7",55
409,2,141,"1",141
409,2,141,"5",141
409,2,238,"3",238
409,2,135,"7",135
409,2,243,"3",243
409,2,243,"7",243
409,2,217,"4",217
409,2,217,"7",217
409,2,188,"1",188
409,2,193,"6",193
409,2,145,"1",145
409,2,101,"1",101
409,2,101,"3",101
409,2,101,"4",101
409,2,101,"5",101
409,2,101,"6",101
409,2,92,"1",92
409,2,92,"3",92
409,2,92,"4",92
409,2,92,"6",92
409,2,92,"7",92
409,2,270,"3",270
409,2,270,"4",270
409,2,270,"7",270
409,2,284,"1",284
409,2,284,"4",284
409,2,284,"5",284
409,2,284,"6",284
409,2,284,"7",284
409,2,235,"4",235
409,2,235,"5",235
409,2,235,"6",235
409,2,44,"4",44
409,2,44,"5",44
409,2,44,"6",44
409,2,203,"3",203
409,2,239,"3",239
409,2,239,"4",239
409,2,111,"1",111
409,2,111,"3",111
409,2,111,"5",111
409,2,111,"6",111
