"trial_number","layer_from","node_from","layer_to","node_to"
935,1,216,"2",216
935,1,216,"4",216
935,1,216,"6",216
935,1,206,"2",206
935,1,225,"2",225
935,1,242,"2",242
935,1,242,"5",242
935,1,242,"7",242
935,1,284,"2",284
935,1,284,"3",284
935,1,284,"4",284
935,1,284,"5",284
935,1,284,"6",284
935,1,170,"2",170
935,1,170,"3",170
935,1,170,"4",170
935,1,170,"6",170
935,1,170,"7",170
935,1,99,"2",99
935,1,104,"5",104
935,1,101,"2",101
935,1,101,"3",101
935,1,101,"4",101
935,1,101,"5",101
935,1,101,"6",101
935,1,187,"3",187
935,1,187,"4",187
935,1,187,"5",187
935,1,187,"6",187
935,1,188,"2",188
935,1,212,"4",212
935,2,145,"4",145
935,2,275,"3",275
935,2,275,"4",275
935,2,275,"5",275
935,2,275,"6",275
935,2,275,"7",275
935,2,111,"3",111
935,2,111,"4",111
935,2,111,"6",111
935,2,111,"7",111
935,2,146,"6",146
935,2,163,"3",163
935,2,163,"4",163
935,2,163,"5",163
935,2,163,"6",163
935,2,163,"7",163
935,2,170,"1",170
935,2,170,"3",170
935,2,170,"4",170
935,2,170,"6",170
935,2,170,"7",170
935,2,206,"1",206
935,2,216,"1",216
935,2,216,"4",216
935,2,216,"6",216
935,2,225,"1",225
935,2,242,"1",242
935,2,242,"5",242
935,2,242,"7",242
935,2,284,"1",284
935,2,284,"3",284
935,2,284,"4",284
935,2,284,"5",284
935,2,284,"6",284
935,2,50,"3",50
935,2,50,"4",50
935,2,50,"5",50
935,2,55,"3",55
935,2,55,"4",55
935,2,55,"5",55
935,2,55,"6",55
935,2,55,"7",55
935,2,81,"5",81
935,2,95,"3",95
935,2,99,"1",99
935,2,274,"3",274
935,2,274,"4",274
935,2,274,"5",274
935,2,274,"6",274
935,2,274,"7",274
935,2,92,"3",92
935,2,92,"4",92
935,2,92,"5",92
935,2,92,"6",92
935,2,92,"7",92
935,2,101,"1",101
935,2,101,"3",101
935,2,101,"4",101
935,2,101,"5",101
935,2,101,"6",101
935,2,188,"1",188
935,2,235,"3",235
935,2,235,"4",235
935,2,235,"6",235
935,2,84,"4",84
935,2,84,"6",84
935,2,106,"3",106
935,2,197,"6",197
935,2,210,"7",210
935,2,219,"6",219
935,3,111,"2",111
935,3,111,"4",111
935,3,111,"6",111
935,3,111,"7",111
935,3,115,"7",115
935,3,136,"4",136
935,3,136,"7",136
935,3,139,"5",139
935,3,139,"7",139
935,3,165,"4",165
935,3,165,"5",165
935,3,165,"6",165
935,3,165,"7",165
935,3,170,"1",170
935,3,170,"2",170
935,3,170,"4",170
935,3,170,"6",170
935,3,170,"7",170
935,3,187,"1",187
935,3,187,"4",187
935,3,187,"5",187
935,3,187,"6",187
935,3,199,"4",199
935,3,235,"2",235
935,3,235,"4",235
935,3,235,"6",235
935,3,239,"6",239
935,3,239,"7",239
935,3,40,"4",40
935,3,50,"2",50
935,3,50,"4",50
935,3,50,"5",50
935,3,55,"2",55
935,3,55,"4",55
935,3,55,"5",55
935,3,55,"6",55
935,3,55,"7",55
935,3,92,"2",92
935,3,92,"4",92
935,3,92,"5",92
935,3,92,"6",92
935,3,92,"7",92
935,3,163,"2",163
935,3,163,"4",163
935,3,163,"5",163
935,3,163,"6",163
935,3,163,"7",163
935,3,275,"2",275
935,3,275,"4",275
935,3,275,"5",275
935,3,275,"6",275
935,3,275,"7",275
935,3,130,"4",130
935,3,203,"6",203
935,3,215,"6",215
935,3,217,"4",217
935,3,217,"5",217
935,3,284,"1",284
935,3,284,"2",284
935,3,284,"4",284
935,3,284,"5",284
935,3,284,"6",284
935,3,60,"4",60
935,3,60,"5",60
935,3,60,"6",60
935,3,73,"4",73
935,3,202,"7",202
935,3,44,"4",44
935,3,44,"5",44
935,3,44,"6",44
935,3,56,"4",56
935,3,56,"5",56
935,3,56,"6",56
935,3,211,"5",211
935,3,211,"7",211
935,3,270,"5",270
935,3,270,"6",270
935,3,270,"7",270
935,3,112,"5",112
935,3,274,"2",274
935,3,274,"4",274
935,3,274,"5",274
935,3,274,"6",274
935,3,274,"7",274
935,3,276,"4",276
935,3,276,"5",276
935,3,95,"2",95
935,3,101,"1",101
935,3,101,"2",101
935,3,101,"4",101
935,3,101,"5",101
935,3,101,"6",101
935,3,106,"2",106
935,4,135,"5",135
935,4,163,"2",163
935,4,163,"3",163
935,4,163,"5",163
935,4,163,"6",163
935,4,163,"7",163
935,4,192,"6",192
935,4,192,"7",192
935,4,199,"3",199
935,4,217,"3",217
935,4,217,"5",217
935,4,226,"7",226
935,4,227,"5",227
935,4,241,"5",241
935,4,254,"5",254
935,4,254,"7",254
935,4,266,"5",266
935,4,274,"2",274
935,4,274,"3",274
935,4,274,"5",274
935,4,274,"6",274
935,4,274,"7",274
935,4,275,"2",275
935,4,275,"3",275
935,4,275,"5",275
935,4,275,"6",275
935,4,275,"7",275
935,4,276,"3",276
935,4,276,"5",276
935,4,50,"2",50
935,4,50,"3",50
935,4,50,"5",50
935,4,73,"3",73
935,4,101,"1",101
935,4,101,"2",101
935,4,101,"3",101
935,4,101,"5",101
935,4,101,"6",101
935,4,136,"3",136
935,4,136,"7",136
935,4,137,"5",137
935,4,170,"1",170
935,4,170,"2",170
935,4,170,"3",170
935,4,170,"6",170
935,4,170,"7",170
935,4,176,"7",176
935,4,187,"1",187
935,4,187,"3",187
935,4,187,"5",187
935,4,187,"6",187
935,4,243,"6",243
935,4,243,"7",243
935,4,60,"3",60
935,4,60,"5",60
935,4,60,"6",60
935,4,84,"2",84
935,4,84,"6",84
935,4,92,"2",92
935,4,92,"3",92
935,4,92,"5",92
935,4,92,"6",92
935,4,92,"7",92
935,4,130,"3",130
935,4,140,"5",140
935,4,140,"7",140
935,4,143,"6",143
935,4,145,"2",145
935,4,165,"3",165
935,4,165,"5",165
935,4,165,"6",165
935,4,165,"7",165
935,4,284,"1",284
935,4,284,"2",284
935,4,284,"3",284
935,4,284,"5",284
935,4,284,"6",284
935,4,98,"6",98
935,4,98,"7",98
935,4,44,"3",44
935,4,44,"5",44
935,4,44,"6",44
935,4,56,"3",56
935,4,56,"5",56
935,4,56,"6",56
935,4,55,"2",55
935,4,55,"3",55
935,4,55,"5",55
935,4,55,"6",55
935,4,55,"7",55
935,4,109,"5",109
935,4,111,"2",111
935,4,111,"3",111
935,4,111,"6",111
935,4,111,"7",111
935,4,212,"1",212
935,4,235,"2",235
935,4,235,"3",235
935,4,235,"6",235
935,4,238,"6",238
935,4,62,"6",62
935,4,216,"1",216
935,4,216,"2",216
935,4,216,"6",216
935,4,218,"5",218
935,4,40,"3",40
935,4,167,"5",167
935,4,87,"5",87
935,5,126,"6",126
935,5,126,"7",126
935,5,135,"4",135
935,5,137,"4",137
935,5,165,"3",165
935,5,165,"4",165
935,5,165,"6",165
935,5,165,"7",165
935,5,190,"7",190
935,5,227,"4",227
935,5,241,"4",241
935,5,254,"4",254
935,5,254,"7",254
935,5,274,"2",274
935,5,274,"3",274
935,5,274,"4",274
935,5,274,"6",274
935,5,274,"7",274
935,5,275,"2",275
935,5,275,"3",275
935,5,275,"4",275
935,5,275,"6",275
935,5,275,"7",275
935,5,60,"3",60
935,5,60,"4",60
935,5,60,"6",60
935,5,81,"2",81
935,5,92,"2",92
935,5,92,"3",92
935,5,92,"4",92
935,5,92,"6",92
935,5,92,"7",92
935,5,138,"6",138
935,5,138,"7",138
935,5,139,"3",139
935,5,139,"7",139
935,5,163,"2",163
935,5,163,"3",163
935,5,163,"4",163
935,5,163,"6",163
935,5,163,"7",163
935,5,50,"2",50
935,5,50,"3",50
935,5,50,"4",50
935,5,55,"2",55
935,5,55,"3",55
935,5,55,"4",55
935,5,55,"6",55
935,5,55,"7",55
935,5,101,"1",101
935,5,101,"2",101
935,5,101,"3",101
935,5,101,"4",101
935,5,101,"6",101
935,5,284,"1",284
935,5,284,"2",284
935,5,284,"3",284
935,5,284,"4",284
935,5,284,"6",284
935,5,44,"3",44
935,5,44,"4",44
935,5,44,"6",44
935,5,56,"3",56
935,5,56,"4",56
935,5,56,"6",56
935,5,266,"4",266
935,5,109,"4",109
935,5,211,"3",211
935,5,211,"7",211
935,5,112,"3",112
935,5,141,"6",141
935,5,141,"7",141
935,5,187,"1",187
935,5,187,"3",187
935,5,187,"4",187
935,5,187,"6",187
935,5,193,"7",193
935,5,242,"1",242
935,5,242,"2",242
935,5,242,"7",242
935,5,140,"4",140
935,5,140,"7",140
935,5,167,"4",167
935,5,217,"3",217
935,5,217,"4",217
935,5,276,"3",276
935,5,276,"4",276
935,5,218,"4",218
935,5,96,"7",96
935,5,104,"1",104
935,5,270,"3",270
935,5,270,"6",270
935,5,270,"7",270
935,5,87,"4",87
935,6,111,"2",111
935,6,111,"3",111
935,6,111,"4",111
935,6,111,"7",111
935,6,165,"3",165
935,6,165,"4",165
935,6,165,"5",165
935,6,165,"7",165
935,6,170,"1",170
935,6,170,"2",170
935,6,170,"3",170
935,6,170,"4",170
935,6,170,"7",170
935,6,192,"4",192
935,6,192,"7",192
935,6,215,"3",215
935,6,255,"7",255
935,6,270,"3",270
935,6,270,"5",270
935,6,270,"7",270
935,6,274,"2",274
935,6,274,"3",274
935,6,274,"4",274
935,6,274,"5",274
935,6,274,"7",274
935,6,275,"2",275
935,6,275,"3",275
935,6,275,"4",275
935,6,275,"5",275
935,6,275,"7",275
935,6,92,"2",92
935,6,92,"3",92
935,6,92,"4",92
935,6,92,"5",92
935,6,92,"7",92
935,6,101,"1",101
935,6,101,"2",101
935,6,101,"3",101
935,6,101,"4",101
935,6,101,"5",101
935,6,138,"5",138
935,6,138,"7",138
935,6,163,"2",163
935,6,163,"3",163
935,6,163,"4",163
935,6,163,"5",163
935,6,163,"7",163
935,6,187,"1",187
935,6,187,"3",187
935,6,187,"4",187
935,6,187,"5",187
935,6,197,"2",197
935,6,238,"4",238
935,6,62,"4",62
935,6,239,"3",239
935,6,239,"7",239
935,6,55,"2",55
935,6,55,"3",55
935,6,55,"4",55
935,6,55,"5",55
935,6,55,"7",55
935,6,56,"3",56
935,6,56,"4",56
935,6,56,"5",56
935,6,60,"3",60
935,6,60,"4",60
935,6,60,"5",60
935,6,44,"3",44
935,6,44,"4",44
935,6,44,"5",44
935,6,126,"5",126
935,6,126,"7",126
935,6,203,"3",203
935,6,216,"1",216
935,6,216,"2",216
935,6,216,"4",216
935,6,284,"1",284
935,6,284,"2",284
935,6,284,"3",284
935,6,284,"4",284
935,6,284,"5",284
935,6,84,"2",84
935,6,84,"4",84
935,6,207,"7",207
935,6,243,"4",243
935,6,243,"7",243
935,6,146,"2",146
935,6,143,"4",143
935,6,98,"4",98
935,6,98,"7",98
935,6,141,"5",141
935,6,141,"7",141
935,6,219,"2",219
935,6,235,"2",235
935,6,235,"3",235
935,6,235,"4",235
935,6,108,"7",108
935,6,133,"7",133
935,7,111,"2",111
935,7,111,"3",111
935,7,111,"4",111
935,7,111,"6",111
935,7,115,"3",115
935,7,126,"5",126
935,7,126,"6",126
935,7,136,"3",136
935,7,136,"4",136
935,7,138,"5",138
935,7,138,"6",138
935,7,139,"3",139
935,7,139,"5",139
935,7,141,"5",141
935,7,141,"6",141
935,7,163,"2",163
935,7,163,"3",163
935,7,163,"4",163
935,7,163,"5",163
935,7,163,"6",163
935,7,165,"3",165
935,7,165,"4",165
935,7,165,"5",165
935,7,165,"6",165
935,7,170,"1",170
935,7,170,"2",170
935,7,170,"3",170
935,7,170,"4",170
935,7,170,"6",170
935,7,190,"5",190
935,7,207,"6",207
935,7,239,"3",239
935,7,239,"6",239
935,7,242,"1",242
935,7,242,"2",242
935,7,242,"5",242
935,7,254,"4",254
935,7,254,"5",254
935,7,255,"6",255
935,7,55,"2",55
935,7,55,"3",55
935,7,55,"4",55
935,7,55,"5",55
935,7,55,"6",55
935,7,92,"2",92
935,7,92,"3",92
935,7,92,"4",92
935,7,92,"5",92
935,7,92,"6",92
935,7,96,"5",96
935,7,176,"4",176
935,7,202,"3",202
935,7,243,"4",243
935,7,243,"6",243
935,7,275,"2",275
935,7,275,"3",275
935,7,275,"4",275
935,7,275,"5",275
935,7,275,"6",275
935,7,98,"4",98
935,7,98,"6",98
935,7,108,"6",108
935,7,193,"5",193
935,7,192,"4",192
935,7,192,"6",192
935,7,210,"2",210
935,7,140,"4",140
935,7,140,"5",140
935,7,226,"4",226
935,7,211,"3",211
935,7,211,"5",211
935,7,133,"6",133
935,7,270,"3",270
935,7,270,"5",270
935,7,270,"6",270
935,7,274,"2",274
935,7,274,"3",274
935,7,274,"4",274
935,7,274,"5",274
935,7,274,"6",274
935,1,34,"5",34
935,1,34,"7",34
935,1,1,"5",1
935,1,1,"6",1
935,1,17,"3",17
935,1,17,"4",17
935,1,17,"5",17
935,1,17,"6",17
935,1,17,"7",17
935,1,12,"2",12
935,1,12,"4",12
935,1,12,"5",12
935,1,12,"6",12
935,1,16,"4",16
935,1,16,"5",16
935,1,31,"3",31
935,1,31,"6",31
935,1,31,"7",31
935,1,8,"2",8
935,1,8,"3",8
935,1,8,"4",8
935,1,8,"5",8
935,1,8,"6",8
935,1,8,"7",8
935,1,9,"2",9
935,1,9,"3",9
935,1,9,"4",9
935,1,9,"5",9
935,1,9,"6",9
935,1,9,"7",9
935,2,12,"1",12
935,2,12,"4",12
935,2,12,"5",12
935,2,12,"6",12
935,2,10,"3",10
