"trial_number","layer_from","node_from","layer_to","node_to"
657,1,242,"4",242
657,1,242,"6",242
657,1,242,"7",242
657,1,109,"6",109
657,1,126,"5",126
657,1,126,"6",126
657,1,84,"6",84
657,1,84,"7",84
657,1,111,"2",111
657,1,111,"4",111
657,1,111,"5",111
657,1,111,"7",111
657,1,235,"2",235
657,1,235,"5",235
657,1,235,"6",235
657,1,141,"3",141
657,1,141,"7",141
657,1,112,"3",112
657,1,101,"2",101
657,1,101,"3",101
657,1,101,"4",101
657,1,101,"5",101
657,1,101,"7",101
657,1,187,"2",187
657,1,187,"3",187
657,1,187,"4",187
657,1,187,"7",187
657,1,219,"2",219
657,1,92,"2",92
657,1,92,"3",92
657,1,92,"4",92
657,1,92,"5",92
657,1,92,"6",92
657,1,284,"2",284
657,1,284,"3",284
657,1,284,"4",284
657,1,284,"5",284
657,1,284,"7",284
657,1,73,"3",73
657,1,170,"2",170
657,1,170,"3",170
657,1,170,"4",170
657,1,170,"5",170
657,1,170,"6",170
657,1,203,"4",203
657,1,62,"5",62
657,1,254,"4",254
657,1,254,"5",254
657,1,270,"2",270
657,1,270,"3",270
657,1,270,"6",270
657,1,133,"5",133
657,1,211,"4",211
657,1,211,"5",211
657,1,217,"4",217
657,1,217,"5",217
657,1,165,"2",165
657,1,165,"3",165
657,1,165,"5",165
657,1,165,"6",165
657,1,176,"2",176
657,1,225,"5",225
657,1,163,"2",163
657,1,163,"3",163
657,1,163,"4",163
657,1,163,"5",163
657,1,163,"7",163
657,1,44,"2",44
657,1,44,"5",44
657,1,44,"6",44
657,1,60,"5",60
657,1,60,"6",60
657,1,60,"7",60
657,1,266,"7",266
657,1,87,"6",87
657,1,275,"2",275
657,1,275,"3",275
657,1,275,"4",275
657,1,275,"6",275
657,1,275,"7",275
657,1,99,"4",99
657,1,216,"3",216
657,1,216,"5",216
657,1,216,"6",216
657,1,274,"2",274
657,1,274,"3",274
657,1,274,"4",274
657,1,274,"6",274
657,1,274,"7",274
657,1,202,"6",202
657,1,55,"2",55
657,1,55,"4",55
657,1,55,"5",55
657,1,55,"6",55
657,1,55,"7",55
657,1,239,"2",239
657,1,239,"7",239
657,2,50,"4",50
657,2,50,"5",50
657,2,50,"6",50
657,2,135,"7",135
657,2,219,"1",219
657,2,187,"1",187
657,2,187,"3",187
657,2,187,"4",187
657,2,187,"7",187
657,2,274,"1",274
657,2,274,"3",274
657,2,274,"4",274
657,2,274,"6",274
657,2,274,"7",274
657,2,111,"1",111
657,2,111,"4",111
657,2,111,"5",111
657,2,111,"7",111
657,2,140,"3",140
657,2,140,"4",140
657,2,243,"4",243
657,2,243,"5",243
657,2,163,"1",163
657,2,163,"3",163
657,2,163,"4",163
657,2,163,"5",163
657,2,163,"7",163
657,2,239,"1",239
657,2,239,"7",239
657,2,143,"7",143
657,2,176,"1",176
657,2,96,"5",96
657,2,275,"1",275
657,2,275,"3",275
657,2,275,"4",275
657,2,275,"6",275
657,2,275,"7",275
657,2,44,"1",44
657,2,44,"5",44
657,2,44,"6",44
657,2,55,"1",55
657,2,55,"4",55
657,2,55,"5",55
657,2,55,"6",55
657,2,55,"7",55
657,2,56,"3",56
657,2,56,"4",56
657,2,56,"7",56
657,2,284,"1",284
657,2,284,"3",284
657,2,284,"4",284
657,2,284,"5",284
657,2,284,"7",284
657,2,206,"7",206
657,2,170,"1",170
657,2,170,"3",170
657,2,170,"4",170
657,2,170,"5",170
657,2,170,"6",170
657,2,98,"4",98
657,2,98,"5",98
657,2,92,"1",92
657,2,92,"3",92
657,2,92,"4",92
657,2,92,"5",92
657,2,92,"6",92
657,2,212,"5",212
657,2,210,"5",210
657,2,136,"3",136
657,2,136,"5",136
657,2,165,"1",165
657,2,165,"3",165
657,2,165,"5",165
657,2,165,"6",165
657,2,101,"1",101
657,2,101,"3",101
657,2,101,"4",101
657,2,101,"5",101
657,2,101,"7",101
657,2,235,"1",235
657,2,235,"5",235
657,2,235,"6",235
657,2,197,"3",197
657,2,270,"1",270
657,2,270,"3",270
657,2,270,"6",270
657,2,104,"6",104
657,3,136,"2",136
657,3,136,"5",136
657,3,284,"1",284
657,3,284,"2",284
657,3,284,"4",284
657,3,284,"5",284
657,3,284,"7",284
657,3,56,"2",56
657,3,56,"4",56
657,3,56,"7",56
657,3,101,"1",101
657,3,101,"2",101
657,3,101,"4",101
657,3,101,"5",101
657,3,101,"7",101
657,3,270,"1",270
657,3,270,"2",270
657,3,270,"6",270
657,3,163,"1",163
657,3,163,"2",163
657,3,163,"4",163
657,3,163,"5",163
657,3,163,"7",163
657,3,216,"1",216
657,3,216,"5",216
657,3,216,"6",216
657,3,207,"4",207
657,3,274,"1",274
657,3,274,"2",274
657,3,274,"4",274
657,3,274,"6",274
657,3,274,"7",274
657,3,197,"2",197
657,3,140,"2",140
657,3,140,"4",140
657,3,188,"4",188
657,3,192,"4",192
657,3,192,"7",192
657,3,73,"1",73
657,3,92,"1",92
657,3,92,"2",92
657,3,92,"4",92
657,3,92,"5",92
657,3,92,"6",92
657,3,187,"1",187
657,3,187,"2",187
657,3,187,"4",187
657,3,187,"7",187
657,3,275,"1",275
657,3,275,"2",275
657,3,275,"4",275
657,3,275,"6",275
657,3,275,"7",275
657,3,141,"1",141
657,3,141,"7",141
657,3,238,"4",238
657,3,112,"1",112
657,3,106,"7",106
657,3,165,"1",165
657,3,165,"2",165
657,3,165,"5",165
657,3,165,"6",165
657,3,95,"6",95
657,3,170,"1",170
657,3,170,"2",170
657,3,170,"4",170
657,3,170,"5",170
657,3,170,"6",170
657,4,99,"1",99
657,4,203,"1",203
657,4,55,"1",55
657,4,55,"2",55
657,4,55,"5",55
657,4,55,"6",55
657,4,55,"7",55
657,4,217,"1",217
657,4,217,"5",217
657,4,207,"3",207
657,4,227,"7",227
657,4,215,"6",215
657,4,276,"5",276
657,4,276,"6",276
657,4,192,"3",192
657,4,192,"7",192
657,4,111,"1",111
657,4,111,"2",111
657,4,111,"5",111
657,4,111,"7",111
657,4,188,"3",188
657,4,241,"5",241
657,4,274,"1",274
657,4,274,"2",274
657,4,274,"3",274
657,4,274,"6",274
657,4,274,"7",274
657,4,92,"1",92
657,4,92,"2",92
657,4,92,"3",92
657,4,92,"5",92
657,4,92,"6",92
