"layer_from","node_from","layer_to","node_to","trial_number"
7,1,"1",1,425
7,1,"11",1,425
7,1,"10",1,425
7,1,"9",1,425
7,1,"8",1,425
7,1,"12",1,425
11,1,"1",1,425
11,1,"7",1,425
11,1,"10",1,425
11,1,"9",1,425
11,1,"8",1,425
11,1,"12",1,425
10,1,"1",1,425
10,1,"7",1,425
10,1,"11",1,425
10,1,"9",1,425
10,1,"8",1,425
10,1,"12",1,425
9,1,"1",1,425
9,1,"7",1,425
9,1,"11",1,425
9,1,"10",1,425
9,1,"8",1,425
9,1,"12",1,425
8,1,"1",1,425
8,1,"7",1,425
8,1,"11",1,425
8,1,"10",1,425
8,1,"9",1,425
8,1,"12",1,425
12,1,"1",1,425
12,1,"7",1,425
12,1,"11",1,425
12,1,"10",1,425
12,1,"9",1,425
12,1,"8",1,425
10,10,"12",10,425
10,10,"14",10,425
10,10,"13",10,425
10,10,"8",10,425
10,10,"11",10,425
10,10,"7",10,425
10,10,"9",10,425
12,10,"10",10,425
12,10,"10",10,425
12,10,"14",10,425
12,10,"13",10,425
12,10,"8",10,425
12,10,"11",10,425
12,10,"7",10,425
12,10,"9",10,425
14,10,"10",10,425
14,10,"10",10,425
14,10,"12",10,425
14,10,"13",10,425
14,10,"8",10,425
14,10,"11",10,425
14,10,"7",10,425
14,10,"9",10,425
13,10,"10",10,425
13,10,"10",10,425
13,10,"12",10,425
13,10,"14",10,425
13,10,"8",10,425
13,10,"11",10,425
13,10,"7",10,425
13,10,"9",10,425
8,10,"10",10,425
8,10,"10",10,425
8,10,"12",10,425
8,10,"14",10,425
8,10,"13",10,425
8,10,"11",10,425
8,10,"7",10,425
8,10,"9",10,425
11,10,"10",10,425
11,10,"10",10,425
11,10,"12",10,425
11,10,"14",10,425
11,10,"13",10,425
11,10,"8",10,425
11,10,"7",10,425
11,10,"9",10,425
7,10,"10",10,425
7,10,"10",10,425
7,10,"12",10,425
7,10,"14",10,425
7,10,"13",10,425
7,10,"8",10,425
7,10,"11",10,425
7,10,"9",10,425
9,10,"10",10,425
9,10,"10",10,425
9,10,"12",10,425
9,10,"14",10,425
9,10,"13",10,425
9,10,"8",10,425
9,10,"11",10,425
9,10,"7",10,425
6,11,"11",11,425
6,11,"5",11,425
5,11,"11",11,425
5,11,"6",11,425
10,12,"12",12,425
10,12,"5",12,425
10,12,"12",12,425
10,12,"9",12,425
10,12,"8",12,425
10,12,"6",12,425
10,12,"2",12,425
5,12,"12",12,425
5,12,"10",12,425
5,12,"12",12,425
5,12,"9",12,425
5,12,"8",12,425
5,12,"6",12,425
5,12,"2",12,425
12,12,"10",12,425
12,12,"5",12,425
12,12,"9",12,425
12,12,"8",12,425
12,12,"6",12,425
12,12,"2",12,425
9,12,"12",12,425
9,12,"10",12,425
9,12,"5",12,425
9,12,"12",12,425
9,12,"8",12,425
9,12,"6",12,425
9,12,"2",12,425
8,12,"12",12,425
8,12,"10",12,425
8,12,"5",12,425
8,12,"12",12,425
8,12,"9",12,425
8,12,"6",12,425
8,12,"2",12,425
6,12,"12",12,425
6,12,"10",12,425
6,12,"5",12,425
6,12,"12",12,425
6,12,"9",12,425
6,12,"8",12,425
6,12,"2",12,425
2,12,"12",12,425
2,12,"10",12,425
2,12,"5",12,425
2,12,"12",12,425
2,12,"9",12,425
2,12,"8",12,425
2,12,"6",12,425
8,13,"13",13,425
8,13,"10",13,425
8,13,"7",13,425
10,13,"13",13,425
10,13,"8",13,425
10,13,"7",13,425
7,13,"13",13,425
7,13,"8",13,425
7,13,"10",13,425
3,14,"14",14,425
3,14,"4",14,425
3,14,"8",14,425
3,14,"1",14,425
3,14,"7",14,425
4,14,"14",14,425
4,14,"3",14,425
4,14,"8",14,425
4,14,"1",14,425
4,14,"7",14,425
8,14,"14",14,425
8,14,"3",14,425
8,14,"4",14,425
8,14,"1",14,425
8,14,"7",14,425
1,14,"14",14,425
1,14,"3",14,425
1,14,"4",14,425
1,14,"8",14,425
1,14,"7",14,425
7,14,"14",14,425
7,14,"3",14,425
7,14,"4",14,425
7,14,"8",14,425
7,14,"1",14,425
2,15,"15",15,425
2,15,"4",15,425
4,15,"15",15,425
4,15,"2",15,425
12,16,"16",16,425
12,16,"5",16,425
12,16,"10",16,425
12,16,"11",16,425
5,16,"16",16,425
5,16,"12",16,425
5,16,"10",16,425
5,16,"11",16,425
10,16,"16",16,425
10,16,"12",16,425
10,16,"5",16,425
10,16,"11",16,425
11,16,"16",16,425
11,16,"12",16,425
11,16,"5",16,425
11,16,"10",16,425
11,17,"17",17,425
11,17,"2",17,425
11,17,"3",17,425
11,17,"9",17,425
11,17,"4",17,425
