"trial_number","layer_from","node_from","layer_to","node_to"
149,1,14,"5",14
149,1,14,"9",14
149,1,15,"7",15
149,1,15,"8",15
149,1,15,"13",15
149,1,15,"14",15
149,1,17,"6",17
149,1,17,"13",17
149,1,21,"3",21
149,1,21,"5",21
149,1,21,"13",21
149,1,23,"5",23
149,1,23,"13",23
149,1,24,"2",24
149,1,24,"11",24
149,1,28,"7",28
149,1,28,"12",28
149,1,28,"13",28
149,1,33,"2",33
149,1,33,"4",33
149,1,33,"12",33
149,1,41,"3",41
149,1,41,"7",41
149,1,41,"14",41
149,1,42,"3",42
149,1,42,"11",42
149,1,42,"13",42
149,1,51,"10",51
149,1,51,"11",51
149,1,61,"6",61
149,1,61,"11",61
149,1,61,"13",61
149,1,64,"7",64
149,1,64,"9",64
149,1,69,"3",69
149,1,77,"9",77
149,1,82,"7",82
149,1,82,"11",82
149,1,82,"14",82
149,1,85,"9",85
149,1,95,"2",95
149,1,95,"6",95
149,1,96,"6",96
149,1,96,"7",96
149,1,98,"5",98
149,1,98,"14",98
149,1,126,"10",126
149,1,129,"2",129
149,1,129,"7",129
149,1,129,"8",129
149,1,129,"13",129
149,1,129,"14",129
149,1,135,"4",135
149,1,146,"2",146
149,1,146,"4",146
149,1,146,"12",146
149,1,146,"14",146
149,1,154,"7",154
149,1,154,"11",154
149,1,170,"2",170
149,1,170,"4",170
149,1,170,"6",170
149,1,170,"11",170
149,1,174,"2",174
149,1,174,"11",174
149,1,180,"4",180
149,1,180,"6",180
149,1,180,"8",180
149,1,180,"11",180
149,1,180,"13",180
149,1,180,"14",180
149,1,196,"14",196
149,1,208,"10",208
149,1,208,"12",208
149,1,210,"3",210
149,1,230,"3",230
149,1,230,"6",230
149,1,230,"12",230
149,1,230,"13",230
149,1,233,"4",233
149,1,236,"8",236
149,1,236,"11",236
149,1,244,"2",244
149,1,255,"3",255
149,1,255,"8",255
149,1,257,"3",257
149,1,257,"12",257
149,1,264,"4",264
149,1,264,"12",264
149,1,264,"13",264
149,1,270,"2",270
149,1,270,"4",270
149,1,272,"2",272
149,1,272,"12",272
149,1,288,"8",288
149,1,295,"2",295
149,1,295,"4",295
149,1,295,"8",295
149,1,299,"11",299
149,1,300,"2",300
149,1,300,"4",300
149,1,313,"11",313
149,1,313,"12",313
149,1,316,"5",316
149,1,317,"2",317
149,1,317,"6",317
