"trial_number","layer_from","node_from","layer_to","node_to"
532,1,84,"3",84
532,1,84,"5",84
532,1,170,"2",170
532,1,170,"3",170
532,1,170,"4",170
532,1,170,"6",170
532,1,170,"7",170
532,1,206,"4",206
532,1,242,"2",242
532,1,242,"3",242
532,1,242,"7",242
532,1,81,"6",81
532,1,284,"2",284
532,1,284,"3",284
532,1,284,"4",284
532,1,284,"6",284
532,1,284,"7",284
532,1,60,"3",60
532,1,60,"4",60
532,1,60,"5",60
532,1,87,"2",87
532,1,50,"2",50
532,1,50,"5",50
532,1,50,"7",50
532,1,167,"4",167
532,1,95,"4",95
532,1,275,"2",275
532,1,275,"3",275
532,1,275,"5",275
532,1,275,"6",275
532,1,275,"7",275
532,1,274,"2",274
532,1,274,"3",274
532,1,274,"4",274
532,1,274,"5",274
532,1,274,"6",274
532,1,145,"3",145
532,1,126,"2",126
532,1,126,"7",126
532,1,226,"2",226
532,1,56,"2",56
532,1,56,"5",56
532,1,56,"6",56
532,1,165,"3",165
532,1,165,"4",165
532,1,165,"5",165
532,1,165,"7",165
532,1,55,"2",55
532,1,55,"4",55
532,1,55,"5",55
532,1,55,"6",55
532,1,55,"7",55
532,1,216,"2",216
532,1,216,"6",216
532,1,216,"7",216
532,1,141,"2",141
532,1,141,"6",141
532,1,163,"3",163
532,1,163,"4",163
532,1,163,"5",163
532,1,163,"6",163
532,1,163,"7",163
532,1,136,"5",136
532,1,136,"6",136
532,1,111,"2",111
532,1,111,"5",111
532,1,111,"6",111
532,1,111,"7",111
532,1,139,"4",139
532,1,139,"7",139
532,1,225,"7",225
532,1,101,"2",101
532,1,101,"3",101
532,1,101,"4",101
532,1,101,"5",101
532,1,101,"6",101
532,1,135,"7",135
532,1,207,"7",207
532,1,202,"2",202
532,1,99,"4",99
532,1,146,"7",146
532,1,212,"3",212
532,2,276,"4",276
532,2,276,"7",276
532,2,266,"4",266
532,2,199,"4",199
532,2,241,"5",241
532,2,192,"4",192
532,2,192,"6",192
532,2,141,"1",141
532,2,141,"6",141
532,2,126,"1",126
532,2,126,"7",126
532,2,217,"3",217
532,2,217,"5",217
532,2,87,"1",87
532,2,270,"4",270
532,2,270,"5",270
532,2,270,"7",270
532,2,44,"3",44
532,2,44,"4",44
532,2,44,"6",44
532,2,211,"3",211
532,2,211,"7",211
532,2,111,"1",111
532,2,111,"5",111
532,2,111,"6",111
532,2,111,"7",111
532,2,216,"1",216
532,2,216,"6",216
532,2,216,"7",216
532,2,92,"3",92
532,2,92,"4",92
532,2,92,"5",92
532,2,92,"6",92
532,2,92,"7",92
532,2,242,"1",242
532,2,242,"3",242
532,2,242,"7",242
532,2,190,"3",190
532,2,284,"1",284
532,2,284,"3",284
532,2,284,"4",284
532,2,284,"6",284
532,2,284,"7",284
532,2,101,"1",101
532,2,101,"3",101
532,2,101,"4",101
532,2,101,"5",101
532,2,101,"6",101
532,2,55,"1",55
532,2,55,"4",55
532,2,55,"5",55
532,2,55,"6",55
532,2,55,"7",55
532,2,170,"1",170
532,2,170,"3",170
532,2,170,"4",170
532,2,170,"6",170
532,2,170,"7",170
532,2,56,"1",56
532,2,56,"5",56
532,2,56,"6",56
532,2,50,"1",50
532,2,50,"5",50
532,2,50,"7",50
532,2,218,"4",218
532,2,143,"7",143
532,2,239,"3",239
532,2,239,"7",239
532,2,226,"1",226
532,2,235,"4",235
532,2,235,"5",235
532,2,235,"7",235
532,2,62,"6",62
532,2,202,"1",202
532,2,275,"1",275
532,2,275,"3",275
532,2,275,"5",275
532,2,275,"6",275
532,2,275,"7",275
532,2,274,"1",274
532,2,274,"3",274
532,2,274,"4",274
532,2,274,"5",274
532,2,274,"6",274
532,2,187,"4",187
532,2,187,"5",187
532,2,187,"6",187
532,2,187,"7",187
532,3,284,"1",284
532,3,284,"2",284
532,3,284,"4",284
532,3,284,"6",284
532,3,284,"7",284
532,3,109,"5",109
532,3,274,"1",274
532,3,274,"2",274
532,3,274,"4",274
532,3,274,"5",274
532,3,274,"6",274
532,3,145,"1",145
532,3,170,"1",170
532,3,170,"2",170
532,3,170,"4",170
532,3,170,"6",170
532,3,170,"7",170
532,3,137,"4",137
532,3,242,"1",242
532,3,242,"2",242
532,3,242,"7",242
532,3,217,"2",217
532,3,217,"5",217
532,3,165,"1",165
532,3,165,"4",165
532,3,165,"5",165
532,3,165,"7",165
532,3,163,"1",163
532,3,163,"4",163
532,3,163,"5",163
532,3,163,"6",163
532,3,163,"7",163
532,3,60,"1",60
