"trial_number","layer_from","node_from","layer_to","node_to"
104,1,216,"2",216
104,1,216,"4",216
104,1,216,"6",216
104,1,206,"2",206
104,1,225,"2",225
104,1,242,"2",242
104,1,242,"5",242
104,1,242,"7",242
104,1,284,"2",284
104,1,284,"3",284
104,1,284,"4",284
104,1,284,"5",284
104,1,284,"6",284
104,1,170,"2",170
104,1,170,"3",170
104,1,170,"4",170
104,1,170,"6",170
104,1,170,"7",170
104,1,99,"2",99
104,1,104,"5",104
104,1,101,"2",101
104,1,101,"3",101
104,1,101,"4",101
104,1,101,"5",101
104,1,101,"6",101
104,1,187,"3",187
104,1,187,"4",187
104,1,187,"5",187
104,1,187,"6",187
104,1,188,"2",188
104,1,212,"4",212
104,2,145,"4",145
104,2,275,"3",275
104,2,275,"4",275
104,2,275,"5",275
104,2,275,"6",275
104,2,275,"7",275
104,2,111,"3",111
104,2,111,"4",111
104,2,111,"6",111
104,2,111,"7",111
104,2,146,"6",146
104,2,163,"3",163
104,2,163,"4",163
104,2,163,"5",163
104,2,163,"6",163
104,2,163,"7",163
104,2,170,"1",170
104,2,170,"3",170
104,2,170,"4",170
104,2,170,"6",170
104,2,170,"7",170
104,2,206,"1",206
104,2,216,"1",216
104,2,216,"4",216
104,2,216,"6",216
104,2,225,"1",225
104,2,242,"1",242
104,2,242,"5",242
104,2,242,"7",242
104,2,284,"1",284
104,2,284,"3",284
104,2,284,"4",284
104,2,284,"5",284
104,2,284,"6",284
104,2,50,"3",50
104,2,50,"4",50
104,2,50,"5",50
104,2,55,"3",55
104,2,55,"4",55
104,2,55,"5",55
104,2,55,"6",55
104,2,55,"7",55
104,2,81,"5",81
104,2,95,"3",95
104,2,99,"1",99
104,2,274,"3",274
104,2,274,"4",274
104,2,274,"5",274
104,2,274,"6",274
104,2,274,"7",274
104,2,92,"3",92
104,2,92,"4",92
104,2,92,"5",92
104,2,92,"6",92
104,2,92,"7",92
104,2,101,"1",101
104,2,101,"3",101
104,2,101,"4",101
104,2,101,"5",101
104,2,101,"6",101
104,2,188,"1",188
104,2,235,"3",235
104,2,235,"4",235
104,2,235,"6",235
104,2,84,"4",84
104,2,84,"6",84
104,2,106,"3",106
104,2,197,"6",197
104,2,210,"7",210
104,2,219,"6",219
104,3,111,"2",111
104,3,111,"4",111
104,3,111,"6",111
104,3,111,"7",111
104,3,115,"7",115
104,3,136,"4",136
104,3,136,"7",136
104,3,139,"5",139
104,3,139,"7",139
104,3,165,"4",165
104,3,165,"5",165
104,3,165,"6",165
104,3,165,"7",165
104,3,170,"1",170
104,3,170,"2",170
104,3,170,"4",170
104,3,170,"6",170
104,3,170,"7",170
104,3,187,"1",187
104,3,187,"4",187
104,3,187,"5",187
104,3,187,"6",187
104,3,199,"4",199
104,3,235,"2",235
104,3,235,"4",235
104,3,235,"6",235
104,3,239,"6",239
104,3,239,"7",239
104,3,40,"4",40
104,3,50,"2",50
104,3,50,"4",50
104,3,50,"5",50
104,3,55,"2",55
104,3,55,"4",55
104,3,55,"5",55
104,3,55,"6",55
104,3,55,"7",55
104,3,92,"2",92
104,3,92,"4",92
104,3,92,"5",92
104,3,92,"6",92
104,3,92,"7",92
104,3,163,"2",163
104,3,163,"4",163
104,3,163,"5",163
104,3,163,"6",163
104,3,163,"7",163
104,3,275,"2",275
104,3,275,"4",275
104,3,275,"5",275
104,3,275,"6",275
104,3,275,"7",275
104,3,130,"4",130
104,3,203,"6",203
104,3,215,"6",215
104,3,217,"4",217
104,3,217,"5",217
104,3,284,"1",284
104,3,284,"2",284
104,3,284,"4",284
104,3,284,"5",284
104,3,284,"6",284
104,3,60,"4",60
104,3,60,"5",60
104,3,60,"6",60
104,3,73,"4",73
104,3,202,"7",202
104,3,44,"4",44
104,3,44,"5",44
104,3,44,"6",44
104,3,56,"4",56
104,3,56,"5",56
104,3,56,"6",56
104,3,211,"5",211
104,3,211,"7",211
104,3,270,"5",270
104,3,270,"6",270
104,3,270,"7",270
104,3,112,"5",112
104,3,274,"2",274
104,3,274,"4",274
104,3,274,"5",274
104,3,274,"6",274
104,3,274,"7",274
104,3,276,"4",276
104,3,276,"5",276
104,3,95,"2",95
104,3,101,"1",101
104,3,101,"2",101
104,3,101,"4",101
104,3,101,"5",101
104,3,101,"6",101
104,3,106,"2",106
104,4,135,"5",135
104,4,163,"2",163
104,4,163,"3",163
104,4,163,"5",163
104,4,163,"6",163
104,4,163,"7",163
104,4,192,"6",192
104,4,192,"7",192
104,4,199,"3",199
