"layer_from","node_from","layer_to","node_to","trial_number"
6,1,"1",1,32
6,1,"5",1,32
6,1,"4",1,32
5,1,"1",1,32
5,1,"6",1,32
5,1,"4",1,32
4,1,"1",1,32
4,1,"6",1,32
4,1,"5",1,32
6,10,"10",10,32
6,10,"5",10,32
6,10,"7",10,32
6,10,"4",10,32
5,10,"10",10,32
5,10,"6",10,32
5,10,"7",10,32
5,10,"4",10,32
7,10,"10",10,32
7,10,"6",10,32
7,10,"5",10,32
7,10,"4",10,32
4,10,"10",10,32
4,10,"6",10,32
4,10,"5",10,32
4,10,"7",10,32
3,11,"11",11,32
3,12,"12",12,32
3,12,"6",12,32
3,12,"4",12,32
3,12,"5",12,32
3,12,"1",12,32
6,12,"12",12,32
6,12,"3",12,32
6,12,"4",12,32
6,12,"5",12,32
6,12,"1",12,32
4,12,"12",12,32
4,12,"3",12,32
4,12,"6",12,32
4,12,"5",12,32
4,12,"1",12,32
5,12,"12",12,32
5,12,"3",12,32
5,12,"6",12,32
5,12,"4",12,32
5,12,"1",12,32
1,12,"12",12,32
1,12,"3",12,32
1,12,"6",12,32
1,12,"4",12,32
1,12,"5",12,32
4,13,"13",13,32
4,13,"5",13,32
5,13,"13",13,32
5,13,"4",13,32
2,14,"14",14,32
2,14,"4",14,32
2,14,"1",14,32
4,14,"14",14,32
4,14,"2",14,32
4,14,"1",14,32
1,14,"14",14,32
1,14,"2",14,32
1,14,"4",14,32
1,15,"15",15,32
1,15,"2",15,32
2,15,"15",15,32
2,15,"1",15,32
6,16,"16",16,32
6,16,"3",16,32
6,16,"5",16,32
3,16,"16",16,32
3,16,"6",16,32
3,16,"5",16,32
5,16,"16",16,32
5,16,"6",16,32
5,16,"3",16,32
2,17,"17",17,32
2,17,"1",17,32
2,17,"6",17,32
2,17,"5",17,32
2,17,"4",17,32
2,17,"3",17,32
1,17,"17",17,32
1,17,"2",17,32
1,17,"6",17,32
1,17,"5",17,32
1,17,"4",17,32
1,17,"3",17,32
6,17,"17",17,32
6,17,"2",17,32
6,17,"1",17,32
6,17,"5",17,32
6,17,"4",17,32
6,17,"3",17,32
5,17,"17",17,32
5,17,"2",17,32
5,17,"1",17,32
5,17,"6",17,32
5,17,"4",17,32
5,17,"3",17,32
4,17,"17",17,32
4,17,"2",17,32
4,17,"1",17,32
4,17,"6",17,32
4,17,"5",17,32
4,17,"3",17,32
3,17,"17",17,32
3,17,"2",17,32
3,17,"1",17,32
3,17,"6",17,32
3,17,"5",17,32
3,17,"4",17,32
5,18,"18",18,32
3,19,"19",19,32
1,2,"2",2,32
6,20,"20",20,32
6,20,"4",20,32
4,20,"20",20,32
4,20,"6",20,32
7,21,"21",21,32
2,22,"22",22,32
4,23,"23",23,32
1,24,"24",24,32
3,25,"25",25,32
1,26,"26",26,32
1,26,"2",26,32
1,26,"5",26,32
1,26,"3",26,32
1,26,"4",26,32
1,26,"6",26,32
2,26,"26",26,32
2,26,"1",26,32
2,26,"5",26,32
2,26,"3",26,32
2,26,"4",26,32
2,26,"6",26,32
5,26,"26",26,32
5,26,"1",26,32
5,26,"2",26,32
5,26,"3",26,32
5,26,"4",26,32
5,26,"6",26,32
3,26,"26",26,32
3,26,"1",26,32
3,26,"2",26,32
3,26,"5",26,32
3,26,"4",26,32
3,26,"6",26,32
4,26,"26",26,32
4,26,"1",26,32
4,26,"2",26,32
4,26,"5",26,32
4,26,"3",26,32
4,26,"6",26,32
6,26,"26",26,32
6,26,"1",26,32
6,26,"2",26,32
6,26,"5",26,32
6,26,"3",26,32
6,26,"4",26,32
5,27,"27",27,32
1,28,"28",28,32
5,29,"29",29,32
1,3,"3",3,32
5,30,"30",30,32
7,31,"31",31,32
7,31,"4",31,32
7,31,"6",31,32
7,31,"5",31,32
4,31,"31",31,32
4,31,"7",31,32
4,31,"6",31,32
4,31,"5",31,32
6,31,"31",31,32
6,31,"7",31,32
6,31,"4",31,32
6,31,"5",31,32
5,31,"31",31,32
5,31,"7",31,32
5,31,"4",31,32
5,31,"6",31,32
2,32,"32",32,32
6,33,"33",33,32
6,33,"7",33,32
7,33,"33",33,32
7,33,"6",33,32
3,34,"34",34,32
3,34,"4",34,32
3,34,"6",34,32
4,34,"34",34,32
4,34,"3",34,32
4,34,"6",34,32
6,34,"34",34,32
6,34,"3",34,32
6,34,"4",34,32
3,35,"35",35,32
3,35,"7",35,32
3,35,"6",35,32
3,35,"5",35,32
7,35,"35",35,32
7,35,"3",35,32
7,35,"6",35,32
7,35,"5",35,32
6,35,"35",35,32
6,35,"3",35,32
6,35,"7",35,32
6,35,"5",35,32
5,35,"35",35,32
5,35,"3",35,32
5,35,"7",35,32
5,35,"6",35,32
2,36,"36",36,32
2,36,"6",36,32
6,36,"36",36,32
6,36,"2",36,32
4,37,"37",37,32
4,37,"7",37,32
7,37,"37",37,32
7,37,"4",37,32
5,38,"38",38,32
5,38,"7",38,32
5,38,"4",38,32
5,38,"3",38,32
7,38,"38",38,32
7,38,"5",38,32
7,38,"4",38,32
7,38,"3",38,32
4,38,"38",38,32
4,38,"5",38,32
4,38,"7",38,32
4,38,"3",38,32
3,38,"38",38,32
3,38,"5",38,32
3,38,"7",38,32
3,38,"4",38,32
1,39,"39",39,32
7,4,"4",4,32
7,4,"5",4,32
7,4,"6",4,32
5,4,"4",4,32
5,4,"7",4,32
5,4,"6",4,32
6,4,"4",4,32
6,4,"7",4,32
6,4,"5",4,32
5,5,"7",5,32
7,5,"5",5,32
7,5,"5",5,32
5,6,"6",6,32
4,7,"7",7,32
6,8,"8",8,32
6,8,"5",8,32
6,8,"7",8,32
6,8,"2",8,32
6,8,"1",8,32
6,8,"3",8,32
6,8,"4",8,32
5,8,"8",8,32
5,8,"6",8,32
5,8,"7",8,32
5,8,"2",8,32
5,8,"1",8,32
5,8,"3",8,32
5,8,"4",8,32
7,8,"8",8,32
7,8,"6",8,32
7,8,"5",8,32
7,8,"2",8,32
7,8,"1",8,32
7,8,"3",8,32
7,8,"4",8,32
2,8,"8",8,32
2,8,"6",8,32
2,8,"5",8,32
2,8,"7",8,32
2,8,"1",8,32
2,8,"3",8,32
2,8,"4",8,32
1,8,"8",8,32
1,8,"6",8,32
1,8,"5",8,32
1,8,"7",8,32
1,8,"2",8,32
1,8,"3",8,32
1,8,"4",8,32
3,8,"8",8,32
3,8,"6",8,32
3,8,"5",8,32
3,8,"7",8,32
3,8,"2",8,32
3,8,"1",8,32
3,8,"4",8,32
4,8,"8",8,32
4,8,"6",8,32
4,8,"5",8,32
4,8,"7",8,32
4,8,"2",8,32
4,8,"1",8,32
4,8,"3",8,32
5,9,"9",9,32
5,9,"7",9,32
5,9,"1",9,32
5,9,"3",9,32
5,9,"2",9,32
5,9,"6",9,32
5,9,"4",9,32
7,9,"9",9,32
7,9,"5",9,32
7,9,"1",9,32
7,9,"3",9,32
7,9,"2",9,32
