"trial_number","layer_from","node_from","layer_to","node_to"
924,1,14,"2",14
924,1,14,"4",14
924,1,20,"5",20
924,1,20,"6",20
924,1,34,"4",34
924,1,46,"2",46
924,1,46,"7",46
924,1,57,"3",57
924,1,67,"2",67
924,1,67,"7",67
924,1,72,"2",72
924,1,72,"4",72
924,1,76,"5",76
924,1,82,"6",82
924,1,85,"6",85
924,1,90,"3",90
924,1,94,"4",94
924,1,160,"3",160
924,1,164,"5",164
924,1,169,"2",169
924,1,172,"6",172
924,1,181,"2",181
924,1,189,"6",189
924,1,189,"7",189
924,1,191,"6",191
924,1,193,"7",193
924,1,194,"3",194
924,1,196,"3",196
924,1,215,"3",215
924,1,221,"5",221
924,1,239,"2",239
924,1,244,"5",244
924,1,249,"3",249
924,1,250,"2",250
924,1,255,"3",255
924,1,257,"3",257
924,1,257,"4",257
924,1,290,"7",290
924,1,299,"7",299
924,1,308,"7",308
924,1,317,"3",317
924,1,331,"4",331
924,1,331,"7",331
924,1,339,"3",339
924,1,339,"7",339
924,1,343,"6",343
924,1,349,"4",349
924,1,356,"5",356
924,1,356,"7",356
924,1,369,"4",369
924,1,396,"6",396
924,1,404,"2",404
924,1,406,"4",406
924,1,407,"4",407
924,1,410,"5",410
924,1,410,"7",410
924,1,435,"4",435
924,1,448,"6",448
924,1,451,"7",451
924,1,467,"5",467
924,1,500,"7",500
924,1,516,"4",516
924,1,516,"6",516
924,1,518,"4",518
924,1,534,"3",534
924,1,551,"4",551
924,1,564,"3",564
924,1,578,"4",578
924,1,578,"7",578
924,1,582,"3",582
924,1,583,"6",583
924,1,602,"4",602
924,1,602,"6",602
924,1,615,"6",615
924,1,677,"6",677
924,1,694,"5",694
924,1,711,"4",711
924,2,14,"1",14
924,2,14,"4",14
924,2,21,"3",21
924,2,24,"6",24
924,2,31,"4",31
924,2,31,"5",31
924,2,33,"4",33
924,2,37,"6",37
924,2,43,"6",43
924,2,46,"1",46
924,2,46,"7",46
924,2,49,"6",49
924,2,55,"3",55
924,2,55,"5",55
924,2,60,"4",60
924,2,67,"1",67
924,2,67,"7",67
924,2,72,"1",72
924,2,72,"4",72
924,2,73,"3",73
924,2,75,"3",75
924,2,77,"6",77
924,2,110,"5",110
924,2,115,"7",115
924,2,125,"3",125
924,2,125,"4",125
924,2,146,"3",146
924,2,146,"7",146
924,2,149,"4",149
924,2,155,"4",155
924,2,155,"5",155
924,2,166,"4",166
924,2,166,"6",166
924,2,169,"1",169
924,2,174,"5",174
924,2,175,"6",175
924,2,175,"7",175
924,2,181,"1",181
924,2,219,"5",219
924,2,222,"6",222
924,2,231,"7",231
924,2,239,"1",239
924,2,242,"6",242
924,2,245,"6",245
924,2,250,"1",250
924,2,258,"3",258
924,2,262,"3",262
924,2,274,"6",274
924,2,274,"7",274
924,2,320,"7",320
924,2,348,"5",348
924,2,366,"3",366
924,2,366,"5",366
924,2,370,"5",370
924,2,371,"3",371
924,2,371,"7",371
924,2,375,"6",375
924,2,385,"3",385
924,2,385,"7",385
924,2,386,"6",386
924,2,404,"1",404
924,2,422,"6",422
924,2,429,"4",429
924,2,442,"7",442
924,2,462,"5",462
924,2,463,"5",463
924,2,471,"7",471
924,2,484,"6",484
924,2,488,"3",488
924,2,488,"4",488
924,2,489,"5",489
924,2,494,"3",494
924,2,497,"3",497
924,2,501,"4",501
924,3,21,"2",21
924,3,55,"2",55
924,3,55,"5",55
924,3,57,"1",57
924,3,58,"4",58
924,3,70,"4",70
924,3,73,"2",73
924,3,75,"2",75
924,3,90,"1",90
924,3,112,"4",112
924,3,118,"4",118
924,3,118,"5",118
924,3,119,"7",119
924,3,123,"4",123
924,3,124,"5",124
924,3,125,"2",125
924,3,125,"4",125
924,3,141,"7",141
924,3,146,"2",146
924,3,146,"7",146
924,3,160,"1",160
924,3,194,"1",194
924,3,196,"1",196
924,3,215,"1",215
924,3,237,"4",237
924,3,249,"1",249
924,3,255,"1",255
924,3,257,"1",257
924,3,257,"4",257
924,3,258,"2",258
924,3,262,"2",262
924,3,285,"5",285
924,3,306,"4",306
924,3,306,"5",306
924,3,306,"7",306
924,3,317,"1",317
924,3,325,"4",325
924,3,325,"5",325
924,3,335,"6",335
924,3,339,"1",339
924,3,339,"7",339
924,3,345,"5",345
924,3,361,"6",361
924,3,363,"6",363
924,3,366,"2",366
924,3,366,"5",366
924,3,371,"2",371
924,3,371,"7",371
924,3,385,"2",385
924,3,385,"7",385
924,3,391,"4",391
924,3,392,"5",392
924,3,403,"6",403
924,3,412,"4",412
924,3,425,"4",425
924,3,441,"5",441
924,3,446,"7",446
924,3,454,"6",454
924,3,474,"4",474
924,3,486,"4",486
924,3,486,"5",486
924,3,488,"2",488
924,3,488,"4",488
924,3,494,"2",494
924,3,497,"2",497
924,3,504,"4",504
924,3,513,"5",513
924,3,534,"1",534
924,3,543,"5",543
924,3,543,"7",543
924,3,549,"4",549
924,3,549,"6",549
924,3,550,"7",550
924,3,552,"5",552
924,3,564,"1",564
924,3,571,"7",571
924,3,582,"1",582
924,3,593,"4",593
924,3,593,"7",593
924,4,14,"1",14
924,4,14,"2",14
924,4,17,"6",17
924,4,31,"2",31
924,4,31,"5",31
924,4,33,"2",33
924,4,34,"1",34
924,4,58,"3",58
924,4,60,"2",60
924,4,68,"7",68
924,4,70,"3",70
924,4,72,"1",72
924,4,72,"2",72
924,4,94,"1",94
924,4,106,"5",106
924,4,106,"6",106
924,4,112,"3",112
924,4,118,"3",118
924,4,118,"5",118
924,4,123,"3",123
924,4,125,"2",125
924,4,125,"3",125
924,4,149,"2",149
924,4,155,"2",155
924,4,155,"5",155
924,4,166,"2",166
924,4,166,"6",166
924,4,176,"7",176
924,4,237,"3",237
924,4,257,"1",257
924,4,257,"3",257
924,4,266,"6",266
924,4,306,"3",306
924,4,306,"5",306
924,4,306,"7",306
924,4,325,"3",325
924,4,325,"5",325
924,4,331,"1",331
924,4,331,"7",331
924,4,349,"1",349
924,4,368,"5",368
924,4,369,"1",369
924,4,378,"5",378
924,4,378,"6",378
924,4,391,"3",391
924,4,406,"1",406
924,4,407,"1",407
924,4,412,"3",412
924,4,425,"3",425
924,4,429,"2",429
924,4,435,"1",435
924,4,456,"5",456
924,4,456,"6",456
924,4,474,"3",474
924,4,486,"3",486
924,4,486,"5",486
924,4,488,"2",488
924,4,488,"3",488
924,4,501,"2",501
924,4,504,"3",504
924,4,516,"1",516
924,4,516,"6",516
924,4,518,"1",518
924,4,537,"7",537
924,4,542,"6",542
924,4,549,"3",549
924,4,549,"6",549
924,4,551,"1",551
924,4,575,"6",575
924,4,575,"7",575
924,4,578,"1",578
924,4,578,"7",578
924,4,593,"3",593
924,4,593,"7",593
924,4,602,"1",602
924,4,602,"6",602
924,4,614,"6",614
924,4,619,"6",619
924,4,642,"6",642
924,4,660,"6",660
924,4,696,"5",696
924,4,706,"5",706
924,4,711,"1",711
924,4,769,"6",769
924,4,781,"5",781
924,4,782,"5",782
924,4,801,"5",801
924,4,836,"5",836
924,4,852,"5",852
924,4,897,"5",897
924,4,1061,"5",1061
924,5,20,"1",20
924,5,20,"6",20
924,5,31,"2",31
924,5,31,"4",31
924,5,55,"2",55
924,5,55,"3",55
924,5,69,"6",69
924,5,76,"1",76
924,5,102,"6",102
924,5,102,"7",102
924,5,106,"4",106
924,5,106,"6",106
924,5,110,"2",110
924,5,113,"7",113
924,5,118,"3",118
924,5,118,"4",118
924,5,124,"3",124
924,5,155,"2",155
924,5,155,"4",155
924,5,164,"1",164
924,5,174,"2",174
924,5,219,"2",219
924,5,221,"1",221
924,5,244,"1",244
924,5,260,"7",260
924,5,269,"7",269
924,5,277,"6",277
924,5,285,"3",285
924,5,306,"3",306
924,5,306,"4",306
924,5,306,"7",306
924,5,325,"3",325
924,5,325,"4",325
924,5,329,"6",329
924,5,329,"7",329
924,5,345,"3",345
924,5,348,"2",348
924,5,356,"1",356
924,5,356,"7",356
924,5,366,"2",366
924,5,366,"3",366
924,5,368,"4",368
924,5,370,"2",370
924,5,378,"4",378
924,5,378,"6",378
924,5,392,"3",392
924,5,410,"1",410
924,5,410,"7",410
924,5,437,"6",437
924,5,437,"7",437
924,5,441,"3",441
924,5,456,"4",456
924,5,456,"6",456
924,5,462,"2",462
924,5,463,"2",463
924,5,467,"1",467
924,5,486,"3",486
924,5,486,"4",486
924,5,489,"2",489
924,5,513,"3",513
924,5,543,"3",543
924,5,543,"7",543
924,5,552,"3",552
924,5,565,"6",565
924,5,617,"6",617
924,5,674,"6",674
924,5,694,"1",694
924,5,696,"4",696
924,5,706,"4",706
924,5,707,"6",707
924,5,781,"4",781
924,5,782,"4",782
924,5,801,"4",801
924,5,836,"4",836
924,5,852,"4",852
924,5,897,"4",897
924,5,1061,"4",1061
924,6,17,"4",17
924,6,20,"1",20
924,6,20,"5",20
924,6,24,"2",24
924,6,37,"2",37
924,6,43,"2",43
924,6,49,"2",49
924,6,69,"5",69
924,6,77,"2",77
924,6,82,"1",82
924,6,85,"1",85
924,6,102,"5",102
924,6,102,"7",102
924,6,106,"4",106
924,6,106,"5",106
924,6,120,"7",120
924,6,166,"2",166
924,6,166,"4",166
924,6,172,"1",172
924,6,175,"2",175
924,6,175,"7",175
924,6,189,"1",189
924,6,189,"7",189
924,6,191,"1",191
924,6,222,"2",222
924,6,242,"2",242
924,6,245,"2",245
924,6,259,"7",259
924,6,266,"4",266
924,6,274,"2",274
924,6,274,"7",274
924,6,277,"5",277
924,6,296,"7",296
924,6,312,"7",312
924,6,329,"5",329
924,6,329,"7",329
924,6,335,"3",335
924,6,343,"1",343
924,6,361,"3",361
924,6,363,"3",363
924,6,375,"2",375
924,6,378,"4",378
924,6,378,"5",378
924,6,386,"2",386
924,6,396,"1",396
924,6,403,"3",403
924,6,422,"2",422
924,6,437,"5",437
924,6,437,"7",437
924,6,448,"1",448
924,6,454,"3",454
924,6,456,"4",456
924,6,456,"5",456
924,6,484,"2",484
924,6,516,"1",516
924,6,516,"4",516
924,6,542,"4",542
924,6,549,"3",549
924,6,549,"4",549
924,6,562,"7",562
924,6,565,"5",565
924,6,575,"4",575
924,6,575,"7",575
924,6,583,"1",583
924,6,602,"1",602
924,6,602,"4",602
924,6,614,"4",614
924,6,615,"1",615
924,6,617,"5",617
924,6,619,"4",619
924,6,642,"4",642
924,6,660,"4",660
924,6,674,"5",674
924,6,677,"1",677
924,6,707,"5",707
924,6,769,"4",769
924,7,46,"1",46
924,7,46,"2",46
924,7,67,"1",67
924,7,67,"2",67
924,7,68,"4",68
924,7,102,"5",102
924,7,102,"6",102
924,7,113,"5",113
924,7,115,"2",115
924,7,119,"3",119
924,7,120,"6",120
924,7,141,"3",141
924,7,146,"2",146
924,7,146,"3",146
924,7,175,"2",175
924,7,175,"6",175
924,7,176,"4",176
924,7,189,"1",189
924,7,189,"6",189
924,7,193,"1",193
924,7,231,"2",231
924,7,259,"6",259
924,7,260,"5",260
924,7,269,"5",269
924,7,274,"2",274
924,7,274,"6",274
924,7,290,"1",290
924,7,296,"6",296
924,7,299,"1",299
924,7,306,"3",306
924,7,306,"4",306
924,7,306,"5",306
924,7,308,"1",308
924,7,312,"6",312
924,7,320,"2",320
924,7,329,"5",329
924,7,329,"6",329
924,7,331,"1",331
924,7,331,"4",331
924,7,339,"1",339
924,7,339,"3",339
924,7,356,"1",356
924,7,356,"5",356
924,7,371,"2",371
924,7,371,"3",371
924,7,385,"2",385
924,7,385,"3",385
924,7,410,"1",410
924,7,410,"5",410
924,7,437,"5",437
924,7,437,"6",437
924,7,442,"2",442
924,7,446,"3",446
924,7,451,"1",451
924,7,471,"2",471
924,7,500,"1",500
924,7,537,"4",537
924,7,543,"3",543
924,7,543,"5",543
924,7,550,"3",550
924,7,562,"6",562
924,7,571,"3",571
924,7,575,"4",575
924,7,575,"6",575
924,7,578,"1",578
924,7,578,"4",578
924,7,593,"3",593
924,7,593,"4",593
924,1,1,"2",1
924,1,1,"3",1
924,1,1,"4",1
924,1,1,"5",1
924,1,1,"6",1
924,1,1,"7",1
924,2,1,"1",1
924,2,1,"3",1
924,2,1,"4",1
924,2,1,"5",1
924,2,1,"6",1
924,2,1,"7",1
924,3,1,"1",1
924,3,1,"2",1
924,3,1,"4",1
924,3,1,"5",1
924,3,1,"6",1
924,3,1,"7",1
924,4,1,"1",1
924,4,1,"2",1
924,4,1,"3",1
924,4,1,"5",1
924,4,1,"6",1
924,4,1,"7",1
924,5,1,"1",1
924,5,1,"2",1
924,5,1,"3",1
924,5,1,"4",1
924,5,1,"6",1
924,5,1,"7",1
924,6,1,"1",1
924,6,1,"2",1
924,6,1,"3",1
924,6,1,"4",1
924,6,1,"5",1
924,6,1,"7",1
924,7,1,"1",1
924,7,1,"2",1
924,7,1,"3",1
924,7,1,"4",1
924,7,1,"5",1
924,7,1,"6",1
