"node_id","layer_id","flow","full_name","short","type","module","relax_rate"
1,1,0.00377495,"Apodemus_agrarius","APAGR","host",2,0.1
1,2,0.00334546,"Apodemus_agrarius","APAGR","host",7,0.1
1,3,0.00469378,"Apodemus_agrarius","APAGR","host",7,0.1
1,4,0.00501297,"Apodemus_agrarius","APAGR","host",7,0.1
1,5,0.00560473,"Apodemus_agrarius","APAGR","host",7,0.1
1,6,0.00225645,"Apodemus_agrarius","APAGR","host",7,0.1
2,1,0.00292639,"Apodemus_peninsulae","APPEN","host",2,0.1
2,2,0.00222066,"Apodemus_peninsulae","APPEN","host",7,0.1
2,3,0.00216188,"Apodemus_peninsulae","APPEN","host",9,0.1
2,4,0.0032906,"Apodemus_peninsulae","APPEN","host",7,0.1
2,5,0.00193448,"Apodemus_peninsulae","APPEN","host",7,0.1
2,6,0.00318396,"Apodemus_peninsulae","APPEN","host",7,0.1
3,2,0.0246621,"Asioscalops_altaica","ASALT","host",6,0.1
3,3,0.00842315,"Asioscalops_altaica","ASALT","host",4,0.1
3,4,0.00311546,"Asioscalops_altaica","ASALT","host",4,0.1
3,5,0.0059431,"Asioscalops_altaica","ASALT","host",4,0.1
3,6,0.00620344,"Asioscalops_altaica","ASALT","host",4,0.1
4,1,0.00713916,"Arvicola_terrestris","ATERR","host",1,0.1
4,2,0.00617534,"Arvicola_terrestris","ATERR","host",1,0.1
4,3,0.0180391,"Arvicola_terrestris","ATERR","host",1,0.1
4,4,0.0107159,"Arvicola_terrestris","ATERR","host",1,0.1
4,5,0.00819948,"Arvicola_terrestris","ATERR","host",1,0.1
4,6,0.0189896,"Arvicola_terrestris","ATERR","host",1,0.1
5,1,0.00384924,"Clethrionomys_glareolus","CLGLA","host",2,0.1
5,2,0.00119079,"Clethrionomys_glareolus","CLGLA","host",11,0.1
5,3,0.00115682,"Clethrionomys_glareolus","CLGLA","host",4,0.1
5,4,0.000379247,"Clethrionomys_glareolus","CLGLA","host",4,0.1
5,5,0.00213734,"Clethrionomys_glareolus","CLGLA","host",5,0.1
5,6,0.00870486,"Clethrionomys_glareolus","CLGLA","host",5,0.1
6,1,0.00516801,"Clethrionomys_rufocanus","CLRUF","host",2,0.1
6,2,0.00120608,"Clethrionomys_rufocanus","CLRUF","host",4,0.1
6,3,0.00276356,"Clethrionomys_rufocanus","CLRUF","host",4,0.1
6,4,0.00274943,"Clethrionomys_rufocanus","CLRUF","host",4,0.1
6,5,0.003025,"Clethrionomys_rufocanus","CLRUF","host",4,0.1
6,6,0.00108901,"Clethrionomys_rufocanus","CLRUF","host",4,0.1
7,1,0.003729,"Clethrionomys_turilus","CLRUT","host",2,0.1
7,2,0.00435616,"Clethrionomys_turilus","CLRUT","host",4,0.1
7,3,0.00528591,"Clethrionomys_turilus","CLRUT","host",4,0.1
7,4,0.00433001,"Clethrionomys_turilus","CLRUT","host",4,0.1
7,5,0.00393354,"Clethrionomys_turilus","CLRUT","host",4,0.1
7,6,0.00271988,"Clethrionomys_turilus","CLRUT","host",4,0.1
8,1,0.000896354,"Cricetus_cricetus","CRICE","host",1,0.1
8,4,0.00941183,"Cricetus_cricetus","CRICE","host",12,0.1
8,5,0.00255928,"Cricetus_cricetus","CRICE","host",4,0.1
8,6,0.00108168,"Cricetus_cricetus","CRICE","host",4,0.1
9,1,0.00344663,"Crocidura_sibirica","CRSIB","host",2,0.1
9,2,0.000766546,"Crocidura_sibirica","CRSIB","host",4,0.1
10,1,0.00273755,"Eutamias_sibiricus","EUSIB","host",3,0.1
10,2,0.00484686,"Eutamias_sibiricus","EUSIB","host",9,0.1
10,3,0.00421119,"Eutamias_sibiricus","EUSIB","host",9,0.1
10,4,0.00500254,"Eutamias_sibiricus","EUSIB","host",4,0.1
10,6,0.00775439,"Eutamias_sibiricus","EUSIB","host",13,0.1
11,1,0.00213911,"Microtus_agrestis","MAGRE","host",2,0.1
11,2,0.00747529,"Microtus_agrestis","MAGRE","host",4,0.1
11,3,0.00540458,"Microtus_agrestis","MAGRE","host",4,0.1
11,4,0.00256599,"Microtus_agrestis","MAGRE","host",4,0.1
11,5,0.00332675,"Microtus_agrestis","MAGRE","host",4,0.1
11,6,0.0016665,"Microtus_agrestis","MAGRE","host",4,0.1
12,1,0.00160888,"Microtus_arvalis","MARVA","host",2,0.1
12,2,0.00277822,"Microtus_arvalis","MARVA","host",4,0.1
12,3,0.00669174,"Microtus_arvalis","MARVA","host",4,0.1
12,4,0.00309009,"Microtus_arvalis","MARVA","host",4,0.1
12,5,0.00693948,"Microtus_arvalis","MARVA","host",4,0.1
12,6,0.00347929,"Microtus_arvalis","MARVA","host",4,0.1
13,1,0.00657593,"Microtus_gregalis","MGREG","host",2,0.1
13,2,0.00550545,"Microtus_gregalis","MGREG","host",8,0.1
13,3,0.0130969,"Microtus_gregalis","MGREG","host",8,0.1
13,4,0.00362751,"Microtus_gregalis","MGREG","host",4,0.1
13,5,0.00443702,"Microtus_gregalis","MGREG","host",4,0.1
13,6,0.000673537,"Microtus_gregalis","MGREG","host",4,0.1
14,1,0.000858218,"Microtus_minutus","MIMIN","host",2,0.1
14,2,0.000724628,"Microtus_minutus","MIMIN","host",10,0.1
14,3,0.000634944,"Microtus_minutus","MIMIN","host",10,0.1
14,4,0.00237713,"Microtus_minutus","MIMIN","host",10,0.1
14,5,0.00403549,"Microtus_minutus","MIMIN","host",10,0.1
14,6,0.000425448,"Microtus_minutus","MIMIN","host",5,0.1
15,1,0.00532229,"Microtus_oeconomus","MOECO","host",2,0.1
15,2,0.00222981,"Microtus_oeconomus","MOECO","host",4,0.1
15,3,0.00271326,"Microtus_oeconomus","MOECO","host",4,0.1
15,4,0.00504615,"Microtus_oeconomus","MOECO","host",4,0.1
15,5,0.00373807,"Microtus_oeconomus","MOECO","host",4,0.1
15,6,0.00794923,"Microtus_oeconomus","MOECO","host",4,0.1
16,2,0.00305896,"Mus_musculus","MUSMU","host",11,0.1
16,3,0.000502004,"Mus_musculus","MUSMU","host",11,0.1
16,4,0.000551055,"Mus_musculus","MUSMU","host",4,0.1
17,2,0.001698,"Neomys_fodiens","NEOFO","host",5,0.1
17,3,0.0102248,"Neomys_fodiens","NEOFO","host",5,0.1
17,4,0.00800994,"Neomys_fodiens","NEOFO","host",5,0.1
17,5,0.0105613,"Neomys_fodiens","NEOFO","host",5,0.1
17,6,0.0161767,"Neomys_fodiens","NEOFO","host",5,0.1
18,2,0.00153309,"Rattus_norvegicus","RNORV","host",4,0.1
18,5,0.0010397,"Rattus_norvegicus","RNORV","host",4,0.1
19,1,0.00621285,"Sorex_araneus","SARAN","host",2,0.1
19,2,0.00309047,"Sorex_araneus","SARAN","host",5,0.1
19,3,0.00330715,"Sorex_araneus","SARAN","host",5,0.1
19,4,0.00427403,"Sorex_araneus","SARAN","host",5,0.1
19,5,0.00388558,"Sorex_araneus","SARAN","host",5,0.1
19,6,0.00544115,"Sorex_araneus","SARAN","host",5,0.1
20,1,0.00209637,"Sorex_caecutiens","SCAEC","host",2,0.1
20,2,0.000449935,"Sorex_caecutiens","SCAEC","host",4,0.1
20,4,0.00291933,"Sorex_caecutiens","SCAEC","host",5,0.1
20,5,0.0034681,"Sorex_caecutiens","SCAEC","host",5,0.1
21,1,0.000856482,"Sicista_betulina","SBETU","host",2,0.1
21,2,0.00173144,"Sicista_betulina","SBETU","host",4,0.1
21,3,0.000946761,"Sicista_betulina","SBETU","host",4,0.1
21,4,0.00210563,"Sicista_betulina","SBETU","host",4,0.1
21,5,0.0020114,"Sicista_betulina","SBETU","host",4,0.1
21,6,0.0017515,"Sicista_betulina","SBETU","host",4,0.1
22,1,0.0066657,"Sorex_isodon","SISOD","host",2,0.1
22,3,0.00179122,"Sorex_isodon","SISOD","host",5,0.1
22,4,0.0022166,"Sorex_isodon","SISOD","host",5,0.1
22,5,0.00405243,"Sorex_isodon","SISOD","host",5,0.1
22,6,0.00506697,"Sorex_isodon","SISOD","host",5,0.1
23,1,0.00200817,"Sorex_minutus","SMINU","host",2,0.1
23,2,0.000484134,"Sorex_minutus","SMINU","host",4,0.1
23,3,0.000519996,"Sorex_minutus","SMINU","host",5,0.1
23,4,0.000793435,"Sorex_minutus","SMINU","host",5,0.1
23,5,0.00176882,"Sorex_minutus","SMINU","host",5,0.1
23,6,0.00259542,"Sorex_minutus","SMINU","host",5,0.1
24,3,0.000348787,"Sorex_vir","SOVIR","host",5,0.1
25,1,0.000504932,"Sorex_tundrensis","STUND","host",2,0.1
25,2,0.00146615,"Sorex_tundrensis","STUND","host",5,0.1
25,3,0.00216126,"Sorex_tundrensis","STUND","host",5,0.1
25,4,0.00100049,"Sorex_tundrensis","STUND","host",5,0.1
25,5,0.00198263,"Sorex_tundrensis","STUND","host",5,0.1
25,6,0.00287461,"Sorex_tundrensis","STUND","host",4,0.1
26,1,0.000110736,"Amphipsylla_sibirica","Amphsib","paras",1,0.1
26,2,0.000260315,"Amphipsylla_sibirica","Amphsib","paras",4,0.1
26,3,0.000227118,"Amphipsylla_sibirica","Amphsib","paras",8,0.1
26,4,7.37804e-05,"Amphipsylla_sibirica","Amphsib","paras",5,0.1
26,5,7.03292e-05,"Amphipsylla_sibirica","Amphsib","paras",5,0.1
26,6,3.86649e-05,"Amphipsylla_sibirica","Amphsib","paras",4,0.1
27,1,0.000108931,"Megabothrys_calcarifer","Cercal","paras",2,0.1
28,1,0.000615833,"Ceratophyllus_indages","Cerind","paras",3,0.1
28,2,0.00263171,"Ceratophyllus_indages","Cerind","paras",9,0.1
28,3,0.00114847,"Ceratophyllus_indages","Cerind","paras",9,0.1
28,4,0.00057078,"Ceratophyllus_indages","Cerind","paras",4,0.1
28,6,0.00030587,"Ceratophyllus_indages","Cerind","paras",4,0.1
29,5,8.17665e-05,"Ceratophyllus_garei","Cgarei","paras",4,0.1
30,1,0.00493197,"Ctenophtalmus_assimilis","Ctass","paras",2,0.1
30,2,0.00523668,"Ctenophtalmus_assimilis","Ctass","paras",6,0.1
30,3,0.00402784,"Ctenophtalmus_assimilis","Ctass","paras",4,0.1
30,4,0.00508489,"Ctenophtalmus_assimilis","Ctass","paras",4,0.1
30,5,0.0112046,"Ctenophtalmus_assimilis","Ctass","paras",4,0.1
30,6,0.0113854,"Ctenophtalmus_assimilis","Ctass","paras",4,0.1
31,1,5.12117e-05,"Megabothris_turbidus","Cturb","paras",2,0.1
31,2,0.000240898,"Megabothris_turbidus","Cturb","paras",1,0.1
31,3,0.000119318,"Megabothris_turbidus","Cturb","paras",4,0.1
31,5,0.000266305,"Megabothris_turbidus","Cturb","paras",10,0.1
32,1,0.00607557,"Megabothris_rectangulatus","Crect","paras",2,0.1
32,2,0.00218009,"Megabothris_rectangulatus","Crect","paras",4,0.1
32,3,0.00462858,"Megabothris_rectangulatus","Crect","paras",4,0.1
32,4,0.00777335,"Megabothris_rectangulatus","Crect","paras",4,0.1
32,5,0.00691312,"Megabothris_rectangulatus","Crect","paras",4,0.1
32,6,0.00609377,"Megabothris_rectangulatus","Crect","paras",4,0.1
33,1,0.00834282,"Amalaraeus_penicilliger","Cpen","paras",1,0.1
33,2,0.00449897,"Amalaraeus_penicilliger","Cpen","paras",1,0.1
33,3,0.00887978,"Amalaraeus_penicilliger","Cpen","paras",1,0.1
33,4,0.00615993,"Amalaraeus_penicilliger","Cpen","paras",1,0.1
33,5,0.0060906,"Amalaraeus_penicilliger","Cpen","paras",1,0.1
33,6,0.00808615,"Amalaraeus_penicilliger","Cpen","paras",1,0.1
34,4,0.000341681,"Doratopsylla_birulai","Doratbir","paras",5,0.1
34,5,0.000456514,"Doratopsylla_birulai","Doratbir","paras",5,0.1
34,6,0.00152175,"Doratopsylla_birulai","Doratbir","paras",5,0.1
35,1,2.53283e-05,"Frontopsylla_elata","Frel","paras",2,0.1
35,4,8.24729e-05,"Frontopsylla_elata","Frel","paras",4,0.1
35,5,3.05354e-05,"Frontopsylla_elata","Frel","paras",7,0.1
36,1,0.00475049,"Histrichopsylla_talpae","Htalp","paras",2,0.1
36,2,0.0020284,"Histrichopsylla_talpae","Htalp","paras",4,0.1
36,3,0.00136709,"Histrichopsylla_talpae","Htalp","paras",4,0.1
36,4,0.0028266,"Histrichopsylla_talpae","Htalp","paras",4,0.1
36,5,0.00325655,"Histrichopsylla_talpae","Htalp","paras",4,0.1
36,6,0.00176407,"Histrichopsylla_talpae","Htalp","paras",4,0.1
37,2,0.000814615,"Leptopsylla_segnis","Leptsegn","paras",11,0.1
37,4,6.45434e-05,"Leptopsylla_segnis","Leptsegn","paras",7,0.1
37,5,7.0805e-05,"Leptopsylla_segnis","Leptsegn","paras",1,0.1
38,1,0.00150179,"Neopsylla_acanthina","Nac","paras",2,0.1
38,2,0.00114265,"Neopsylla_acanthina","Nac","paras",9,0.1
38,3,0.00283155,"Neopsylla_acanthina","Nac","paras",9,0.1
38,4,0.00109342,"Neopsylla_acanthina","Nac","paras",7,0.1
