"layer_id","node_id","type","layer_name","n"
1,2,"plant","WesternSahara",1
1,3,"plant","WesternSahara",1
1,8,"plant","WesternSahara",1
1,9,"plant","WesternSahara",1
1,12,"plant","WesternSahara",1
1,14,"plant","WesternSahara",1
1,15,"plant","WesternSahara",1
1,17,"plant","WesternSahara",1
1,24,"plant","WesternSahara",1
1,26,"plant","WesternSahara",1
1,28,"plant","WesternSahara",1
1,39,"plant","WesternSahara",1
1,45,"pollinator","WesternSahara",1
1,49,"pollinator","WesternSahara",1
1,51,"pollinator","WesternSahara",1
1,54,"pollinator","WesternSahara",1
1,57,"pollinator","WesternSahara",1
1,58,"pollinator","WesternSahara",1
1,61,"pollinator","WesternSahara",1
1,63,"pollinator","WesternSahara",1
1,65,"pollinator","WesternSahara",1
1,72,"pollinator","WesternSahara",1
1,82,"pollinator","WesternSahara",1
1,86,"pollinator","WesternSahara",1
1,99,"pollinator","WesternSahara",1
1,100,"pollinator","WesternSahara",1
1,101,"pollinator","WesternSahara",1
1,104,"pollinator","WesternSahara",1
1,113,"pollinator","WesternSahara",1
1,116,"pollinator","WesternSahara",1
1,117,"pollinator","WesternSahara",1
1,119,"pollinator","WesternSahara",1
1,147,"pollinator","WesternSahara",1
1,160,"pollinator","WesternSahara",1
1,161,"pollinator","WesternSahara",1
1,164,"pollinator","WesternSahara",1
1,170,"pollinator","WesternSahara",1
1,171,"pollinator","WesternSahara",1
1,172,"pollinator","WesternSahara",1
1,180,"pollinator","WesternSahara",1
1,187,"pollinator","WesternSahara",1
1,188,"pollinator","WesternSahara",1
1,189,"pollinator","WesternSahara",1
1,194,"pollinator","WesternSahara",1
1,196,"pollinator","WesternSahara",1
1,198,"pollinator","WesternSahara",1
1,206,"pollinator","WesternSahara",1
1,212,"pollinator","WesternSahara",1
1,216,"pollinator","WesternSahara",1
1,221,"pollinator","WesternSahara",1
1,222,"pollinator","WesternSahara",1
1,225,"pollinator","WesternSahara",1
1,230,"pollinator","WesternSahara",1
1,231,"pollinator","WesternSahara",1
1,232,"pollinator","WesternSahara",1
1,237,"pollinator","WesternSahara",1
1,242,"pollinator","WesternSahara",1
1,244,"pollinator","WesternSahara",1
1,250,"pollinator","WesternSahara",1
1,256,"pollinator","WesternSahara",1
1,258,"pollinator","WesternSahara",1
1,259,"pollinator","WesternSahara",1
1,261,"pollinator","WesternSahara",1
1,262,"pollinator","WesternSahara",1
1,267,"pollinator","WesternSahara",1
1,271,"pollinator","WesternSahara",1
1,273,"pollinator","WesternSahara",1
1,281,"pollinator","WesternSahara",1
1,284,"pollinator","WesternSahara",1
1,285,"pollinator","WesternSahara",1
1,286,"pollinator","WesternSahara",1
1,287,"pollinator","WesternSahara",1
2,8,"plant","Fuerteventura",1
2,9,"plant","Fuerteventura",1
2,14,"plant","Fuerteventura",1
2,15,"plant","Fuerteventura",1
2,17,"plant","Fuerteventura",1
2,22,"plant","Fuerteventura",1
2,26,"plant","Fuerteventura",1
2,32,"plant","Fuerteventura",1
2,36,"plant","Fuerteventura",1
2,48,"pollinator","Fuerteventura",1
