"layer_from","layer_to","turnover","distance_in_km"
1,10,0.230769230769231,389.0816723
1,11,0.208333333333333,390.0210886
1,12,0.25,389.9995747
1,13,0.166666666666667,437.3667753
1,2,0.733333333333333,0.505679714
1,3,0.28,305.0290863
1,4,0.363636363636364,305.0142086
1,5,0.214285714285714,244.1261002
1,6,0.222222222222222,244.2182947
1,7,0.21875,339.3176653
1,8,0.2,339.3409395
1,9,0.24,389.0412745
10,11,0.521739130434783,52.63394478
10,12,0.565217391304348,52.69921787
10,13,0.545454545454545,129.3138797
11,12,0.65,0.070701802
11,13,0.55,80.1155239
12,13,0.6,80.06946551
13,14,0.470588235294118,0.093399466
2,10,0.333333333333333,389.146973
2,11,0.208333333333333,390.0182084
2,12,0.363636363636364,389.9966073
2,13,0.217391304347826,437.2850066
2,3,0.28,305.48351
2,4,0.363636363636364,305.4685845
2,5,0.307692307692308,244.3428621
2,6,0.269230769230769,244.4351061
2,7,0.181818181818182,339.4225451
2,8,0.235294117647059,339.4459549
2,9,0.291666666666667,389.1067971
3,10,0.461538461538462,337.1673216
3,11,0.4,376.9087486
3,12,0.5,376.9431528
3,13,0.36,455.6828693
3,4,0.8,0.067363151
3,5,0.538461538461538,190.5172168
3,6,0.5,190.493473
3,7,0.363636363636364,284.29192
3,8,0.411764705882353,284.2256416
3,9,0.48,337.0109202
4,10,0.333333333333333,337.1000413
4,11,0.269230769230769,376.8421066
4,12,0.36,376.8765125
4,13,0.230769230769231,455.6166148
4,5,0.407407407407407,190.4557312
4,6,0.37037037037037,190.431974
4,7,0.34375,284.225063
4,8,0.352941176470588,284.1587826
4,9,0.346153846153846,336.9436391
5,10,0.538461538461538,173.9384686
5,11,0.423076923076923,200.2790495
5,12,0.583333333333333,200.2963813
5,13,0.44,274.3210892
5,6,0.782608695652174,0.09595512
5,7,0.516129032258065,116.4980882
5,8,0.666666666666667,116.4732763
5,9,0.444444444444444,173.8276658
6,10,0.56,173.8900276
6,11,0.44,200.2521231
6,12,0.541666666666667,200.2694864
6,13,0.458333333333333,274.3063841
6,7,0.4375,116.4480545
6,8,0.53125,116.4231775
6,9,0.52,173.7791593
7,10,0.323529411764706,57.5070912
7,11,0.448275862068966,92.94379946
7,12,0.433333333333333,92.98262174
7,13,0.32258064516129,172.7022428
7,8,0.833333333333333,0.095901643
7,9,0.333333333333333,57.39105093
8,10,0.454545454545455,57.53741864
8,11,0.40625,93.01648528
8,12,0.533333333333333,93.05534728
8,13,0.375,172.7785189
8,9,0.382352941176471,57.4211674
9,10,0.85,0.176725963
9,11,0.545454545454545,52.80377965
9,12,0.521739130434783,52.86902752
9,13,0.571428571428571,129.4906054
