"layer_from","layer_to","ave","sd","mean_distance","type"
1,2,0.169725600837109,0.0800296425333656,305248.84735,"null_both"
1,3,0.138821928417113,0.0724500369268144,244280.590775,"null_both"
1,4,0.116748229867383,0.0679054100655573,339381.7762,"null_both"
1,5,0.145105118232809,0.0726902341319272,389094.179225,"null_both"
1,6,0.13337209416555,0.0732675357207312,390008.86975,"null_both"
1,7,0.13170664554157,0.0757398787446587,437371.016375,"null_both"
2,3,0.15111741577546,0.0807920568411627,190474.59875,"null_both"
2,4,0.124953876898493,0.0714810465133094,284225.3518,"null_both"
2,5,0.14690787062009,0.0714176644601143,337055.48055,"null_both"
2,6,0.142310366318894,0.0735477653908617,376892.630125,"null_both"
2,7,0.140022890199942,0.0834664813773881,455676.643375,"null_both"
3,4,0.118678854409252,0.0724134588886562,116460.649125,"null_both"
3,5,0.142088991237876,0.0741376699313706,173858.830325,"null_both"
3,6,0.136727251444544,0.0777284859187651,200274.260075,"null_both"
3,7,0.129442155504753,0.0810941266053147,274346.546,"null_both"
4,5,0.119596177854374,0.0688494040722385,57464.1820425,"null_both"
4,6,0.109237067815364,0.0708054404895469,92999.56344,"null_both"
4,7,0.10988115287847,0.0782264342506108,172763.448,"null_both"
5,6,0.131787621605052,0.071851072550141,52751.492455,"null_both"
5,7,0.124302708860926,0.0726533689566242,129414.4136,"null_both"
6,7,0.129881145716057,0.0828257149327742,80112.73198,"null_both"
