"layer_from","layer_to","ave","sd","mean_distance","type","mean_dist_in_km"
1,2,0.0666666666666667,NA,305248.84735,"empirical",305.24884735
1,3,0.0625,NA,244280.590775,"empirical",244.280590775
1,4,0.0526315789473684,NA,339381.7762,"empirical",339.3817762
1,5,0.105263157894737,NA,389094.179225,"empirical",389.094179225
1,6,0.0588235294117647,NA,390008.86975,"empirical",390.00886975
2,3,0.307692307692308,NA,190474.59875,"empirical",190.47459875
2,4,0.25,NA,284225.3518,"empirical",284.2253518
2,5,0.235294117647059,NA,337055.48055,"empirical",337.05548055
2,6,0.384615384615385,NA,376892.630125,"empirical",376.892630125
2,7,0.153846153846154,NA,455676.643375,"empirical",455.676643375
3,4,0.5,NA,116460.649125,"empirical",116.460649125
3,5,0.466666666666667,NA,173858.830325,"empirical",173.858830325
3,6,0.461538461538462,NA,200274.260075,"empirical",200.274260075
3,7,0.333333333333333,NA,274346.546,"empirical",274.346546
4,5,0.5625,NA,57464.1820425,"empirical",57.4641820425
4,6,0.466666666666667,NA,92999.56344,"empirical",92.99956344
4,7,0.266666666666667,NA,172763.448,"empirical",172.763448
5,6,0.533333333333333,NA,52751.492455,"empirical",52.751492455
5,7,0.428571428571429,NA,129414.4136,"empirical",129.4144136
6,7,0.307692307692308,NA,80112.73198,"empirical",80.11273198
1,2,0.086343864799631,0.0671952813396077,305248.84735,"null_pollinators",305.24884735
1,3,0.0584853403519425,0.0582086660124432,244280.590775,"null_pollinators",244.280590775
1,4,0.0521771663793723,0.0541283870881094,339381.7762,"null_pollinators",339.3817762
1,5,0.0559200281128064,0.0586509307542024,389094.179225,"null_pollinators",389.094179225
1,6,0.0468763610529477,0.0542483310357052,390008.86975,"null_pollinators",390.00886975
1,7,0.0242930849980773,0.0448461597169924,437371.016375,"null_pollinators",437.371016375
2,3,0.105463410682025,0.0724310412325428,190474.59875,"null_pollinators",190.47459875
2,4,0.0936492180720896,0.0719583320988186,284225.3518,"null_pollinators",284.2253518
2,5,0.084851342933812,0.0722272117387887,337055.48055,"null_pollinators",337.05548055
2,6,0.076811862565539,0.0718114295218377,376892.630125,"null_pollinators",376.892630125
2,7,0.0283023605479488,0.0479214547605827,455676.643375,"null_pollinators",455.676643375
3,4,0.0836075050164833,0.0729892295807055,116460.649125,"null_pollinators",116.460649125
3,5,0.0728799419749497,0.0702582789864385,173858.830325,"null_pollinators",173.858830325
3,6,0.0677466688540218,0.0704087475841902,200274.260075,"null_pollinators",200.274260075
3,7,0.0237817210567211,0.0470427380160381,274346.546,"null_pollinators",274.346546
4,5,0.114901977275391,0.0848137071856895,57464.1820425,"null_pollinators",57.4641820425
4,6,0.0831195203489321,0.0732973216566812,92999.56344,"null_pollinators",92.99956344
4,7,0.0325227138874198,0.0525190337243081,172763.448,"null_pollinators",172.763448
5,6,0.0911174820879155,0.0787701555210987,52751.492455,"null_pollinators",52.751492455
5,7,0.0382383770598167,0.0626377994158185,129414.4136,"null_pollinators",129.4144136
6,7,0.0397412530280177,0.0629874452071291,80112.73198,"null_pollinators",80.11273198
1,2,0.0510930726136608,0.0532373815675907,305248.84735,"null_plants",305.24884735
1,3,0.0200775946275946,0.0329327870349405,244280.590775,"null_plants",244.280590775
1,4,0.0163941649466804,0.0285480883348734,339381.7762,"null_plants",339.3817762
1,5,0.0229429326993955,0.0320714983209555,389094.179225,"null_plants",389.094179225
1,6,0.0448701207676053,0.0421374734647162,390008.86975,"null_plants",390.00886975
1,7,0.00581586134453782,0.0200723371660647,437371.016375,"null_plants",437.371016375
2,3,0.217249970862471,0.0676942145466152,190474.59875,"null_plants",190.47459875
2,4,0.178922194390577,0.0517730359255008,284225.3518,"null_plants",284.2253518
2,5,0.162021836831899,0.0604034393011631,337055.48055,"null_plants",337.05548055
2,6,0.185918344400697,0.0692786768206467,376892.630125,"null_plants",376.892630125
2,7,0.141033417970918,0.0603907998385611,455676.643375,"null_plants",455.676643375
3,4,0.247657050139403,0.0705453175509609,116460.649125,"null_plants",116.460649125
3,5,0.163423548918402,0.0559792893891025,173858.830325,"null_plants",173.858830325
3,6,0.236129932975521,0.0657801160437378,200274.260075,"null_plants",200.274260075
3,7,0.191888883338883,0.0716560629525789,274346.546,"null_plants",274.346546
4,5,0.206478468843678,0.0546907748487418,57464.1820425,"null_plants",57.4641820425
4,6,0.165345241166642,0.0572173027046029,92999.56344,"null_plants",92.99956344
4,7,0.158106095946537,0.0554939556764115,172763.448,"null_plants",172.763448
5,6,0.16400760855072,0.0555037117874611,52751.492455,"null_plants",52.751492455
5,7,0.149594025762679,0.0487445109539126,129414.4136,"null_plants",129.4144136
6,7,0.202005638805639,0.0749992549775874,80112.73198,"null_plants",80.11273198
1,2,0.0785633105886202,0.065525923632858,305248.84735,"null_both",305.24884735
