"module","node_id","layer_id","flow","type","species","size_of_module"
1,8,4,0.00244921,"plant","Euphorbia.balsamifera..f.",109
1,8,3,0.00749946,"plant","Euphorbia.balsamifera..f.",109
1,62,6,0.00309375,"pollinator","Aprostocetus_occidentalis",109
1,20,6,0.000687968,"plant","Lavendula.multifida",109
1,238,4,0.000315465,"pollinator","Sarcophagidae_sp._8",109
1,242,7,6.88575e-05,"pollinator","Sciaridae_sp.",109
1,68,6,0.000205067,"pollinator","Araneidae_sp._2",109
1,197,6,0.000414882,"pollinator","Nyctia_lugubris",109
1,62,4,5.73573e-05,"pollinator","Aprostocetus_occidentalis",109
1,10,5,0.000483186,"plant","Euphorbia.lamarckii",109
1,35,5,0.000644586,"plant","Rubia.fruticosa",109
1,134,7,6.88575e-05,"pollinator","Empis_sp._1",109
1,148,6,0.000209815,"pollinator","Exetastes_segmentarius",109
1,10,4,0.00502321,"plant","Euphorbia.lamarckii",109
1,31,5,0.00270753,"plant","Periploca.laevigata",109
1,40,4,0.000146889,"pollinator","Agromyzidae_sp._1",109
1,8,5,0.00305642,"plant","Euphorbia.balsamifera..f.",109
1,35,7,0.000504757,"plant","Rubia.fruticosa",109
1,174,3,5.48662e-05,"pollinator","Macroglossum_stellatarum",109
1,243,6,0.000517181,"pollinator","Sciaridae_sp._1",109
1,245,6,0.000179392,"pollinator","Scymnus_canariensis",109
1,170,7,0.000923656,"pollinator","Lucilia_sericata",109
1,8,7,0.0031858,"plant","Euphorbia.balsamifera..f.",109
1,260,5,1.94063e-05,"pollinator","Tethina_marmorata",109
1,112,3,5.48662e-05,"pollinator","Coccinella_miranda",109
1,92,7,0.017393,"pollinator","Camponotus_feae",109
1,235,4,0.000200751,"pollinator","Sarcophagidae_sp._5",109
1,186,4,6.57118e-05,"pollinator","Mordellistena_cf._canariensis",109
1,101,3,4.72053e-05,"pollinator","Chetogena_acuminata",109
1,41,5,1.90458e-05,"pollinator","Agromyzidae?_sp._2",109
1,96,5,1.94063e-05,"pollinator","Ceratogoponidae_sp.",109
1,8,6,0.0160098,"plant","Euphorbia.balsamifera..f.",109
1,101,6,0.000502606,"pollinator","Chetogena_acuminata",109
1,31,4,0.00673423,"plant","Periploca.laevigata",109
1,144,6,0.00015289,"pollinator","Eupelmus_testaceiventris",109
1,123,3,4.72053e-05,"pollinator","Curculionidae_sp.",109
1,70,3,4.72053e-05,"pollinator","Atherigona_varia",109
1,207,7,6.88575e-05,"pollinator","Paratrechina_longicornis",109
1,133,7,4.20088e-05,"pollinator","Empididae_sp._1",109
1,173,4,6.57118e-05,"pollinator","Macrocoma_splendens",109
1,7,4,4.15912e-05,"plant","Ceropegia.fusca",109
1,235,6,0.000263014,"pollinator","Sarcophagidae_sp._5",109
1,108,7,5.14465e-05,"pollinator","Chloropidae_sp._4",109
1,35,6,0.00475476,"plant","Rubia.fruticosa",109
1,10,7,0.0147274,"plant","Euphorbia.lamarckii",109
1,187,6,0.000595284,"pollinator","Musca_domestica",109
1,163,7,0.00111522,"pollinator","Lasioglossum_loetum",109
1,111,4,0.00108266,"pollinator","Chrysomya_albiceps",109
1,170,4,0.000618961,"pollinator","Lucilia_sericata",109
1,92,2,0.00244543,"pollinator","Camponotus_feae",109
1,219,6,0.00015289,"pollinator","Platypalpus_sp._1",109
1,111,7,6.88575e-05,"pollinator","Chrysomya_albiceps",109
1,209,7,6.88575e-05,"pollinator","Perilampus_sp._2",109
1,112,5,1.90458e-05,"pollinator","Coccinella_miranda",109
1,84,4,6.57118e-05,"pollinator","Blaesoxipha_sp._1",109
