"layer_from","layer_to","ave","sd","ave_dist","trial","mean_dist_in_km"
1,2,0.222222222222222,NA,305248.84735,"empirical",305.24884735
1,3,0.130434782608696,NA,244280.590775,"empirical",244.280590775
1,4,0.0740740740740741,NA,339381.7762,"empirical",339.3817762
1,5,0.103448275862069,NA,389094.179225,"empirical",389.094179225
1,6,0.115384615384615,NA,390008.86975,"empirical",390.00886975
2,3,0.523809523809524,NA,190474.59875,"empirical",190.47459875
2,4,0.25,NA,284225.3518,"empirical",284.2253518
2,5,0.310344827586207,NA,337055.48055,"empirical",337.05548055
2,6,0.346153846153846,NA,376892.630125,"empirical",376.892630125
2,7,0.12,NA,455676.643375,"empirical",455.676643375
3,4,0.392857142857143,NA,116460.649125,"empirical",116.460649125
3,5,0.4,NA,173858.830325,"empirical",173.858830325
3,6,0.5,NA,200274.260075,"empirical",200.274260075
3,7,0.230769230769231,NA,274346.546,"empirical",274.346546
4,5,0.551724137931034,NA,57464.1820425,"empirical",57.4641820425
4,6,0.555555555555556,NA,92999.56344,"empirical",92.99956344
4,7,0.25,NA,172763.448,"empirical",172.763448
5,6,0.5,NA,52751.492455,"empirical",52.751492455
5,7,0.461538461538462,NA,129414.4136,"empirical",129.4144136
6,7,0.346153846153846,NA,80112.73198,"empirical",80.11273198
1,2,0.25,NA,305248.84735,"0.1",305.24884735
1,3,0.2,NA,244280.590775,"0.1",244.280590775
1,4,0.117647058823529,NA,339381.7762,"0.1",339.3817762
1,5,0.125,NA,389094.179225,"0.1",389.094179225
1,6,0.1875,NA,390008.86975,"0.1",390.00886975
1,7,0.0714285714285714,NA,437371.016375,"0.1",437.371016375
2,3,0.357142857142857,NA,190474.59875,"0.1",190.47459875
2,4,0.333333333333333,NA,284225.3518,"0.1",284.2253518
2,5,0.357142857142857,NA,337055.48055,"0.1",337.05548055
2,6,0.428571428571429,NA,376892.630125,"0.1",376.892630125
2,7,0.142857142857143,NA,455676.643375,"0.1",455.676643375
3,4,0.533333333333333,NA,116460.649125,"0.1",116.460649125
3,5,0.466666666666667,NA,173858.830325,"0.1",173.858830325
3,6,0.533333333333333,NA,200274.260075,"0.1",200.274260075
3,7,0.266666666666667,NA,274346.546,"0.1",274.346546
4,5,0.642857142857143,NA,57464.1820425,"0.1",57.4641820425
4,6,0.714285714285714,NA,92999.56344,"0.1",92.99956344
4,7,0.333333333333333,NA,172763.448,"0.1",172.763448
5,6,0.533333333333333,NA,52751.492455,"0.1",52.751492455
5,7,0.461538461538462,NA,129414.4136,"0.1",129.4144136
6,7,0.428571428571429,NA,80112.73198,"0.1",80.11273198
1,2,0.25,NA,305248.84735,"0.2",305.24884735
1,3,0.25,NA,244280.590775,"0.2",244.280590775
1,4,0.15,NA,339381.7762,"0.2",339.3817762
