"layer_from","layer_to","ave","sd","mean_distance","type"
1,2,0.367262256213034,0.0529257621590739,305248.84735,"null_plants"
1,3,0.271821668285183,0.0459308176232278,244280.590775,"null_plants"
1,4,0.285016481219723,0.042411089601803,339381.7762,"null_plants"
1,5,0.288588377080353,0.0475832185388982,389094.179225,"null_plants"
1,6,0.325468562773968,0.0487374494644974,390008.86975,"null_plants"
1,7,0.240021136550444,0.0498574529441723,437371.016375,"null_plants"
2,3,0.446387019842144,0.049497677113371,190474.59875,"null_plants"
2,4,0.443054106378394,0.04760487836437,284225.3518,"null_plants"
2,5,0.368481677467771,0.0491111256949091,337055.48055,"null_plants"
2,6,0.465909047674795,0.0503539099166757,376892.630125,"null_plants"
2,7,0.357577433061237,0.0519673861246221,455676.643375,"null_plants"
3,4,0.604868196728941,0.0552977266940083,116460.649125,"null_plants"
3,5,0.494177252820419,0.0499725824810751,173858.830325,"null_plants"
3,6,0.539364124938931,0.0567407389944261,200274.260075,"null_plants"
3,7,0.431390605649142,0.0550251681598921,274346.546,"null_plants"
4,5,0.586371999526771,0.0491154819362651,57464.1820425,"null_plants"
4,6,0.543538106548115,0.0532297262623303,92999.56344,"null_plants"
4,7,0.385130388031749,0.050292176220552,172763.448,"null_plants"
5,6,0.471257677354462,0.0547307872413028,52751.492455,"null_plants"
5,7,0.432978928652858,0.0548616989212867,129414.4136,"null_plants"
6,7,0.473324823694618,0.0574957504547679,80112.73198,"null_plants"
