"trial_number","layer_from","layer_to","turnover"
1,1,2,0.104838709677419
1,1,3,0.0634920634920635
1,1,4,0.0909090909090909
1,1,5,0.0869565217391304
1,1,6,0.0859375
1,1,7,0.0458015267175573
1,2,3,0.165137614678899
1,2,4,0.155038759689922
1,2,5,0.134920634920635
1,2,6,0.189189189189189
1,2,7,0.111111111111111
1,3,4,0.247863247863248
1,3,5,0.25
1,3,6,0.252427184466019
1,3,7,0.175925925925926
1,4,5,0.275590551181102
1,4,6,0.237704918032787
1,4,7,0.1640625
1,5,6,0.208333333333333
1,5,7,0.211864406779661
1,6,7,0.245283018867925
2,1,2,0.096
2,1,3,0.072
2,1,4,0.0833333333333333
2,1,5,0.0714285714285714
2,1,6,0.103174603174603
2,1,7,0.0703125
2,2,3,0.165137614678899
2,2,4,0.146153846153846
2,2,5,0.1
2,2,6,0.178571428571429
2,2,7,0.120689655172414
2,3,4,0.258620689655172
2,3,5,0.238938053097345
2,3,6,0.264705882352941
2,3,7,0.19811320754717
2,4,5,0.275590551181102
2,4,6,0.247933884297521
2,4,7,0.182539682539683
2,5,6,0.169354838709677
2,5,7,0.211864406779661
2,6,7,0.257142857142857
3,1,2,0.122950819672131
3,1,3,0.072
3,1,4,0.0909090909090909
3,1,5,0.079136690647482
3,1,6,0.094488188976378
3,1,7,0.0458015267175573
3,2,3,0.175925925925926
3,2,4,0.146153846153846
3,2,5,0.134920634920635
3,2,6,0.178571428571429
3,2,7,0.120689655172414
3,3,4,0.258620689655172
3,3,5,0.25
3,3,6,0.228571428571429
3,3,7,0.186915887850467
3,4,5,0.255813953488372
3,4,6,0.247933884297521
3,4,7,0.1640625
3,5,6,0.198347107438017
3,5,7,0.201680672268908
3,6,7,0.245283018867925
4,1,2,0.113821138211382
4,1,3,0.0551181102362205
4,1,4,0.0985915492957746
4,1,5,0.079136690647482
4,1,6,0.094488188976378
4,1,7,0.0538461538461538
4,2,3,0.144144144144144
4,2,4,0.155038759689922
4,2,5,0.125984251968504
4,2,6,0.178571428571429
4,2,7,0.111111111111111
4,3,4,0.226890756302521
4,3,5,0.228070175438596
4,3,6,0.240384615384615
4,3,7,0.175925925925926
4,4,5,0.285714285714286
4,4,6,0.26890756302521
4,4,7,0.182539682539683
4,5,6,0.208333333333333
4,5,7,0.211864406779661
4,6,7,0.257142857142857
5,1,2,0.113821138211382
5,1,3,0.0634920634920635
5,1,4,0.0758620689655172
5,1,5,0.079136690647482
5,1,6,0.0859375
5,1,7,0.0458015267175573
5,2,3,0.175925925925926
5,2,4,0.155038759689922
5,2,5,0.125984251968504
5,2,6,0.2
5,2,7,0.101694915254237
5,3,4,0.247863247863248
5,3,5,0.25
5,3,6,0.264705882352941
5,3,7,0.186915887850467
5,4,5,0.275590551181102
5,4,6,0.26890756302521
5,4,7,0.146153846153846
5,5,6,0.218487394957983
5,5,7,0.211864406779661
5,6,7,0.222222222222222
6,1,2,0.122950819672131
6,1,3,0.072
6,1,4,0.0833333333333333
6,1,5,0.079136690647482
6,1,6,0.103174603174603
6,1,7,0.0458015267175573
6,2,3,0.144144144144144
6,2,4,0.137404580152672
6,2,5,0.125984251968504
6,2,6,0.189189189189189
6,2,7,0.111111111111111
6,3,4,0.269565217391304
6,3,5,0.217391304347826
6,3,6,0.240384615384615
6,3,7,0.186915887850467
6,4,5,0.255813953488372
6,4,6,0.26890756302521
6,4,7,0.182539682539683
6,5,6,0.188524590163934
6,5,7,0.222222222222222
6,6,7,0.257142857142857
7,1,2,0.104838709677419
7,1,3,0.0634920634920635
7,1,4,0.0684931506849315
7,1,5,0.0948905109489051
7,1,6,0.0775193798449612
7,1,7,0.062015503875969
7,2,3,0.175925925925926
7,2,4,0.146153846153846
7,2,5,0.125984251968504
7,2,6,0.178571428571429
7,2,7,0.130434782608696
7,3,4,0.23728813559322
7,3,5,0.25
7,3,6,0.252427184466019
7,3,7,0.186915887850467
7,4,5,0.255813953488372
7,4,6,0.258333333333333
7,4,7,0.173228346456693
7,5,6,0.188524590163934
7,5,7,0.222222222222222
7,6,7,0.257142857142857
8,1,2,0.104838709677419
8,1,3,0.072
8,1,4,0.0909090909090909
8,1,5,0.0869565217391304
8,1,6,0.094488188976378
8,1,7,0.0458015267175573
8,2,3,0.144144144144144
8,2,4,0.1640625
8,2,5,0.134920634920635
8,2,6,0.189189189189189
8,2,7,0.130434782608696
8,3,4,0.247863247863248
8,3,5,0.206896551724138
8,3,6,0.228571428571429
8,3,7,0.175925925925926
8,4,5,0.275590551181102
8,4,6,0.258333333333333
8,4,7,0.173228346456693
8,5,6,0.208333333333333
8,5,7,0.222222222222222
8,6,7,0.233644859813084
9,1,2,0.096
9,1,3,0.0806451612903226
9,1,4,0.0684931506849315
9,1,5,0.0714285714285714
9,1,6,0.0859375
9,1,7,0.0538461538461538
9,2,3,0.175925925925926
9,2,4,0.146153846153846
9,2,5,0.125984251968504
9,2,6,0.178571428571429
9,2,7,0.120689655172414
9,3,4,0.269565217391304
9,3,5,0.217391304347826
9,3,6,0.252427184466019
9,3,7,0.19811320754717
9,4,5,0.265625
9,4,6,0.258333333333333
9,4,7,0.173228346456693
9,5,6,0.208333333333333
9,5,7,0.232758620689655
9,6,7,0.233644859813084
10,1,2,0.122950819672131
10,1,3,0.0806451612903226
10,1,4,0.0684931506849315
10,1,5,0.0948905109489051
10,1,6,0.0775193798449612
10,1,7,0.0538461538461538
10,2,3,0.165137614678899
10,2,4,0.137404580152672
10,2,5,0.134920634920635
10,2,6,0.178571428571429
10,2,7,0.111111111111111
10,3,4,0.247863247863248
10,3,5,0.238938053097345
10,3,6,0.252427184466019
10,3,7,0.175925925925926
10,4,5,0.255813953488372
10,4,6,0.258333333333333
10,4,7,0.173228346456693
10,5,6,0.208333333333333
10,5,7,0.211864406779661
10,6,7,0.257142857142857
11,1,2,0.104838709677419
11,1,3,0.0806451612903226
11,1,4,0.0985915492957746
11,1,5,0.102941176470588
11,1,6,0.0692307692307692
11,1,7,0.0458015267175573
11,2,3,0.165137614678899
11,2,4,0.1640625
11,2,5,0.125984251968504
11,2,6,0.178571428571429
11,2,7,0.120689655172414
11,3,4,0.247863247863248
11,3,5,0.238938053097345
11,3,6,0.252427184466019
11,3,7,0.175925925925926
11,4,5,0.296
11,4,6,0.247933884297521
11,4,7,0.173228346456693
11,5,6,0.188524590163934
11,5,7,0.191666666666667
11,6,7,0.222222222222222
12,1,2,0.096
12,1,3,0.0806451612903226
12,1,4,0.0909090909090909
12,1,5,0.0948905109489051
12,1,6,0.094488188976378
12,1,7,0.0538461538461538
12,2,3,0.144144144144144
12,2,4,0.155038759689922
12,2,5,0.1171875
12,2,6,0.168141592920354
12,2,7,0.111111111111111
12,3,4,0.269565217391304
12,3,5,0.25
12,3,6,0.240384615384615
12,3,7,0.175925925925926
12,4,5,0.275590551181102
12,4,6,0.26890756302521
12,4,7,0.173228346456693
12,5,6,0.178861788617886
12,5,7,0.201680672268908
12,6,7,0.257142857142857
13,1,2,0.104838709677419
13,1,3,0.072
13,1,4,0.0833333333333333
13,1,5,0.0869565217391304
13,1,6,0.094488188976378
13,1,7,0.0378787878787879
13,2,3,0.154545454545455
13,2,4,0.146153846153846
13,2,5,0.125984251968504
13,2,6,0.189189189189189
13,2,7,0.101694915254237
13,3,4,0.258620689655172
13,3,5,0.238938053097345
13,3,6,0.240384615384615
13,3,7,0.165137614678899
13,4,5,0.285714285714286
13,4,6,0.26890756302521
13,4,7,0.192
13,5,6,0.228813559322034
13,5,7,0.201680672268908
13,6,7,0.222222222222222
14,1,2,0.113821138211382
14,1,3,0.0894308943089431
14,1,4,0.0833333333333333
14,1,5,0.102941176470588
14,1,6,0.094488188976378
14,1,7,0.062015503875969
14,2,3,0.144144144144144
14,2,4,0.155038759689922
14,2,5,0.125984251968504
14,2,6,0.178571428571429
14,2,7,0.111111111111111
14,3,4,0.226890756302521
14,3,5,0.25
14,3,6,0.240384615384615
14,3,7,0.20952380952381
14,4,5,0.236641221374046
14,4,6,0.237704918032787
14,4,7,0.1640625
14,5,6,0.198347107438017
14,5,7,0.222222222222222
14,6,7,0.245283018867925
15,1,2,0.113821138211382
15,1,3,0.072
15,1,4,0.0985915492957746
15,1,5,0.0714285714285714
15,1,6,0.0859375
15,1,7,0.062015503875969
15,2,3,0.154545454545455
15,2,4,0.146153846153846
15,2,5,0.108527131782946
15,2,6,0.168141592920354
15,2,7,0.101694915254237
15,3,4,0.247863247863248
15,3,5,0.228070175438596
15,3,6,0.228571428571429
15,3,7,0.20952380952381
15,4,5,0.285714285714286
15,4,6,0.247933884297521
15,4,7,0.192
15,5,6,0.188524590163934
15,5,7,0.232758620689655
15,6,7,0.257142857142857
16,1,2,0.113821138211382
16,1,3,0.0894308943089431
16,1,4,0.0909090909090909
16,1,5,0.0869565217391304
16,1,6,0.0859375
16,1,7,0.0538461538461538
16,2,3,0.175925925925926
16,2,4,0.155038759689922
16,2,5,0.1
16,2,6,0.157894736842105
16,2,7,0.120689655172414
16,3,4,0.269565217391304
16,3,5,0.217391304347826
16,3,6,0.228571428571429
16,3,7,0.186915887850467
16,4,5,0.275590551181102
16,4,6,0.247933884297521
16,4,7,0.173228346456693
16,5,6,0.208333333333333
16,5,7,0.211864406779661
16,6,7,0.245283018867925
17,1,2,0.132231404958678
17,1,3,0.0634920634920635
17,1,4,0.0833333333333333
17,1,5,0.0948905109489051
17,1,6,0.0775193798449612
17,1,7,0.062015503875969
17,2,3,0.165137614678899
17,2,4,0.155038759689922
17,2,5,0.144
17,2,6,0.168141592920354
17,2,7,0.140350877192982
17,3,4,0.23728813559322
17,3,5,0.206896551724138
17,3,6,0.240384615384615
17,3,7,0.165137614678899
17,4,5,0.265625
17,4,6,0.26890756302521
17,4,7,0.173228346456693
17,5,6,0.198347107438017
17,5,7,0.211864406779661
17,6,7,0.233644859813084
18,1,2,0.104838709677419
18,1,3,0.0634920634920635
18,1,4,0.0909090909090909
18,1,5,0.0869565217391304
18,1,6,0.0859375
18,1,7,0.0538461538461538
18,2,3,0.154545454545455
18,2,4,0.146153846153846
18,2,5,0.1171875
18,2,6,0.168141592920354
18,2,7,0.101694915254237
18,3,4,0.258620689655172
18,3,5,0.228070175438596
18,3,6,0.216981132075472
18,3,7,0.19811320754717
18,4,5,0.275590551181102
18,4,6,0.258333333333333
18,4,7,0.192
18,5,6,0.208333333333333
18,5,7,0.222222222222222
18,6,7,0.269230769230769
19,1,2,0.0873015873015873
19,1,3,0.0634920634920635
19,1,4,0.0833333333333333
19,1,5,0.079136690647482
19,1,6,0.0610687022900763
19,1,7,0.0538461538461538
19,2,3,0.175925925925926
19,2,4,0.155038759689922
19,2,5,0.125984251968504
19,2,6,0.189189189189189
19,2,7,0.140350877192982
19,3,4,0.247863247863248
19,3,5,0.228070175438596
19,3,6,0.240384615384615
19,3,7,0.221153846153846
19,4,5,0.255813953488372
19,4,6,0.258333333333333
19,4,7,0.192
19,5,6,0.198347107438017
19,5,7,0.211864406779661
19,6,7,0.245283018867925
20,1,2,0.113821138211382
20,1,3,0.0806451612903226
20,1,4,0.0909090909090909
20,1,5,0.111111111111111
20,1,6,0.0859375
20,1,7,0.0538461538461538
20,2,3,0.144144144144144
20,2,4,0.155038759689922
20,2,5,0.1171875
20,2,6,0.168141592920354
20,2,7,0.101694915254237
20,3,4,0.247863247863248
20,3,5,0.228070175438596
20,3,6,0.252427184466019
20,3,7,0.19811320754717
20,4,5,0.265625
20,4,6,0.258333333333333
20,4,7,0.173228346456693
20,5,6,0.208333333333333
20,5,7,0.201680672268908
20,6,7,0.233644859813084
21,1,2,0.122950819672131
21,1,3,0.0634920634920635
21,1,4,0.0985915492957746
21,1,5,0.111111111111111
21,1,6,0.094488188976378
21,1,7,0.0538461538461538
21,2,3,0.154545454545455
21,2,4,0.146153846153846
21,2,5,0.134920634920635
21,2,6,0.189189189189189
21,2,7,0.130434782608696
21,3,4,0.226890756302521
21,3,5,0.217391304347826
21,3,6,0.228571428571429
21,3,7,0.165137614678899
21,4,5,0.296
21,4,6,0.247933884297521
21,4,7,0.1640625
21,5,6,0.198347107438017
21,5,7,0.211864406779661
21,6,7,0.222222222222222
22,1,2,0.113821138211382
22,1,3,0.072
22,1,4,0.0833333333333333
22,1,5,0.079136690647482
22,1,6,0.0775193798449612
22,1,7,0.062015503875969
22,2,3,0.175925925925926
22,2,4,0.155038759689922
22,2,5,0.125984251968504
22,2,6,0.189189189189189
22,2,7,0.111111111111111
22,3,4,0.23728813559322
22,3,5,0.206896551724138
22,3,6,0.252427184466019
22,3,7,0.19811320754717
22,4,5,0.285714285714286
22,4,6,0.26890756302521
22,4,7,0.173228346456693
22,5,6,0.218487394957983
22,5,7,0.181818181818182
22,6,7,0.233644859813084
23,1,2,0.113821138211382
23,1,3,0.0983606557377049
23,1,4,0.0909090909090909
23,1,5,0.0869565217391304
23,1,6,0.112
23,1,7,0.0538461538461538
23,2,3,0.144144144144144
23,2,4,0.137404580152672
23,2,5,0.125984251968504
23,2,6,0.2
23,2,7,0.120689655172414
23,3,4,0.258620689655172
23,3,5,0.228070175438596
23,3,6,0.264705882352941
23,3,7,0.165137614678899
23,4,5,0.246153846153846
23,4,6,0.247933884297521
23,4,7,0.155038759689922
23,5,6,0.188524590163934
23,5,7,0.222222222222222
23,6,7,0.233644859813084
24,1,2,0.113821138211382
24,1,3,0.0806451612903226
24,1,4,0.0909090909090909
24,1,5,0.102941176470588
24,1,6,0.0775193798449612
24,1,7,0.0703125
24,2,3,0.165137614678899
24,2,4,0.155038759689922
24,2,5,0.108527131782946
24,2,6,0.178571428571429
24,2,7,0.130434782608696
24,3,4,0.258620689655172
24,3,5,0.217391304347826
24,3,6,0.240384615384615
24,3,7,0.186915887850467
24,4,5,0.275590551181102
24,4,6,0.247933884297521
24,4,7,0.173228346456693
24,5,6,0.178861788617886
24,5,7,0.211864406779661
24,6,7,0.222222222222222
25,1,2,0.122950819672131
25,1,3,0.072
25,1,4,0.0833333333333333
25,1,5,0.079136690647482
25,1,6,0.094488188976378
25,1,7,0.0538461538461538
25,2,3,0.165137614678899
25,2,4,0.1640625
25,2,5,0.108527131782946
25,2,6,0.178571428571429
25,2,7,0.120689655172414
25,3,4,0.247863247863248
25,3,5,0.217391304347826
25,3,6,0.240384615384615
25,3,7,0.221153846153846
25,4,5,0.236641221374046
25,4,6,0.227642276422764
25,4,7,0.192
25,5,6,0.218487394957983
25,5,7,0.211864406779661
25,6,7,0.245283018867925
26,1,2,0.132231404958678
26,1,3,0.072
26,1,4,0.0833333333333333
26,1,5,0.0869565217391304
26,1,6,0.0775193798449612
26,1,7,0.062015503875969
26,2,3,0.154545454545455
26,2,4,0.155038759689922
26,2,5,0.125984251968504
26,2,6,0.189189189189189
26,2,7,0.120689655172414
26,3,4,0.226890756302521
26,3,5,0.228070175438596
26,3,6,0.216981132075472
26,3,7,0.175925925925926
26,4,5,0.246153846153846
26,4,6,0.258333333333333
26,4,7,0.182539682539683
26,5,6,0.208333333333333
26,5,7,0.232758620689655
26,6,7,0.257142857142857
27,1,2,0.113821138211382
27,1,3,0.046875
27,1,4,0.0684931506849315
27,1,5,0.079136690647482
27,1,6,0.0775193798449612
27,1,7,0.0458015267175573
27,2,3,0.144144144144144
27,2,4,0.155038759689922
27,2,5,0.134920634920635
27,2,6,0.189189189189189
27,2,7,0.120689655172414
27,3,4,0.269565217391304
27,3,5,0.238938053097345
27,3,6,0.264705882352941
27,3,7,0.19811320754717
27,4,5,0.265625
27,4,6,0.247933884297521
27,4,7,0.182539682539683
27,5,6,0.208333333333333
27,5,7,0.211864406779661
27,6,7,0.257142857142857
28,1,2,0.113821138211382
28,1,3,0.0634920634920635
28,1,4,0.0909090909090909
28,1,5,0.0869565217391304
28,1,6,0.0859375
28,1,7,0.0458015267175573
28,2,3,0.144144144144144
28,2,4,0.146153846153846
28,2,5,0.108527131782946
28,2,6,0.178571428571429
28,2,7,0.111111111111111
28,3,4,0.247863247863248
28,3,5,0.217391304347826
28,3,6,0.264705882352941
28,3,7,0.186915887850467
28,4,5,0.285714285714286
28,4,6,0.279661016949153
28,4,7,0.173228346456693
28,5,6,0.208333333333333
28,5,7,0.201680672268908
28,6,7,0.269230769230769
29,1,2,0.104838709677419
29,1,3,0.0634920634920635
29,1,4,0.0909090909090909
29,1,5,0.102941176470588
29,1,6,0.0692307692307692
29,1,7,0.0538461538461538
29,2,3,0.175925925925926
29,2,4,0.1640625
29,2,5,0.134920634920635
29,2,6,0.189189189189189
29,2,7,0.120689655172414
29,3,4,0.23728813559322
29,3,5,0.217391304347826
29,3,6,0.240384615384615
29,3,7,0.19811320754717
29,4,5,0.275590551181102
29,4,6,0.247933884297521
29,4,7,0.182539682539683
29,5,6,0.178861788617886
29,5,7,0.201680672268908
29,6,7,0.245283018867925
30,1,2,0.096
30,1,3,0.0806451612903226
30,1,4,0.0985915492957746
30,1,5,0.0948905109489051
30,1,6,0.0775193798449612
30,1,7,0.062015503875969
30,2,3,0.154545454545455
30,2,4,0.137404580152672
30,2,5,0.1171875
30,2,6,0.189189189189189
30,2,7,0.111111111111111
30,3,4,0.247863247863248
30,3,5,0.238938053097345
30,3,6,0.240384615384615
30,3,7,0.20952380952381
30,4,5,0.285714285714286
30,4,6,0.237704918032787
30,4,7,0.182539682539683
30,5,6,0.188524590163934
30,5,7,0.211864406779661
30,6,7,0.233644859813084
31,1,2,0.096
31,1,3,0.0634920634920635
31,1,4,0.0684931506849315
31,1,5,0.0638297872340425
31,1,6,0.094488188976378
31,1,7,0.0538461538461538
31,2,3,0.165137614678899
31,2,4,0.146153846153846
31,2,5,0.134920634920635
31,2,6,0.189189189189189
31,2,7,0.120689655172414
31,3,4,0.258620689655172
31,3,5,0.228070175438596
31,3,6,0.240384615384615
31,3,7,0.175925925925926
31,4,5,0.275590551181102
31,4,6,0.26890756302521
31,4,7,0.182539682539683
31,5,6,0.208333333333333
31,5,7,0.222222222222222
31,6,7,0.257142857142857
32,1,2,0.096
32,1,3,0.0634920634920635
32,1,4,0.106382978723404
32,1,5,0.0869565217391304
32,1,6,0.0859375
32,1,7,0.078740157480315
32,2,3,0.154545454545455
32,2,4,0.137404580152672
32,2,5,0.108527131782946
32,2,6,0.157894736842105
32,2,7,0.120689655172414
32,3,4,0.23728813559322
32,3,5,0.238938053097345
32,3,6,0.240384615384615
32,3,7,0.186915887850467
32,4,5,0.285714285714286
32,4,6,0.247933884297521
32,4,7,0.192
32,5,6,0.208333333333333
32,5,7,0.211864406779661
32,6,7,0.245283018867925
33,1,2,0.113821138211382
33,1,3,0.0806451612903226
33,1,4,0.0985915492957746
33,1,5,0.0948905109489051
33,1,6,0.0692307692307692
33,1,7,0.0378787878787879
33,2,3,0.165137614678899
33,2,4,0.155038759689922
33,2,5,0.125984251968504
33,2,6,0.168141592920354
33,2,7,0.111111111111111
33,3,4,0.258620689655172
33,3,5,0.261261261261261
33,3,6,0.228571428571429
33,3,7,0.186915887850467
33,4,5,0.285714285714286
33,4,6,0.247933884297521
33,4,7,0.173228346456693
33,5,6,0.188524590163934
33,5,7,0.211864406779661
33,6,7,0.233644859813084
34,1,2,0.0873015873015873
34,1,3,0.0894308943089431
34,1,4,0.0985915492957746
34,1,5,0.0714285714285714
34,1,6,0.094488188976378
34,1,7,0.0538461538461538
34,2,3,0.144144144144144
34,2,4,0.137404580152672
34,2,5,0.1171875
34,2,6,0.157894736842105
34,2,7,0.120689655172414
34,3,4,0.258620689655172
34,3,5,0.217391304347826
34,3,6,0.277227722772277
34,3,7,0.19811320754717
34,4,5,0.275590551181102
34,4,6,0.26890756302521
34,4,7,0.173228346456693
34,5,6,0.208333333333333
34,5,7,0.201680672268908
34,6,7,0.257142857142857
35,1,2,0.113821138211382
35,1,3,0.0894308943089431
35,1,4,0.0833333333333333
35,1,5,0.0714285714285714
35,1,6,0.094488188976378
35,1,7,0.062015503875969
35,2,3,0.154545454545455
35,2,4,0.146153846153846
35,2,5,0.134920634920635
35,2,6,0.2
35,2,7,0.120689655172414
35,3,4,0.247863247863248
35,3,5,0.217391304347826
35,3,6,0.228571428571429
35,3,7,0.19811320754717
35,4,5,0.255813953488372
35,4,6,0.227642276422764
35,4,7,0.182539682539683
35,5,6,0.208333333333333
35,5,7,0.201680672268908
35,6,7,0.257142857142857
36,1,2,0.113821138211382
36,1,3,0.0551181102362205
36,1,4,0.0758620689655172
36,1,5,0.0948905109489051
36,1,6,0.0775193798449612
36,1,7,0.0458015267175573
36,2,3,0.144144144144144
36,2,4,0.155038759689922
36,2,5,0.134920634920635
36,2,6,0.211009174311927
36,2,7,0.120689655172414
36,3,4,0.247863247863248
36,3,5,0.228070175438596
36,3,6,0.216981132075472
36,3,7,0.186915887850467
36,4,5,0.306451612903226
36,4,6,0.247933884297521
36,4,7,0.182539682539683
36,5,6,0.198347107438017
36,5,7,0.211864406779661
