"layer_from","node_from","layer_to","node_to","weight"
"WesternSahara","Euphorbia.balsamifera..f.","Fuerteventura","Euphorbia.balsamifera..f.",0.860990451384097
"WesternSahara","Euphorbia.balsamifera..f.","GranCanaria","Euphorbia.balsamifera..f.",0.87645361381956
"WesternSahara","Euphorbia.balsamifera..f.","TenerifeSouth","Euphorbia.balsamifera..f.",0.853824028541735
"WesternSahara","Euphorbia.balsamifera..f.","TenerifeTeno","Euphorbia.balsamifera..f.",0.844756442661504
"WesternSahara","Euphorbia.balsamifera..f.","Gomera","Euphorbia.balsamifera..f.",0.844602368427358
"WesternSahara","Euphorbia.balsamifera..f.","Hierro","Euphorbia.balsamifera..f.",0.837149498987334
"WesternSahara","Euphorbia.balsamifera..m.","Fuerteventura","Euphorbia.balsamifera..m.",0.860990451384097
"WesternSahara","Euphorbia.balsamifera..m.","GranCanaria","Euphorbia.balsamifera..m.",0.87645361381956
"WesternSahara","Euphorbia.balsamifera..m.","TenerifeSouth","Euphorbia.balsamifera..m.",0.853824028541735
"WesternSahara","Euphorbia.balsamifera..m.","TenerifeTeno","Euphorbia.balsamifera..m.",0.844756442661504
"WesternSahara","Euphorbia.balsamifera..m.","Gomera","Euphorbia.balsamifera..m.",0.844602368427358
"WesternSahara","Euphorbia.balsamifera..m.","Hierro","Euphorbia.balsamifera..m.",0.837149498987334
"WesternSahara","Helianthemum.canariensis","Fuerteventura","Helianthemum.canariensis",0.860990451384097
"WesternSahara","Helianthemum.canariensis","TenerifeSouth","Helianthemum.canariensis",0.853824028541735
"WesternSahara","Kickxia.heterophylla","Fuerteventura","Kickxia.heterophylla",0.860990451384097
"WesternSahara","Launaea.arborescens","Fuerteventura","Launaea.arborescens",0.860990451384097
"WesternSahara","Launaea.arborescens","GranCanaria","Launaea.arborescens",0.87645361381956
"WesternSahara","Launaea.arborescens","TenerifeSouth","Launaea.arborescens",0.853824028541735
"WesternSahara","Launaea.arborescens","TenerifeTeno","Launaea.arborescens",0.844756442661504
"WesternSahara","Launaea.arborescens","Gomera","Launaea.arborescens",0.844602368427358
"WesternSahara","Lycium.intricatum","Fuerteventura","Lycium.intricatum",0.860990451384097
"WesternSahara","Lycium.intricatum","GranCanaria","Lycium.intricatum",0.87645361381956
"WesternSahara","Lycium.intricatum","TenerifeSouth","Lycium.intricatum",0.853824028541735
"WesternSahara","Lycium.intricatum","TenerifeTeno","Lycium.intricatum",0.844756442661504
"WesternSahara","Lycium.intricatum","Gomera","Lycium.intricatum",0.844602368427358
"WesternSahara","Fagonia.albiflora","GranCanaria","Fagonia.albiflora",0.87645361381956
"WesternSahara","Fagonia.albiflora","TenerifeSouth","Fagonia.albiflora",0.853824028541735
"WesternSahara","Fagonia.albiflora","TenerifeTeno","Fagonia.albiflora",0.844756442661504
"WesternSahara","Fagonia.albiflora","Gomera","Fagonia.albiflora",0.844602368427358
"Fuerteventura","Euphorbia.balsamifera..f.","WesternSahara","Euphorbia.balsamifera..f.",0.860990451384097
"Fuerteventura","Euphorbia.balsamifera..f.","GranCanaria","Euphorbia.balsamifera..f.",0.894390241787489
"Fuerteventura","Euphorbia.balsamifera..f.","TenerifeSouth","Euphorbia.balsamifera..f.",0.86588315293041
"Fuerteventura","Euphorbia.balsamifera..f.","TenerifeTeno","Euphorbia.balsamifera..f.",0.854285428133962
