"module","node_id","layer_id","flow","type","species","size_of_module"
1,273,1,0.000469582,"pollinator","Thysanoptera_sp.",44
1,94,7,1.82336e-05,"pollinator","Cecydomyiidae_sp.",44
1,251,3,8.9244e-06,"pollinator","Stenoselma_sp.",44
1,120,5,1.02686e-05,"pollinator","Cryptocephalus_gounellei",44
1,147,1,2.53828e-05,"pollinator","Eurytoma_sp._3",44
1,200,4,4.677e-05,"pollinator","Oscinella_sp._2",44
1,77,2,0.000395874,"pollinator","Attalus_olivensis",44
1,65,1,1.26914e-05,"pollinator","Arachnospila_sp.",44
1,59,2,0.000128831,"pollinator","Aphthona_wachnitzae",44
1,237,1,8.88399e-05,"pollinator","Sarcophagidae_sp._7",44
1,93,2,8.46638e-06,"pollinator","Cecidomyiidae_sp.",44
1,53,3,8.9244e-06,"pollinator","Andrena_wollastoni",44
1,171,1,0.000190371,"pollinator","Lucilia_sp._1",44
1,47,6,0.000147504,"pollinator","Anaspis_cf._canariensis",44
1,107,7,0.000117083,"pollinator","Chloropidae_sp._3",44
1,263,2,8.46638e-06,"pollinator","Tethinidae_sp._3",44
1,272,6,0.000993486,"pollinator","Thyridanthrax_indigenus",44
1,119,1,1.26914e-05,"pollinator","Crematogaster_scutellaris",44
1,69,2,2.53991e-05,"pollinator","Asteia_caesia",44
1,184,5,1.02686e-05,"pollinator","Minotetrastichus_sp.",44
1,267,1,5.07657e-05,"pollinator","Themnothorax_productus",44
1,183,2,8.46638e-06,"pollinator","Milichiidae_sp.",44
1,232,1,7.61485e-05,"pollinator","Sarcophagidae_sp._2",44
1,49,1,2.53828e-05,"pollinator","Anaspis_cf._saharensis",44
1,247,4,2.3385e-05,"pollinator","Sibinia_sericea",44
1,286,1,1.26914e-05,"pollinator","Vanessa_Cardui",44
1,229,2,1.69328e-05,"pollinator","Sapromyza_sp.",44
1,142,5,0.000189804,"pollinator","Eumerus_nivariae",44
1,9,6,0.0172477,"plant","Euphorbia.balsamifera..m.",44
1,122,2,2.53991e-05,"pollinator","Cryptocephalus_nubigena",44
1,9,7,0.0170922,"plant","Euphorbia.balsamifera..m.",44
1,240,2,8.46638e-06,"pollinator","Scaptomyza_sp._2",44
1,228,7,1.82336e-05,"pollinator","Rondania_insularis",44
1,257,2,8.46638e-06,"pollinator","Tachyagetes_aemulans",44
1,214,2,8.46638e-06,"pollinator","Phyto_nigrobarbata",44
1,118,5,1.02686e-05,"pollinator","Crematogaster_alluaudi",44
1,83,5,4.10744e-05,"pollinator","Bassus_sp.",44
1,9,3,0.0175867,"plant","Euphorbia.balsamifera..m.",44
1,256,1,1.26914e-05,"pollinator","Tachinidae_sp._1",44
1,233,7,1.82336e-05,"pollinator","Sarcophagidae_sp._3",44
1,79,4,2.3385e-05,"pollinator","Attalus_ruficollis",44
1,9,4,0.0168908,"plant","Euphorbia.balsamifera..m.",44
1,205,6,1.63893e-05,"pollinator","Oxyopes_kraepelinorum",44
1,189,1,0.000114567,"pollinator","Musca_sorbens",44
2,29,5,9.76178e-05,"plant","Neochamaelea.pulverulenta",8
2,92,7,0.0204392,"pollinator","Camponotus_feae",8
2,92,2,0.0144576,"pollinator","Camponotus_feae",8
2,92,6,0.0189693,"pollinator","Camponotus_feae",8
2,92,4,0.0202013,"pollinator","Camponotus_feae",8
