"trial_number","layer_from","layer_to","turnover"
1,1,2,0.391891891891892
1,1,3,0.144578313253012
1,1,4,0.158536585365854
1,1,5,0.0813953488372093
1,1,6,0.105882352941176
1,1,7,0.120879120879121
1,1,8,0.105769230769231
1,1,9,0.116279069767442
1,1,10,0.121212121212121
1,1,11,0.0941176470588235
1,1,12,0.122222222222222
1,1,13,0.0595238095238095
1,1,14,0.0909090909090909
1,2,3,0.133333333333333
1,2,4,0.108695652173913
1,2,5,0.0869565217391304
1,2,6,0.074468085106383
1,2,7,0.112244897959184
1,2,8,0.0990990990990991
1,2,9,0.0842105263157895
1,2,10,0.113207547169811
1,2,11,0.0638297872340425
1,2,12,0.11340206185567
1,2,13,0.0549450549450549
1,2,14,0.0618556701030928
1,3,4,0.424242424242424
1,3,5,0.194805194805195
1,3,6,0.207792207792208
1,3,7,0.174418604651163
1,3,8,0.163265306122449
1,3,9,0.1875
1,3,10,0.170212765957447
1,3,11,0.135802469135802
1,3,12,0.204819277108434
1,3,13,0.128205128205128
1,3,14,0.144578313253012
1,4,5,0.15
1,4,6,0.1625
1,4,7,0.188235294117647
1,4,8,0.163265306122449
1,4,9,0.144578313253012
1,4,10,0.157894736842105
1,4,11,0.108433734939759
1,4,12,0.162790697674419
1,4,13,0.0864197530864197
1,4,14,0.117647058823529
1,5,6,0.338235294117647
1,5,7,0.302631578947368
1,5,8,0.272727272727273
1,5,9,0.177215189873418
1,5,10,0.285714285714286
1,5,11,0.153846153846154
1,5,12,0.209876543209877
1,5,13,0.211267605633803
1,5,14,0.192307692307692
1,6,7,0.298701298701299
1,6,8,0.241758241758242
1,6,9,0.236842105263158
1,6,10,0.224719101123595
1,6,11,0.166666666666667
1,6,12,0.2375
1,6,13,0.208333333333333
1,6,14,0.146341463414634
1,7,8,0.375
1,7,9,0.214285714285714
1,7,10,0.3
1,7,11,0.192771084337349
1,7,12,0.289156626506024
1,7,13,0.172839506172839
1,7,14,0.146067415730337
1,8,9,0.223404255319149
1,8,10,0.287128712871287
1,8,11,0.204301075268817
1,8,12,0.25
1,8,13,0.148936170212766
1,8,14,0.173469387755102
1,9,10,0.353658536585366
1,9,11,0.192307692307692
1,9,12,0.188235294117647
1,9,13,0.219178082191781
1,9,14,0.215189873417722
1,10,11,0.2
1,10,12,0.234042553191489
1,10,13,0.195402298850575
1,10,14,0.261363636363636
1,11,12,0.4
1,11,13,0.194444444444444
1,11,14,0.256756756756757
1,12,13,0.253333333333333
1,12,14,0.216867469879518
1,13,14,0.271428571428571
2,1,2,0.337662337662338
2,1,3,0.104651162790698
2,1,4,0.144578313253012
2,1,5,0.0804597701149425
2,1,6,0.0930232558139535
2,1,7,0.108695652173913
2,1,8,0.105769230769231
2,1,9,0.0786516853932584
2,1,10,0.099009900990099
2,1,11,0.0813953488372093
2,1,12,0.122222222222222
2,1,13,0.0714285714285714
2,1,14,0.0786516853932584
2,2,3,0.120879120879121
2,2,4,0.120879120879121
2,2,5,0.074468085106383
2,2,6,0.0860215053763441
2,2,7,0.112244897959184
2,2,8,0.0892857142857143
2,2,9,0.0842105263157895
2,2,10,0.113207547169811
