"layer_from","layer_to","distance_in_meters"
"Fuerteventura","Gomera",376892.630125
"Fuerteventura","GranCanaria",190474.59875
"Fuerteventura","Hierro",455676.643375
"Fuerteventura","TenerifeSouth",284225.3518
"Fuerteventura","TenerifeTeno",337055.48055
"Fuerteventura","WesternSahara",305248.84735
"Gomera","Fuerteventura",376892.630125
"Gomera","GranCanaria",200274.260075
"Gomera","Hierro",80112.73198
"Gomera","TenerifeSouth",92999.56344
"Gomera","TenerifeTeno",52751.492455
"Gomera","WesternSahara",390008.86975
"GranCanaria","Fuerteventura",190474.59875
"GranCanaria","Gomera",200274.260075
"GranCanaria","Hierro",274346.546
"GranCanaria","TenerifeSouth",116460.649125
"GranCanaria","TenerifeTeno",173858.830325
"GranCanaria","WesternSahara",244280.590775
"Hierro","Fuerteventura",455676.643375
"Hierro","Gomera",80112.73198
"Hierro","GranCanaria",274346.546
"Hierro","TenerifeSouth",172763.448
"Hierro","TenerifeTeno",129414.4136
"Hierro","WesternSahara",437371.016375
"TenerifeSouth","Fuerteventura",284225.3518
"TenerifeSouth","Gomera",92999.56344
"TenerifeSouth","GranCanaria",116460.649125
"TenerifeSouth","Hierro",172763.448
"TenerifeSouth","TenerifeTeno",57464.1820425
"TenerifeSouth","WesternSahara",339381.7762
"TenerifeTeno","Fuerteventura",337055.48055
"TenerifeTeno","Gomera",52751.492455
"TenerifeTeno","GranCanaria",173858.830325
"TenerifeTeno","Hierro",129414.4136
"TenerifeTeno","TenerifeSouth",57464.1820425
"TenerifeTeno","WesternSahara",389094.179225
"WesternSahara","Fuerteventura",305248.84735
"WesternSahara","Gomera",390008.86975
"WesternSahara","GranCanaria",244280.590775
"WesternSahara","Hierro",437371.016375
"WesternSahara","TenerifeSouth",339381.7762
"WesternSahara","TenerifeTeno",389094.179225
