"layer_from","layer_to","distance_in_meters"
"WesternSahara1","WesternSahara2",505.679714
"WesternSahara1","Hierro2",437457.0124
"WesternSahara1","Hierro1",437366.7753
"WesternSahara1","GranCanaria2",244218.2947
"WesternSahara1","GranCanaria1",244126.1002
"WesternSahara1","Gomera2",389999.5747
"WesternSahara1","Gomera1",390021.0886
"WesternSahara1","TenerifeSouth2",339340.9395
"WesternSahara1","TenerifeSouth1",339317.6653
"WesternSahara1","TenerifeTeno2",389081.6723
"WesternSahara1","TenerifeTeno1",389041.2745
"WesternSahara1","Fuerteventura2",305014.2086
"WesternSahara1","Fuerteventura1",305029.0863
"WesternSahara2","WesternSahara1",505.679714
"WesternSahara2","Hierro2",437375.2712
"WesternSahara2","Hierro1",437285.0066
"WesternSahara2","GranCanaria2",244435.1061
"WesternSahara2","GranCanaria1",244342.8621
"WesternSahara2","Gomera2",389996.6073
"WesternSahara2","Gomera1",390018.2084
"WesternSahara2","TenerifeSouth2",339445.9549
"WesternSahara2","TenerifeSouth1",339422.5451
"WesternSahara2","TenerifeTeno2",389146.973
"WesternSahara2","TenerifeTeno1",389106.7971
"WesternSahara2","Fuerteventura2",305468.5845
"WesternSahara2","Fuerteventura1",305483.51
"Fuerteventura1","WesternSahara2",305483.51
"Fuerteventura1","WesternSahara1",305029.0863
"Fuerteventura1","Hierro2",455736.6729
"Fuerteventura1","Hierro1",455682.8693
"Fuerteventura1","GranCanaria2",190493.473
"Fuerteventura1","GranCanaria1",190517.2168
"Fuerteventura1","Gomera2",376943.1528
"Fuerteventura1","Gomera1",376908.7486
"Fuerteventura1","TenerifeSouth2",284225.6416
"Fuerteventura1","TenerifeSouth1",284291.92
"Fuerteventura1","TenerifeTeno2",337167.3216
"Fuerteventura1","TenerifeTeno1",337010.9202
"Fuerteventura1","Fuerteventura2",67.363151
"Fuerteventura2","WesternSahara2",305468.5845
"Fuerteventura2","WesternSahara1",305014.2086
"Fuerteventura2","Hierro2",455670.4165
"Fuerteventura2","Hierro1",455616.6148
"Fuerteventura2","GranCanaria2",190431.974
"Fuerteventura2","GranCanaria1",190455.7312
"Fuerteventura2","Gomera2",376876.5125
"Fuerteventura2","Gomera1",376842.1066
"Fuerteventura2","TenerifeSouth2",284158.7826
"Fuerteventura2","TenerifeSouth1",284225.063
"Fuerteventura2","TenerifeTeno2",337100.0413
"Fuerteventura2","TenerifeTeno1",336943.6391
"Fuerteventura2","Fuerteventura1",67.363151
"GranCanaria1","WesternSahara2",244342.8621
"GranCanaria1","WesternSahara1",244126.1002
"GranCanaria1","Hierro2",274386.7194
"GranCanaria1","Hierro1",274321.0892
"GranCanaria1","GranCanaria2",95.95512
"GranCanaria1","Gomera2",200296.3813
"GranCanaria1","Gomera1",200279.0495
"GranCanaria1","TenerifeSouth2",116473.2763
"GranCanaria1","TenerifeSouth1",116498.0882
"GranCanaria1","TenerifeTeno2",173938.4686
"GranCanaria1","TenerifeTeno1",173827.6658
"GranCanaria1","Fuerteventura2",190455.7312
"GranCanaria1","Fuerteventura1",190517.2168
"GranCanaria2","WesternSahara2",244435.1061
"GranCanaria2","WesternSahara1",244218.2947
"GranCanaria2","Hierro2",274371.9913
"GranCanaria2","Hierro1",274306.3841
"GranCanaria2","GranCanaria1",95.95512
"GranCanaria2","Gomera2",200269.4864
"GranCanaria2","Gomera1",200252.1231
"GranCanaria2","TenerifeSouth2",116423.1775
"GranCanaria2","TenerifeSouth1",116448.0545
"GranCanaria2","TenerifeTeno2",173890.0276
"GranCanaria2","TenerifeTeno1",173779.1593
"GranCanaria2","Fuerteventura2",190431.974
"GranCanaria2","Fuerteventura1",190493.473
"TenerifeSouth1","WesternSahara2",339422.5451
"TenerifeSouth1","WesternSahara1",339317.6653
"TenerifeSouth1","Hierro2",172748.3908
"TenerifeSouth1","Hierro1",172702.2428
"TenerifeSouth1","GranCanaria2",116448.0545
"TenerifeSouth1","GranCanaria1",116498.0882
"TenerifeSouth1","Gomera2",92982.62174
"TenerifeSouth1","Gomera1",92943.79946
"TenerifeSouth1","TenerifeSouth2",95.901643
"TenerifeSouth1","TenerifeTeno2",57507.0912
"TenerifeSouth1","TenerifeTeno1",57391.05093
"TenerifeSouth1","Fuerteventura2",284225.063
"TenerifeSouth1","Fuerteventura1",284291.92
"TenerifeSouth2","WesternSahara2",339445.9549
"TenerifeSouth2","WesternSahara1",339340.9395
"TenerifeSouth2","Hierro2",172824.6395
"TenerifeSouth2","Hierro1",172778.5189
"TenerifeSouth2","GranCanaria2",116423.1775
"TenerifeSouth2","GranCanaria1",116473.2763
"TenerifeSouth2","Gomera2",93055.34728
"TenerifeSouth2","Gomera1",93016.48528
"TenerifeSouth2","TenerifeSouth1",95.901643
"TenerifeSouth2","TenerifeTeno2",57537.41864
"TenerifeSouth2","TenerifeTeno1",57421.1674
"TenerifeSouth2","Fuerteventura2",284158.7826
"TenerifeSouth2","Fuerteventura1",284225.6416
"TenerifeTeno1","WesternSahara2",389106.7971
"TenerifeTeno1","WesternSahara1",389041.2745
"TenerifeTeno1","Hierro2",129514.9474
"TenerifeTeno1","Hierro1",129490.6054
"TenerifeTeno1","GranCanaria2",173779.1593
"TenerifeTeno1","GranCanaria1",173827.6658
"TenerifeTeno1","Gomera2",52869.02752
"TenerifeTeno1","Gomera1",52803.77965
"TenerifeTeno1","TenerifeSouth2",57421.1674
