"layer_from","node_from","layer_to","node_to","weight"
1,3,2,3,0.676222840966804
1,8,2,8,0.676222840966804
1,8,3,8,0.333389610353953
1,8,4,8,0.33339089806587
1,8,5,8,0.33937515219088
1,8,6,8,0.339364823067821
1,8,7,8,0.330600704196276
1,8,8,8,0.330598923596202
1,8,9,8,0.327088337550814
1,8,10,8,0.327085698948839
1,8,11,8,0.327024429625113
1,8,12,8,0.32702583086686
1,8,13,8,0.324139758853872
1,8,14,8,0.324134610599056
1,9,2,9,0.676222840966804
1,9,3,9,0.333389610353953
1,9,4,9,0.33339089806587
1,9,5,9,0.33937515219088
1,9,6,9,0.339364823067821
1,9,7,9,0.330600704196276
1,9,8,9,0.330598923596202
1,9,9,9,0.327088337550814
1,9,10,9,0.327085698948839
1,9,11,9,0.327024429625113
1,9,12,9,0.32702583086686
1,9,13,9,0.324139758853872
1,9,14,9,0.324134610599056
1,14,3,14,0.333389610353953
1,14,4,14,0.33339089806587
1,14,7,14,0.330600704196276
1,14,8,14,0.330598923596202
1,15,2,15,0.676222840966804
1,15,4,15,0.33339089806587
1,17,2,17,0.676222840966804
1,17,3,17,0.333389610353953
1,17,4,17,0.33339089806587
1,17,5,17,0.33937515219088
1,17,6,17,0.339364823067821
1,17,7,17,0.330600704196276
1,17,8,17,0.330598923596202
1,17,9,17,0.327088337550814
1,17,10,17,0.327085698948839
1,17,11,17,0.327024429625113
1,17,12,17,0.32702583086686
1,26,2,26,0.676222840966804
1,26,3,26,0.333389610353953
1,26,4,26,0.33339089806587
1,26,5,26,0.33937515219088
1,26,6,26,0.339364823067821
1,26,7,26,0.330600704196276
1,26,8,26,0.330598923596202
1,26,9,26,0.327088337550814
1,26,10,26,0.327085698948839
1,26,12,26,0.32702583086686
1,28,2,28,0.676222840966804
1,39,2,39,0.676222840966804
2,8,3,8,0.333350313559111
2,8,4,8,0.333351603182563
2,8,5,8,0.339350874197237
2,8,6,8,0.339340550172944
2,8,7,8,0.330592681449958
2,8,8,8,0.330590891116452
2,8,9,8,0.327084058069938
2,8,10,8,0.327081434471112
2,8,11,8,0.327024617212909
2,8,12,8,0.327026024146347
2,8,13,8,0.324144425023749
2,8,14,8,0.324139274089018
2,9,3,9,0.333350313559111
