"","layer","node_from","node_to","weight"
"1",1,3,72,0.0833333333333333
"2",1,3,82,0.0416666666666667
"3",1,3,104,0.166666666666667
"4",1,3,170,0.458333333333333
"5",1,3,194,0.166666666666667
"6",1,3,242,0.0833333333333333
"7",1,8,51,0.015625
"8",1,8,113,0.015625
"9",1,8,170,0.015625
"10",1,8,189,0.015625
"11",1,8,216,0.09375
"12",1,8,244,0.46875
"13",1,8,258,0.375
"14",1,9,49,0.00847457627118644
"15",1,9,65,0.00847457627118644
"16",1,9,113,0.00847457627118644
"17",1,9,119,0.00847457627118644
"18",1,9,160,0.00847457627118644
"19",1,9,170,0.152542372881356
"20",1,9,171,0.127118644067797
"21",1,9,187,0.0169491525423729
"22",1,9,189,0.0169491525423729
"23",1,9,216,0.00847457627118644
"24",1,9,230,0.00847457627118644
"25",1,9,232,0.0338983050847458
"26",1,9,242,0.245762711864407
"27",1,9,258,0.127118644067797
"28",1,9,273,0.211864406779661
"29",1,9,286,0.00847457627118644
"30",1,14,258,1
"31",1,15,216,1
"32",1,17,54,0.130434782608696
"33",1,17,113,0.304347826086957
"34",1,17,198,0.0434782608695652
"35",1,17,225,0.0434782608695652
"36",1,17,271,0.130434782608696
"37",1,17,284,0.173913043478261
"38",1,17,287,0.173913043478261
"39",1,24,99,0.0714285714285714
"40",1,24,100,0.0714285714285714
"41",1,24,170,0.0714285714285714
"42",1,24,261,0.357142857142857
"43",1,24,262,0.428571428571429
"44",1,26,45,0.5
"45",1,26,51,0.25
"46",1,26,58,0.25
"47",1,28,51,0.1
"48",1,28,194,0.4
"49",1,28,216,0.1
"50",1,28,242,0.4
"51",1,39,45,0.142857142857143
"52",1,39,86,0.142857142857143
"53",1,39,100,0.142857142857143
"54",1,39,161,0.142857142857143
"55",1,39,180,0.142857142857143
"56",1,39,216,0.142857142857143
"57",1,39,271,0.142857142857143
"58",2,2,258,1
"59",2,3,61,0.02
"60",2,3,113,0.02
"61",2,3,170,0.02
"62",2,3,194,0.8
"63",2,3,221,0.02
"64",2,3,222,0.06
"65",2,3,230,0.02
"66",2,3,231,0.02
"67",2,3,262,0.02
"68",2,8,82,0.04
"69",2,8,117,0.02
"70",2,8,170,0.06
"71",2,8,216,0.2
"72",2,8,244,0.26
"73",2,8,258,0.42
"74",2,9,49,0.0108695652173913
"75",2,9,86,0.0108695652173913
"76",2,9,101,0.0108695652173913
"77",2,9,113,0.0108695652173913
"78",2,9,147,0.0217391304347826
"79",2,9,160,0.0108695652173913
"80",2,9,164,0.0108695652173913
"81",2,9,170,0.0543478260869565
"82",2,9,187,0.0217391304347826
"83",2,9,188,0.0217391304347826
"84",2,9,189,0.0652173913043478
"85",2,9,212,0.0108695652173913
"86",2,9,216,0.0108695652173913
"87",2,9,221,0.0217391304347826
"88",2,9,232,0.0217391304347826
"89",2,9,237,0.0760869565217391
"90",2,9,242,0.380434782608696
"91",2,9,256,0.0108695652173913
"92",2,9,258,0.0108695652173913
"93",2,9,267,0.0434782608695652
"94",2,9,273,0.130434782608696
"95",2,9,284,0.0326086956521739
"96",2,12,45,0.75
"97",2,12,281,0.25
"98",2,15,45,0.2
"99",2,15,72,0.2
"100",2,15,116,0.2
"101",2,15,164,0.2
"102",2,15,258,0.2
"103",2,17,54,0.179487179487179
"104",2,17,63,0.0512820512820513
"105",2,17,72,0.0256410256410256
"106",2,17,160,0.128205128205128
"107",2,17,164,0.153846153846154
"108",2,17,194,0.0256410256410256
"109",2,17,206,0.0769230769230769
"110",2,17,242,0.0256410256410256
"111",2,17,250,0.0769230769230769
"112",2,17,259,0.153846153846154
"113",2,17,284,0.0256410256410256
"114",2,17,285,0.0769230769230769
"115",2,26,45,0.0967741935483871
"116",2,26,57,0.032258064516129
"117",2,26,116,0.32258064516129
"118",2,26,164,0.032258064516129
"119",2,26,194,0.0967741935483871
"120",2,26,196,0.290322580645161
"121",2,26,244,0.032258064516129
"122",2,26,258,0.0967741935483871
"123",2,28,86,0.5
"124",2,28,172,0.5
"125",2,39,258,1
"126",3,8,66,0.0192307692307692
"127",3,8,81,0.0769230769230769
"128",3,8,111,0.0192307692307692
"129",3,8,188,0.0192307692307692
"130",3,8,216,0.865384615384615
"131",3,9,59,0.0746268656716418
"132",3,9,77,0.0373134328358209
"133",3,9,81,0.0746268656716418
"134",3,9,93,0.00746268656716418
"135",3,9,106,0.00746268656716418
"136",3,9,170,0.0298507462686567
"137",3,9,183,0.00746268656716418
"138",3,9,197,0.00746268656716418
"139",3,9,214,0.00746268656716418
"140",3,9,216,0.395522388059701
"141",3,9,235,0.134328358208955
"142",3,9,240,0.00746268656716418
"143",3,9,242,0.0447761194029851
"144",3,9,257,0.00746268656716418
"145",3,9,274,0.156716417910448
"146",3,14,131,0.111111111111111
"147",3,14,234,0.222222222222222
"148",3,14,275,0.666666666666667
"149",3,17,50,0.0327868852459016
"150",3,17,55,0.0163934426229508
"151",3,17,59,0.0163934426229508
"152",3,17,71,0.0163934426229508
"153",3,17,77,0.0491803278688525
"154",3,17,81,0.0655737704918033
"155",3,17,89,0.0327868852459016
"156",3,17,91,0.0327868852459016
"157",3,17,95,0.0163934426229508
"158",3,17,125,0.0983606557377049
"159",3,17,131,0.0163934426229508
"160",3,17,146,0.0163934426229508
"161",3,17,163,0.0163934426229508
"162",3,17,170,0.0983606557377049
"163",3,17,206,0.0163934426229508
"164",3,17,216,0.19672131147541
"165",3,17,223,0.0163934426229508
"166",3,17,225,0.114754098360656
"167",3,17,236,0.0163934426229508
"168",3,17,242,0.0491803278688525
"169",3,17,275,0.0327868852459016
"170",3,17,284,0.0327868852459016
"171",3,26,55,0.5
"172",3,26,91,0.1
"173",3,26,92,0.1
"174",3,26,274,0.1
"175",3,26,275,0.1
"176",3,26,277,0.1
"177",3,32,264,1
"178",3,36,55,0.25
"179",3,36,101,0.25
"180",3,36,234,0.5
"181",4,8,59,0.0121951219512195
"182",4,8,81,0.024390243902439
"183",4,8,84,0.0487804878048781
"184",4,8,111,0.024390243902439
"185",4,8,131,0.0121951219512195
"186",4,8,216,0.75609756097561
"187",4,8,234,0.0121951219512195
"188",4,8,235,0.0121951219512195
"189",4,8,242,0.0975609756097561
"190",4,9,50,0.0109289617486339
"191",4,9,59,0.00546448087431694
"192",4,9,69,0.0163934426229508
"193",4,9,77,0.0491803278688525
"194",4,9,81,0.0437158469945355
"195",4,9,122,0.0163934426229508
"196",4,9,170,0.0163934426229508
"197",4,9,210,0.00546448087431694
"198",4,9,216,0.491803278688525
"199",4,9,219,0.00546448087431694
"200",4,9,229,0.0109289617486339
"201",4,9,234,0.0163934426229508
"202",4,9,242,0.0109289617486339
"203",4,9,263,0.00546448087431694
"204",4,9,264,0.00546448087431694
"205",4,9,274,0.289617486338798
"206",4,14,145,0.25
"207",4,14,275,0.75
"208",4,15,155,0.25
"209",4,15,201,0.25
"210",4,15,275,0.5
"211",4,17,48,0.0666666666666667
"212",4,17,55,0.0666666666666667
"213",4,17,74,0.0333333333333333
"214",4,17,89,0.0666666666666667
"215",4,17,99,0.1
"216",4,17,111,0.1
"217",4,17,128,0.1
"218",4,17,153,0.0333333333333333
"219",4,17,168,0.0333333333333333
"220",4,17,170,0.1
"221",4,17,225,0.0333333333333333
"222",4,17,234,0.0333333333333333
"223",4,17,236,0.0333333333333333
"224",4,17,242,0.133333333333333
"225",4,17,284,0.0666666666666667
"226",4,22,77,0.333333333333333
"227",4,22,91,0.333333333333333
"228",4,22,105,0.333333333333333
"229",4,26,55,0.375
"230",4,26,77,0.0625
"231",4,26,81,0.0625
