"layer_from","layer_to","ave","sd","ave_dist","type"
"1","2",0.481481481481481,NA,305248.35063,"empirical"
"1","3",0.433333333333333,NA,244290.926255556,"empirical"
"1","4east",0.378378378378378,NA,339382.612264286,"empirical"
"1","4west",0.461538461538462,NA,389098.557203704,"empirical"
"1","5",0.384615384615385,NA,390006.94965,"empirical"
"1","6",0.173913043478261,NA,437350.515492308,"empirical"
"2","3",0.551724137931034,NA,190478.936820833,"empirical"
"2","4east",0.432432432432432,NA,284225.369522449,"empirical"
"2","4west",0.481481481481481,NA,337060.286314286,"empirical"
"2","5",0.407407407407407,NA,376899.702060526,"empirical"
"2","6",0.260869565217391,NA,455681.82065,"empirical"
"3","4east",0.647058823529412,NA,116461.219667164,"empirical"
"3","4west",0.535714285714286,NA,173861.509571698,"empirical"
"3","5",0.464285714285714,NA,200275.419591837,"empirical"
"3","6",0.28,NA,274340.139797297,"empirical"
"4east","4west",0.416666666666667,NA,57468.3203846,"empirical"
"4east","5",0.441176470588235,NA,93002.6061949091,"empirical"
"4east","6",0.142857142857143,NA,172759.225630303,"empirical"
"4west","5",0.565217391304348,NA,52750.4256267347,"empirical"
"4west","6",0.421052631578947,NA,129412.674878571,"empirical"
"5","6",0.388888888888889,NA,80108.4302864865,"empirical"
