"layer_from","layer_to","ave","sd","ave_dist","type"
1,2,0.733333333333333,NA,505.679714,"empirical"
1,3,0.28,NA,305029.0863,"empirical"
1,4,0.363636363636364,NA,305014.2086,"empirical"
1,5,0.214285714285714,NA,244126.1002,"empirical"
1,6,0.222222222222222,NA,244218.2947,"empirical"
1,7,0.21875,NA,339317.6653,"empirical"
1,8,0.2,NA,339340.9395,"empirical"
1,9,0.24,NA,389041.2745,"empirical"
1,10,0.230769230769231,NA,389081.6723,"empirical"
1,11,0.208333333333333,NA,390021.0886,"empirical"
1,12,0.25,NA,389999.5747,"empirical"
1,13,0.166666666666667,NA,437366.7753,"empirical"
2,3,0.28,NA,305483.51,"empirical"
2,4,0.363636363636364,NA,305468.5845,"empirical"
2,5,0.307692307692308,NA,244342.8621,"empirical"
2,6,0.269230769230769,NA,244435.1061,"empirical"
2,7,0.181818181818182,NA,339422.5451,"empirical"
2,8,0.235294117647059,NA,339445.9549,"empirical"
2,9,0.291666666666667,NA,389106.7971,"empirical"
2,10,0.333333333333333,NA,389146.973,"empirical"
2,11,0.208333333333333,NA,390018.2084,"empirical"
2,12,0.363636363636364,NA,389996.6073,"empirical"
2,13,0.217391304347826,NA,437285.0066,"empirical"
3,4,0.8,NA,67.363151,"empirical"
3,5,0.538461538461538,NA,190517.2168,"empirical"
3,6,0.5,NA,190493.473,"empirical"
3,7,0.363636363636364,NA,284291.92,"empirical"
3,8,0.411764705882353,NA,284225.6416,"empirical"
3,9,0.48,NA,337010.9202,"empirical"
3,10,0.461538461538462,NA,337167.3216,"empirical"
3,11,0.4,NA,376908.7486,"empirical"
3,12,0.5,NA,376943.1528,"empirical"
3,13,0.36,NA,455682.8693,"empirical"
4,5,0.407407407407407,NA,190455.7312,"empirical"
4,6,0.37037037037037,NA,190431.974,"empirical"
4,7,0.34375,NA,284225.063,"empirical"
4,8,0.352941176470588,NA,284158.7826,"empirical"
4,9,0.346153846153846,NA,336943.6391,"empirical"
4,10,0.333333333333333,NA,337100.0413,"empirical"
4,11,0.269230769230769,NA,376842.1066,"empirical"
4,12,0.36,NA,376876.5125,"empirical"
4,13,0.230769230769231,NA,455616.6148,"empirical"
5,6,0.782608695652174,NA,95.95512,"empirical"
5,7,0.516129032258065,NA,116498.0882,"empirical"
5,8,0.666666666666667,NA,116473.2763,"empirical"
5,9,0.444444444444444,NA,173827.6658,"empirical"
5,10,0.538461538461538,NA,173938.4686,"empirical"
5,11,0.423076923076923,NA,200279.0495,"empirical"
5,12,0.583333333333333,NA,200296.3813,"empirical"
5,13,0.44,NA,274321.0892,"empirical"
6,7,0.4375,NA,116448.0545,"empirical"
6,8,0.53125,NA,116423.1775,"empirical"
6,9,0.52,NA,173779.1593,"empirical"
6,10,0.56,NA,173890.0276,"empirical"
6,11,0.44,NA,200252.1231,"empirical"
6,12,0.541666666666667,NA,200269.4864,"empirical"
6,13,0.458333333333333,NA,274306.3841,"empirical"
7,8,0.833333333333333,NA,95.901643,"empirical"
7,9,0.333333333333333,NA,57391.05093,"empirical"
7,10,0.323529411764706,NA,57507.0912,"empirical"
7,11,0.448275862068966,NA,92943.79946,"empirical"
7,12,0.433333333333333,NA,92982.62174,"empirical"
7,13,0.32258064516129,NA,172702.2428,"empirical"
8,9,0.382352941176471,NA,57421.1674,"empirical"
8,10,0.454545454545455,NA,57537.41864,"empirical"
8,11,0.40625,NA,93016.48528,"empirical"
8,12,0.533333333333333,NA,93055.34728,"empirical"
8,13,0.375,NA,172778.5189,"empirical"
9,10,0.85,NA,176.725963,"empirical"
9,11,0.545454545454545,NA,52803.77965,"empirical"
9,12,0.521739130434783,NA,52869.02752,"empirical"
9,13,0.571428571428571,NA,129490.6054,"empirical"
10,11,0.521739130434783,NA,52633.94478,"empirical"
10,12,0.565217391304348,NA,52699.21787,"empirical"
10,13,0.545454545454545,NA,129313.8797,"empirical"
11,12,0.65,NA,70.701802,"empirical"
11,13,0.55,NA,80115.5239,"empirical"
12,13,0.6,NA,80069.46551,"empirical"
13,14,0.470588235294118,NA,93.399466,"empirical"
