"layer_from","node_from","layer_to","node_to","weight"
"WesternSahara1","Asparagus.pastorianus","WesternSahara2","Asparagus.pastorianus",0.676222840966804
"WesternSahara1","Euphorbia.balsamifera..f.","WesternSahara2","Euphorbia.balsamifera..f.",0.676222840966804
"WesternSahara1","Euphorbia.balsamifera..f.","Fuerteventura1","Euphorbia.balsamifera..f.",0.333389610353953
"WesternSahara1","Euphorbia.balsamifera..f.","Fuerteventura2","Euphorbia.balsamifera..f.",0.33339089806587
"WesternSahara1","Euphorbia.balsamifera..f.","GranCanaria1","Euphorbia.balsamifera..f.",0.33937515219088
"WesternSahara1","Euphorbia.balsamifera..f.","GranCanaria2","Euphorbia.balsamifera..f.",0.339364823067821
"WesternSahara1","Euphorbia.balsamifera..f.","TenerifeSouth1","Euphorbia.balsamifera..f.",0.330600704196276
"WesternSahara1","Euphorbia.balsamifera..f.","TenerifeSouth2","Euphorbia.balsamifera..f.",0.330598923596202
"WesternSahara1","Euphorbia.balsamifera..f.","TenerifeTeno1","Euphorbia.balsamifera..f.",0.327088337550814
"WesternSahara1","Euphorbia.balsamifera..f.","TenerifeTeno2","Euphorbia.balsamifera..f.",0.327085698948839
"WesternSahara1","Euphorbia.balsamifera..f.","Gomera1","Euphorbia.balsamifera..f.",0.327024429625113
"WesternSahara1","Euphorbia.balsamifera..f.","Gomera2","Euphorbia.balsamifera..f.",0.32702583086686
"WesternSahara1","Euphorbia.balsamifera..f.","Hierro1","Euphorbia.balsamifera..f.",0.324139758853872
"WesternSahara1","Euphorbia.balsamifera..f.","Hierro2","Euphorbia.balsamifera..f.",0.324134610599056
"WesternSahara1","Euphorbia.balsamifera..m.","WesternSahara2","Euphorbia.balsamifera..m.",0.676222840966804
"WesternSahara1","Euphorbia.balsamifera..m.","Fuerteventura1","Euphorbia.balsamifera..m.",0.333389610353953
"WesternSahara1","Euphorbia.balsamifera..m.","Fuerteventura2","Euphorbia.balsamifera..m.",0.33339089806587
"WesternSahara1","Euphorbia.balsamifera..m.","GranCanaria1","Euphorbia.balsamifera..m.",0.33937515219088
"WesternSahara1","Euphorbia.balsamifera..m.","GranCanaria2","Euphorbia.balsamifera..m.",0.339364823067821
"WesternSahara1","Euphorbia.balsamifera..m.","TenerifeSouth1","Euphorbia.balsamifera..m.",0.330600704196276
"WesternSahara1","Euphorbia.balsamifera..m.","TenerifeSouth2","Euphorbia.balsamifera..m.",0.330598923596202
"WesternSahara1","Euphorbia.balsamifera..m.","TenerifeTeno1","Euphorbia.balsamifera..m.",0.327088337550814
"WesternSahara1","Euphorbia.balsamifera..m.","TenerifeTeno2","Euphorbia.balsamifera..m.",0.327085698948839
"WesternSahara1","Euphorbia.balsamifera..m.","Gomera1","Euphorbia.balsamifera..m.",0.327024429625113
"WesternSahara1","Euphorbia.balsamifera..m.","Gomera2","Euphorbia.balsamifera..m.",0.32702583086686
"WesternSahara1","Euphorbia.balsamifera..m.","Hierro1","Euphorbia.balsamifera..m.",0.324139758853872
"WesternSahara1","Euphorbia.balsamifera..m.","Hierro2","Euphorbia.balsamifera..m.",0.324134610599056
"WesternSahara1","Helianthemum.canariensis","Fuerteventura1","Helianthemum.canariensis",0.333389610353953
"WesternSahara1","Helianthemum.canariensis","Fuerteventura2","Helianthemum.canariensis",0.33339089806587
"WesternSahara1","Helianthemum.canariensis","TenerifeSouth1","Helianthemum.canariensis",0.330600704196276
"WesternSahara1","Helianthemum.canariensis","TenerifeSouth2","Helianthemum.canariensis",0.330598923596202
"WesternSahara1","Kickxia.heterophylla","WesternSahara2","Kickxia.heterophylla",0.676222840966804
"WesternSahara1","Kickxia.heterophylla","Fuerteventura2","Kickxia.heterophylla",0.33339089806587
"WesternSahara1","Launaea.arborescens","WesternSahara2","Launaea.arborescens",0.676222840966804
"WesternSahara1","Launaea.arborescens","Fuerteventura1","Launaea.arborescens",0.333389610353953
"WesternSahara1","Launaea.arborescens","Fuerteventura2","Launaea.arborescens",0.33339089806587
"WesternSahara1","Launaea.arborescens","GranCanaria1","Launaea.arborescens",0.33937515219088
"WesternSahara1","Launaea.arborescens","GranCanaria2","Launaea.arborescens",0.339364823067821
"WesternSahara1","Launaea.arborescens","TenerifeSouth1","Launaea.arborescens",0.330600704196276
"WesternSahara1","Launaea.arborescens","TenerifeSouth2","Launaea.arborescens",0.330598923596202
"WesternSahara1","Launaea.arborescens","TenerifeTeno1","Launaea.arborescens",0.327088337550814
"WesternSahara1","Launaea.arborescens","TenerifeTeno2","Launaea.arborescens",0.327085698948839
"WesternSahara1","Launaea.arborescens","Gomera1","Launaea.arborescens",0.327024429625113
