"layer_from","node_from","layer_to","node_to"
"WesternSahara1","Asparagus.pastorianus","WesternSahara2","Asparagus.pastorianus"
"WesternSahara1","Euphorbia.balsamifera..f.","WesternSahara2","Euphorbia.balsamifera..f."
"WesternSahara1","Euphorbia.balsamifera..f.","Fuerteventura1","Euphorbia.balsamifera..f."
"WesternSahara1","Euphorbia.balsamifera..f.","Fuerteventura2","Euphorbia.balsamifera..f."
"WesternSahara1","Euphorbia.balsamifera..f.","GranCanaria1","Euphorbia.balsamifera..f."
"WesternSahara1","Euphorbia.balsamifera..f.","GranCanaria2","Euphorbia.balsamifera..f."
"WesternSahara1","Euphorbia.balsamifera..f.","TenerifeSouth1","Euphorbia.balsamifera..f."
"WesternSahara1","Euphorbia.balsamifera..f.","TenerifeSouth2","Euphorbia.balsamifera..f."
"WesternSahara1","Euphorbia.balsamifera..f.","TenerifeTeno1","Euphorbia.balsamifera..f."
"WesternSahara1","Euphorbia.balsamifera..f.","TenerifeTeno2","Euphorbia.balsamifera..f."
"WesternSahara1","Euphorbia.balsamifera..f.","Gomera1","Euphorbia.balsamifera..f."
"WesternSahara1","Euphorbia.balsamifera..f.","Gomera2","Euphorbia.balsamifera..f."
"WesternSahara1","Euphorbia.balsamifera..f.","Hierro1","Euphorbia.balsamifera..f."
"WesternSahara1","Euphorbia.balsamifera..f.","Hierro2","Euphorbia.balsamifera..f."
"WesternSahara1","Euphorbia.balsamifera..m.","WesternSahara2","Euphorbia.balsamifera..m."
"WesternSahara1","Euphorbia.balsamifera..m.","Fuerteventura1","Euphorbia.balsamifera..m."
"WesternSahara1","Euphorbia.balsamifera..m.","Fuerteventura2","Euphorbia.balsamifera..m."
"WesternSahara1","Euphorbia.balsamifera..m.","GranCanaria1","Euphorbia.balsamifera..m."
"WesternSahara1","Euphorbia.balsamifera..m.","GranCanaria2","Euphorbia.balsamifera..m."
"WesternSahara1","Euphorbia.balsamifera..m.","TenerifeSouth1","Euphorbia.balsamifera..m."
"WesternSahara1","Euphorbia.balsamifera..m.","TenerifeSouth2","Euphorbia.balsamifera..m."
"WesternSahara1","Euphorbia.balsamifera..m.","TenerifeTeno1","Euphorbia.balsamifera..m."
"WesternSahara1","Euphorbia.balsamifera..m.","TenerifeTeno2","Euphorbia.balsamifera..m."
"WesternSahara1","Euphorbia.balsamifera..m.","Gomera1","Euphorbia.balsamifera..m."
"WesternSahara1","Euphorbia.balsamifera..m.","Gomera2","Euphorbia.balsamifera..m."
"WesternSahara1","Euphorbia.balsamifera..m.","Hierro1","Euphorbia.balsamifera..m."
"WesternSahara1","Euphorbia.balsamifera..m.","Hierro2","Euphorbia.balsamifera..m."
"WesternSahara1","Helianthemum.canariensis","Fuerteventura1","Helianthemum.canariensis"
"WesternSahara1","Helianthemum.canariensis","Fuerteventura2","Helianthemum.canariensis"
"WesternSahara1","Helianthemum.canariensis","TenerifeSouth1","Helianthemum.canariensis"
"WesternSahara1","Helianthemum.canariensis","TenerifeSouth2","Helianthemum.canariensis"
"WesternSahara1","Kickxia.heterophylla","WesternSahara2","Kickxia.heterophylla"
"WesternSahara1","Kickxia.heterophylla","Fuerteventura2","Kickxia.heterophylla"
"WesternSahara1","Launaea.arborescens","WesternSahara2","Launaea.arborescens"
"WesternSahara1","Launaea.arborescens","Fuerteventura1","Launaea.arborescens"
"WesternSahara1","Launaea.arborescens","Fuerteventura2","Launaea.arborescens"
"WesternSahara1","Launaea.arborescens","GranCanaria1","Launaea.arborescens"
"WesternSahara1","Launaea.arborescens","GranCanaria2","Launaea.arborescens"
"WesternSahara1","Launaea.arborescens","TenerifeSouth1","Launaea.arborescens"
"WesternSahara1","Launaea.arborescens","TenerifeSouth2","Launaea.arborescens"
"WesternSahara1","Launaea.arborescens","TenerifeTeno1","Launaea.arborescens"
"WesternSahara1","Launaea.arborescens","TenerifeTeno2","Launaea.arborescens"
"WesternSahara1","Launaea.arborescens","Gomera1","Launaea.arborescens"
"WesternSahara1","Launaea.arborescens","Gomera2","Launaea.arborescens"
"WesternSahara1","Lycium.intricatum","WesternSahara2","Lycium.intricatum"
"WesternSahara1","Lycium.intricatum","Fuerteventura1","Lycium.intricatum"
"WesternSahara1","Lycium.intricatum","Fuerteventura2","Lycium.intricatum"
"WesternSahara1","Lycium.intricatum","GranCanaria1","Lycium.intricatum"
"WesternSahara1","Lycium.intricatum","GranCanaria2","Lycium.intricatum"
"WesternSahara1","Lycium.intricatum","TenerifeSouth1","Lycium.intricatum"
"WesternSahara1","Lycium.intricatum","TenerifeSouth2","Lycium.intricatum"
"WesternSahara1","Lycium.intricatum","TenerifeTeno1","Lycium.intricatum"
"WesternSahara1","Lycium.intricatum","TenerifeTeno2","Lycium.intricatum"
"WesternSahara1","Lycium.intricatum","Gomera2","Lycium.intricatum"
"WesternSahara1","Nauplius.sp.","WesternSahara2","Nauplius.sp."
"WesternSahara1","Zilla.spinosa","WesternSahara2","Zilla.spinosa"
"WesternSahara2","Asparagus.pastorianus","WesternSahara1","Asparagus.pastorianus"
"WesternSahara2","Euphorbia.balsamifera..f.","WesternSahara1","Euphorbia.balsamifera..f."
"WesternSahara2","Euphorbia.balsamifera..f.","Fuerteventura1","Euphorbia.balsamifera..f."
"WesternSahara2","Euphorbia.balsamifera..f.","Fuerteventura2","Euphorbia.balsamifera..f."
"WesternSahara2","Euphorbia.balsamifera..f.","GranCanaria1","Euphorbia.balsamifera..f."
"WesternSahara2","Euphorbia.balsamifera..f.","GranCanaria2","Euphorbia.balsamifera..f."
"WesternSahara2","Euphorbia.balsamifera..f.","TenerifeSouth1","Euphorbia.balsamifera..f."
"WesternSahara2","Euphorbia.balsamifera..f.","TenerifeSouth2","Euphorbia.balsamifera..f."
"WesternSahara2","Euphorbia.balsamifera..f.","TenerifeTeno1","Euphorbia.balsamifera..f."
"WesternSahara2","Euphorbia.balsamifera..f.","TenerifeTeno2","Euphorbia.balsamifera..f."
"WesternSahara2","Euphorbia.balsamifera..f.","Gomera1","Euphorbia.balsamifera..f."
"WesternSahara2","Euphorbia.balsamifera..f.","Gomera2","Euphorbia.balsamifera..f."
"WesternSahara2","Euphorbia.balsamifera..f.","Hierro1","Euphorbia.balsamifera..f."
"WesternSahara2","Euphorbia.balsamifera..f.","Hierro2","Euphorbia.balsamifera..f."
"WesternSahara2","Euphorbia.balsamifera..m.","WesternSahara1","Euphorbia.balsamifera..m."
"WesternSahara2","Euphorbia.balsamifera..m.","Fuerteventura1","Euphorbia.balsamifera..m."
"WesternSahara2","Euphorbia.balsamifera..m.","Fuerteventura2","Euphorbia.balsamifera..m."
"WesternSahara2","Euphorbia.balsamifera..m.","GranCanaria1","Euphorbia.balsamifera..m."
"WesternSahara2","Euphorbia.balsamifera..m.","GranCanaria2","Euphorbia.balsamifera..m."
"WesternSahara2","Euphorbia.balsamifera..m.","TenerifeSouth1","Euphorbia.balsamifera..m."
"WesternSahara2","Euphorbia.balsamifera..m.","TenerifeSouth2","Euphorbia.balsamifera..m."
"WesternSahara2","Euphorbia.balsamifera..m.","TenerifeTeno1","Euphorbia.balsamifera..m."
"WesternSahara2","Euphorbia.balsamifera..m.","TenerifeTeno2","Euphorbia.balsamifera..m."
"WesternSahara2","Euphorbia.balsamifera..m.","Gomera1","Euphorbia.balsamifera..m."
"WesternSahara2","Euphorbia.balsamifera..m.","Gomera2","Euphorbia.balsamifera..m."
"WesternSahara2","Euphorbia.balsamifera..m.","Hierro1","Euphorbia.balsamifera..m."
"WesternSahara2","Euphorbia.balsamifera..m.","Hierro2","Euphorbia.balsamifera..m."
"WesternSahara2","Fagonia.albiflora","GranCanaria1","Fagonia.albiflora"
"WesternSahara2","Fagonia.albiflora","GranCanaria2","Fagonia.albiflora"
"WesternSahara2","Fagonia.albiflora","TenerifeSouth2","Fagonia.albiflora"
"WesternSahara2","Fagonia.albiflora","TenerifeTeno1","Fagonia.albiflora"
"WesternSahara2","Fagonia.albiflora","TenerifeTeno2","Fagonia.albiflora"
"WesternSahara2","Fagonia.albiflora","Gomera2","Fagonia.albiflora"
"WesternSahara2","Kickxia.heterophylla","WesternSahara1","Kickxia.heterophylla"
"WesternSahara2","Kickxia.heterophylla","Fuerteventura2","Kickxia.heterophylla"
"WesternSahara2","Launaea.arborescens","WesternSahara1","Launaea.arborescens"
"WesternSahara2","Launaea.arborescens","Fuerteventura1","Launaea.arborescens"
"WesternSahara2","Launaea.arborescens","Fuerteventura2","Launaea.arborescens"
