"layer_from","layer_to","ave_distance","turnover"
"1","1",505.679714,1
"1","2",305248.35063,0.481481481481481
"1","3",244290.926255556,0.433333333333333
"1","4east",339382.612264286,0.378378378378378
"1","4west",389098.557203704,0.461538461538462
"1","5",390006.94965,0.384615384615385
"1","6",437350.515492308,0.173913043478261
"2","2",67.363151,1
"2","3",190478.936820833,0.551724137931034
"2","4east",284225.369522449,0.432432432432432
"2","4west",337060.286314286,0.481481481481481
"2","5",376899.702060526,0.407407407407407
"2","6",455681.82065,0.260869565217391
"3","3",95.95512,1
"3","4east",116461.219667164,0.647058823529412
"3","4west",173861.509571698,0.535714285714286
"3","5",200275.419591837,0.464285714285714
"3","6",274340.139797297,0.28
"4east","4east",95.901643,1
"4east","4west",57468.3203846,0.416666666666667
"4east","5",93002.6061949091,0.441176470588235
"4east","6",172759.225630303,0.142857142857143
"4west","4west",176.725963,1
"4west","5",52750.4256267347,0.565217391304348
"4west","6",129412.674878571,0.421052631578947
"5","5",70.701802,1
"5","6",80108.4302864865,0.388888888888889
"6","6",93.399466,1
