"layer_from","layer_to","number_of_modules","mean_distance","turnover","distance_in_km"
1,2,13,305248.84735,0.361111111111111,305.24884735
1,3,9,244280.590775,0.176470588235294,244.280590775
1,4,12,339381.7762,0.2,339.3817762
1,5,10,389094.179225,0.175438596491228,389.094179225
1,6,10,390008.86975,0.175438596491228,390.00886975
1,7,4,437371.016375,0.0769230769230769,437.371016375
2,3,17,190474.59875,0.303571428571429,190.47459875
2,4,18,284225.3518,0.26865671641791,284.2253518
2,5,14,337055.48055,0.212121212121212,337.05548055
2,6,21,376892.630125,0.355932203389831,376.892630125
2,7,11,455676.643375,0.189655172413793,455.676643375
3,4,31,116460.649125,0.476923076923077,116.460649125
3,5,27,173858.830325,0.421875,173.858830325
3,6,28,200274.260075,0.444444444444444,200.274260075
3,7,19,274346.546,0.311475409836066,274.346546
4,5,34,57464.1820425,0.492753623188406,57.4641820425
4,6,31,92999.56344,0.430555555555556,92.99956344
4,7,20,172763.448,0.277777777777778,172.763448
5,6,28,52751.492455,0.4,52.751492455
5,7,24,129414.4136,0.380952380952381,129.4144136
6,7,27,80112.73198,0.45,80.11273198
