"layer_from","layer_to","turnover"
1,2,0.733333333333333
1,3,0.28
1,4,0.363636363636364
1,5,0.214285714285714
1,6,0.222222222222222
1,7,0.21875
1,8,0.2
1,9,0.24
1,10,0.230769230769231
1,11,0.208333333333333
1,12,0.25
1,13,0.166666666666667
2,3,0.28
2,4,0.363636363636364
2,5,0.307692307692308
2,6,0.269230769230769
2,7,0.181818181818182
2,8,0.235294117647059
2,9,0.291666666666667
2,10,0.333333333333333
2,11,0.208333333333333
2,12,0.363636363636364
2,13,0.217391304347826
3,4,0.8
3,5,0.538461538461538
3,6,0.5
3,7,0.363636363636364
3,8,0.411764705882353
3,9,0.48
3,10,0.461538461538462
3,11,0.4
3,12,0.5
3,13,0.36
4,5,0.407407407407407
4,6,0.37037037037037
4,7,0.34375
4,8,0.352941176470588
4,9,0.346153846153846
4,10,0.333333333333333
4,11,0.269230769230769
4,12,0.36
4,13,0.230769230769231
5,6,0.782608695652174
5,7,0.516129032258065
5,8,0.666666666666667
5,9,0.444444444444444
5,10,0.538461538461538
5,11,0.423076923076923
5,12,0.583333333333333
5,13,0.44
6,7,0.4375
6,8,0.53125
6,9,0.52
6,10,0.56
6,11,0.44
6,12,0.541666666666667
6,13,0.458333333333333
7,8,0.833333333333333
7,9,0.333333333333333
7,10,0.323529411764706
7,11,0.448275862068966
7,12,0.433333333333333
7,13,0.32258064516129
8,9,0.382352941176471
8,10,0.454545454545455
8,11,0.40625
8,12,0.533333333333333
8,13,0.375
9,10,0.85
9,11,0.545454545454545
9,12,0.521739130434783
9,13,0.571428571428571
10,11,0.521739130434783
10,12,0.565217391304348
10,13,0.545454545454545
11,12,0.65
11,13,0.55
12,13,0.6
13,14,0.470588235294118
13,13,1
14,15,0
14,14,1
14,13,0.470588235294118
