"","module","layer_from","layer_to","module_sharing","distance"
"1","1",1,2,0.318181818181818,505.679714
"2","1",2,3,0.0714285714285714,305483.51
"3","1",2,4,0.0344827586206897,305468.5845
"4","1",2,6,0.0434782608695652,244435.1061
"5","1",2,7,0.0526315789473684,339422.5451
"6","1",2,8,0.0454545454545455,339445.9549
"7","1",2,10,0.0869565217391304,389146.973
"8","1",2,12,0.0476190476190476,389996.6073
"9","1",3,4,0.217391304347826,67.363151
"10","1",3,9,0.1,337010.9202
"11","1",3,12,0.0526315789473684,376943.1528
"12","1",4,9,0.157894736842105,336943.6391
"13","1",6,7,0.0909090909090909,116448.0545
"14","1",6,8,0.0714285714285714,116423.1775
"15","1",9,11,0.333333333333333,52803.77965
"16","1",9,13,0.375,129490.6054
"17","1",10,14,0.166666666666667,129338.2219
"18","2",1,2,0.571428571428571,505.679714
"19","2",4,8,0.2,284158.7826
"20","2",4,12,0.428571428571429,376876.5125
"21","2",5,8,0.166666666666667,116473.2763
"22","3",3,4,0.285714285714286,67.363151
"23","3",3,5,0.0555555555555556,190517.2168
"24","3",3,6,0.15,190493.473
"25","3",3,7,0.105263157894737,284291.92
"26","3",3,8,0.105263157894737,284225.6416
"27","3",3,12,0.1,376943.1528
"28","3",4,6,0.111111111111111,190431.974
"29","3",4,7,0.125,284225.063
"30","3",4,8,0.125,284158.7826
"31","3",6,12,0.363636363636364,200269.4864
"32","3",7,12,0.181818181818182,92982.62174
"33","4",7,8,0.307692307692308,95.901643
"34","4",8,10,0.0909090909090909,57537.41864
"35","4",8,12,0.142857142857143,93055.34728
"36","4",11,12,0.285714285714286,70.701802
"37","4",13,14,0.153846153846154,93.399466
"38","5",7,8,0.384615384615385,95.901643
"39","5",7,11,0.0909090909090909,92943.79946
"40","5",7,12,0.222222222222222,92982.62174
"41","5",8,11,0.0769230769230769,93016.48528
"42","5",8,12,0.181818181818182,93055.34728
"43","5",9,11,0.125,52803.77965
"44","5",9,12,0.142857142857143,52869.02752
"45","6",7,8,0.214285714285714,95.901643
"46","6",8,9,0.222222222222222,57421.1674
"47","6",8,11,0.05,93016.48528
"48","6",8,12,0.117647058823529,93055.34728
"49","6",11,12,0.272727272727273,70.701802
"50","7",5,6,0.5,95.95512
"51","7",5,7,0.333333333333333,116498.0882
"52","7",5,9,0.285714285714286,173827.6658
"53","7",5,12,0.285714285714286,200296.3813
"54","7",6,7,0.333333333333333,116448.0545
"55","7",6,9,0.285714285714286,173779.1593
"56","7",6,12,0.285714285714286,200269.4864
"57","10",11,12,0.125,70.701802
"58","12",11,12,0.428571428571429,70.701802
"59","12",11,14,0.285714285714286,80155.97026
