node_id,module,layer_id,flow,type,species
1,7,7,5.32234e-4,plant,Argyranthemum.frutescens
1,7,8,0.00291029,plant,Argyranthemum.frutescens
1,7,9,0.00232842,plant,Argyranthemum.frutescens
1,7,10,0.00429459,plant,Argyranthemum.frutescens
1,7,11,0.00415033,plant,Argyranthemum.frutescens
1,7,12,0.00944816,plant,Argyranthemum.frutescens
2,24,2,3.52516e-5,plant,Argyranthemum.sp.
3,14,1,5.85601e-4,plant,Asparagus.pastorianus
3,14,2,0.00447306,plant,Asparagus.pastorianus
4,11,10,5.27615e-5,plant,Asphaltklee.bituminosa
4,6,12,7.9549e-4,plant,Asphaltklee.bituminosa
4,6,13,0.0015879,plant,Asphaltklee.bituminosa
4,6,14,0.0104863,plant,Asphaltklee.bituminosa
5,12,9,4.19965e-4,plant,Ceballosia.fruticosa
5,12,10,0.00105077,plant,Ceballosia.fruticosa
5,12,13,6.83204e-4,plant,Ceballosia.fruticosa
5,12,14,0.00579943,plant,Ceballosia.fruticosa
6,30,10,4.71169e-4,plant,Ceropegia.dichotoma
7,1,7,6.65788e-6,plant,Ceropegia.fusca
8,5,1,5.31833e-4,plant,Euphorbia.balsamifera..f.
8,5,2,0.0017067,plant,Euphorbia.balsamifera..f.
8,5,3,7.42382e-4,plant,Euphorbia.balsamifera..f.
8,5,4,0.00152363,plant,Euphorbia.balsamifera..f.
8,5,5,0.00123347,plant,Euphorbia.balsamifera..f.
8,5,6,0.00122422,plant,Euphorbia.balsamifera..f.
8,5,7,0.00108797,plant,Euphorbia.balsamifera..f.
8,5,8,0.00135523,plant,Euphorbia.balsamifera..f.
8,5,9,0.00172124,plant,Euphorbia.balsamifera..f.
8,5,10,0.00481326,plant,Euphorbia.balsamifera..f.
8,5,11,0.00306448,plant,Euphorbia.balsamifera..f.
8,5,12,0.00695992,plant,Euphorbia.balsamifera..f.
8,5,13,0.00544767,plant,Euphorbia.balsamifera..f.
8,1,14,0.0254636,plant,Euphorbia.balsamifera..f.
9,2,1,0.0017039,plant,Euphorbia.balsamifera..m.
9,2,2,0.00332736,plant,Euphorbia.balsamifera..m.
9,2,3,0.00203103,plant,Euphorbia.balsamifera..m.
9,2,4,0.00353435,plant,Euphorbia.balsamifera..m.
9,2,5,0.00158815,plant,Euphorbia.balsamifera..m.
9,2,6,0.00274569,plant,Euphorbia.balsamifera..m.
9,2,7,0.00189009,plant,Euphorbia.balsamifera..m.
9,2,8,0.00330204,plant,Euphorbia.balsamifera..m.
9,2,9,0.00368998,plant,Euphorbia.balsamifera..m.
9,2,10,0.00664874,plant,Euphorbia.balsamifera..m.
9,2,11,0.00476009,plant,Euphorbia.balsamifera..m.
9,2,12,0.0112496,plant,Euphorbia.balsamifera..m.
