"node_id","module","sub_module","sub_sub_module","layer_id","flow","type","species"
1,6,NA,NA,7,0.000613747,"plant","Argyranthemum.frutescens"
1,6,NA,NA,8,0.0033016,"plant","Argyranthemum.frutescens"
1,6,NA,NA,9,0.00262265,"plant","Argyranthemum.frutescens"
1,6,NA,NA,10,0.0048459,"plant","Argyranthemum.frutescens"
1,6,NA,NA,11,0.00468753,"plant","Argyranthemum.frutescens"
1,6,NA,NA,12,0.010363,"plant","Argyranthemum.frutescens"
4,10,NA,NA,10,5.99655e-05,"plant","Asphaltklee.bituminosa"
4,5,NA,NA,12,0.000877101,"plant","Asphaltklee.bituminosa"
4,5,NA,NA,13,0.00176098,"plant","Asphaltklee.bituminosa"
4,5,NA,NA,14,0.0114541,"plant","Asphaltklee.bituminosa"
5,11,NA,NA,9,0.000477362,"plant","Ceballosia.fruticosa"
5,11,NA,NA,10,0.00117455,"plant","Ceballosia.fruticosa"
5,11,NA,NA,13,0.000741769,"plant","Ceballosia.fruticosa"
5,11,NA,NA,14,0.00615023,"plant","Ceballosia.fruticosa"
6,28,NA,NA,10,0.000542086,"plant","Ceropegia.dichotoma"
7,1,NA,NA,7,7.15297e-06,"plant","Ceropegia.fusca"
8,1,NA,NA,3,0.000557507,"plant","Euphorbia.balsamifera..f."
8,1,NA,NA,4,0.00136039,"plant","Euphorbia.balsamifera..f."
8,1,NA,NA,5,0.00110031,"plant","Euphorbia.balsamifera..f."
8,1,NA,NA,6,0.00105296,"plant","Euphorbia.balsamifera..f."
8,1,NA,NA,7,0.000921542,"plant","Euphorbia.balsamifera..f."
8,1,NA,NA,8,0.00114259,"plant","Euphorbia.balsamifera..f."
8,1,NA,NA,9,0.0015726,"plant","Euphorbia.balsamifera..f."
8,1,NA,NA,10,0.00474988,"plant","Euphorbia.balsamifera..f."
8,1,NA,NA,11,0.00291983,"plant","Euphorbia.balsamifera..f."
8,1,NA,NA,12,0.00679211,"plant","Euphorbia.balsamifera..f."
8,1,NA,NA,13,0.00528586,"plant","Euphorbia.balsamifera..f."
8,1,NA,NA,14,0.0260314,"plant","Euphorbia.balsamifera..f."
9,2,NA,NA,3,0.00185857,"plant","Euphorbia.balsamifera..m."
9,2,NA,NA,4,0.00345087,"plant","Euphorbia.balsamifera..m."
9,2,NA,NA,5,0.00132322,"plant","Euphorbia.balsamifera..m."
9,2,NA,NA,6,0.0025622,"plant","Euphorbia.balsamifera..m."
9,2,NA,NA,7,0.00160557,"plant","Euphorbia.balsamifera..m."
9,2,NA,NA,8,0.00306603,"plant","Euphorbia.balsamifera..m."
9,2,NA,NA,9,0.00343606,"plant","Euphorbia.balsamifera..m."
9,2,NA,NA,10,0.00647985,"plant","Euphorbia.balsamifera..m."
9,2,NA,NA,11,0.00441087,"plant","Euphorbia.balsamifera..m."
9,2,NA,NA,12,0.0108813,"plant","Euphorbia.balsamifera..m."
9,2,NA,NA,13,0.0106404,"plant","Euphorbia.balsamifera..m."
9,2,NA,NA,14,0.0549655,"plant","Euphorbia.balsamifera..m."
10,1,NA,NA,7,0.000934919,"plant","Euphorbia.lamarckii"
10,1,NA,NA,8,0.00266978,"plant","Euphorbia.lamarckii"
10,1,NA,NA,9,0.00055822,"plant","Euphorbia.lamarckii"
10,1,NA,NA,10,0.00111028,"plant","Euphorbia.lamarckii"
10,1,NA,NA,11,0.00213157,"plant","Euphorbia.lamarckii"
10,1,NA,NA,12,0.00575945,"plant","Euphorbia.lamarckii"
10,1,NA,NA,13,0.00966481,"plant","Euphorbia.lamarckii"
10,1,NA,NA,14,0.0817733,"plant","Euphorbia.lamarckii"
11,17,NA,NA,5,0.00192474,"plant","Euphorbia.regis.jubae"
11,17,NA,NA,6,0.00223506,"plant","Euphorbia.regis.jubae"
12,12,NA,NA,5,0.000278012,"plant","Fagonia.albiflora"
12,12,NA,NA,6,0.000934189,"plant","Fagonia.albiflora"
12,12,NA,NA,8,0.000273356,"plant","Fagonia.albiflora"
12,12,NA,NA,9,0.00123603,"plant","Fagonia.albiflora"
12,12,NA,NA,10,0.00143532,"plant","Fagonia.albiflora"
12,12,NA,NA,12,0.00387854,"plant","Fagonia.albiflora"
13,15,NA,NA,7,0.00022363,"plant","Frankenia.laevis"
13,15,NA,NA,8,0.000977614,"plant","Frankenia.laevis"
13,15,NA,NA,10,0.00119494,"plant","Frankenia.laevis"
14,24,NA,NA,3,0.000296552,"plant","Helianthemum.canariensis"
14,24,NA,NA,4,0.000617046,"plant","Helianthemum.canariensis"
14,24,NA,NA,7,0.000506717,"plant","Helianthemum.canariensis"
14,24,NA,NA,8,0.00078217,"plant","Helianthemum.canariensis"
15,29,NA,NA,4,0.000700587,"plant","Kickxia.heterophylla"
16,7,NA,NA,5,0.000148451,"plant","Kickxia.scoparia"
16,7,NA,NA,10,0.00010088,"plant","Kickxia.scoparia"
16,7,NA,NA,11,0.000195164,"plant","Kickxia.scoparia"
16,7,NA,NA,12,0.00133267,"plant","Kickxia.scoparia"
17,4,NA,NA,3,0.00224956,"plant","Launaea.arborescens"
