"layer_from","layer_to","ave_distance","number_of_modules","trial"
"1","1",505.679714,13,1
"1","2",305271.56734,14,1
"1","3",244287.080495349,14,1
"1","4east",339386.438335,15,1
"1","4west",389083.480383333,11,1
"1","5",390008.86975,2,1
"1","6",437355.974566667,2,1
"2","2",67.363151,11,1
"2","3",190477.440102222,17,1
"2","4east",284226.818235556,17,1
"2","4west",337003.346616667,12,1
"2","5",376892.630125,2,1
"2","6",455667.676266667,2,1
"3","3",95.95512,13,1
"3","4east",116461.473442222,16,1
"3","4west",173818.934362963,13,1
"3","5",200274.260075,2,1
"3","6",274335.60955,2,1
"4east","4east",95.901643,15,1
"4east","4west",57422.7582311111,13,1
"4east","5",92999.56344,2,1
"4east","6",172755.75895,2,1
"4west","4west",176.725963,2,1
"4west","5",52707.9458877778,8,1
"4west","6",129358.961706667,7,1
"5","5",70.701802,8,1
"5","6",80103.8587152,11,1
"6","6",93.399466,7,1
"1","1",505.679714,13,2
"1","2",305269.386368571,13,2
"1","3",244287.917541176,13,2
"1","4east",339387.886842857,14,2
"1","4west",389084.413052,13,2
"1","5",390008.86975,2,2
"1","6",437353.81442,3,2
"2","2",67.363151,10,2
"2","3",190477.173771429,15,2
"2","4east",284220.926733333,18,2
"2","4west",337001.665381818,15,2
"2","5",376903.736983333,3,2
"2","6",455664.63766,4,2
"3","3",95.95512,12,2
"3","4east",116462.267158974,16,2
"3","4west",173830.672126087,14,2
"3","5",200271.56901,3,2
"3","6",274340.806942857,4,2
"4east","4east",95.901643,16,2
"4east","4west",57421.8866325,13,2
"4east","5",93011.6810533333,2,2
"4east","6",172766.46218,3,2
"4west","4west",176.725963,1,2
"4west","5",52688.4802111765,9,2
"4west","6",129353.47655,8,2
"5","5",70.701802,9,2
"5","6",80104.44678375,7,2
"6","6",93.399466,5,2
"1","1",505.679714,13,3
"1","2",305243.48732439,16,3
"1","3",244284.43324375,19,3
"1","4east",339383.2336625,18,3
"1","4west",389080.0008,10,3
"1","5",390008.86975,1,3
"2","2",67.363151,12,3
"2","3",190475.03784186,19,3
"2","4east",284221.041808696,20,3
"2","4west",336991.497995455,12,3
"2","5",376892.630125,1,3
"3","3",95.95512,13,3
"3","4east",116458.252978846,21,3
"3","4west",173811.938361538,15,3
"3","5",200274.260075,1,3
"4east","4east",95.901643,20,3
"4east","4west",57414.9755204,15,3
"4east","5",93035.91628,1,3
"4west","4west",176.725963,1,3
"4west","5",52690.8416478571,6,3
"4west","6",129323.008025,5,3
"5","5",70.701802,6,3
"5","6",80105.9033994737,8,3
"6","6",93.399466,5,3
"1","1",505.679714,16,4
"1","2",305247.414044231,20,4
"1","3",244280.59028,18,4
"1","4east",339382.208459259,19,4
"1","4west",389077.206982609,12,4
"1","5",390010.73748,2,4
"1","6",437349.51565,3,4
"2","2",67.363151,13,4
