"node_from","node_to","co_occurrences"
1,166,1
1,191,1
1,202,1
1,225,2
1,43,1
1,58,1
1,113,1
1,134,1
1,138,2
1,162,2
1,171,1
1,184,1
1,192,1
1,213,1
1,220,1
1,226,2
1,227,1
1,231,1
1,66,1
1,75,2
1,104,2
1,110,1
1,139,2
1,140,1
1,152,1
1,189,1
1,229,1
1,49,2
1,115,1
1,160,1
1,65,1
1,71,1
1,73,1
1,93,2
1,182,1
1,214,1
1,222,1
1,223,2
1,224,1
1,144,2
2,117,2
2,46,3
2,81,3
2,75,3
2,95,1
2,104,3
2,116,3
2,119,3
2,235,1
3,75,2
3,152,1
3,178,2
3,184,1
3,43,1
3,116,2
3,213,2
3,175,1
4,75,1
4,227,1
4,229,1
5,75,1
6,52,1
6,66,2
6,93,5
6,159,1
6,183,3
6,48,1
6,68,3
6,109,1
6,196,1
6,197,4
6,203,3
6,49,3
6,75,5
6,83,4
6,96,2
6,101,1
6,139,4
6,144,5
6,158,3
6,166,2
6,206,1
6,225,5
6,56,1
6,36,2
6,185,1
6,119,3
6,184,2
6,216,1
6,220,1
6,79,2
6,84,1
6,116,3
6,150,1
6,53,1
6,186,2
6,199,2
6,214,2
6,224,1
6,71,1
6,122,1
6,138,5
6,107,1
6,111,2
6,89,1
6,160,2
6,191,2
7,48,1
7,62,1
7,66,2
7,76,1
7,88,2
7,144,5
7,154,1
7,165,2
7,181,1
7,183,3
7,197,4
7,201,1
7,203,3
7,215,1
7,225,5
7,43,3
7,55,1
7,100,1
7,177,2
7,186,2
7,194,1
7,196,1
7,217,1
7,218,1
7,49,3
7,58,2
7,61,1
7,75,5
7,93,5
7,138,5
7,139,4
7,158,3
7,166,2
7,206,1
7,45,1
7,210,1
7,227,2
7,70,1
7,81,3
7,108,2
7,220,1
7,36,2
7,64,1
7,141,1
7,167,1
7,184,2
7,207,1
7,63,1
7,86,1
7,98,1
7,104,3
7,116,3
7,119,3
7,223,4
7,229,1
7,67,1
7,97,1
7,102,1
7,120,1
7,147,1
7,155,1
7,172,1
7,174,2
7,214,2
7,224,1
7,41,1
7,90,2
7,111,2
7,85,1
7,89,1
7,77,1
7,99,1
7,175,1
7,193,1
7,195,1
8,43,1
8,49,2
8,75,3
8,114,2
8,145,1
8,148,2
8,180,1
8,212,1
8,225,3
8,51,1
8,68,2
8,83,2
8,115,1
8,144,3
8,157,1
8,158,2
8,184,1
8,187,1
8,204,3
8,104,3
8,116,3
8,117,2
8,120,1
8,50,2
8,165,1
8,214,2
8,125,1
8,138,3
8,199,2
8,46,3
8,80,1
8,85,1
8,89,1
8,96,1
8,107,1
8,119,3
8,139,3
8,143,1
8,160,2
8,161,1
8,176,1
8,200,2
8,60,1
8,79,2
8,93,3
8,112,1
8,174,2
8,203,2
8,213,2
8,219,1
9,43,1
9,44,1
9,46,1
9,61,1
9,69,1
9,75,1
9,93,1
9,96,1
9,114,1
9,117,1
9,126,1
9,128,1
9,136,1
9,139,1
9,144,1
9,151,1
9,158,1
9,166,1
9,200,1
9,36,1
9,197,1
10,61,1
10,138,3
10,226,3
10,44,1
10,75,3
10,43,2
10,46,3
10,139,3
10,47,3
10,49,3
10,200,2
11,75,1
11,184,1
11,220,1
11,40,1
11,156,1
11,83,1
11,135,1
12,109,1
12,196,1
12,226,2
12,123,2
12,220,1
12,225,2
12,49,1
12,75,2
12,184,1
13,132,1
13,168,1
13,226,1
14,75,3
14,221,1
14,226,3
14,139,3
14,39,3
14,46,3
15,43,3
15,46,4
15,48,1
15,57,1
15,62,1
15,66,2
15,72,1
15,74,1
15,78,2
15,103,1
15,109,1
15,124,2
15,138,4
