"","layer_from","node_from","layer_to","node_to","weight"
"1",4,6,1,6,0.0952380952380953
"2",2,6,1,6,0.0869565217391304
"3",3,6,1,6,0.0416666666666666
"4",2,6,4,6,0.0833333333333334
"5",5,6,4,6,0.105263157894737
"6",3,6,4,6,0.0833333333333334
"7",5,6,2,6,0.0952380952380953
"8",3,6,2,6,0.166666666666667
"9",3,6,5,6,0.0952380952380953
"10",4,7,1,7,0.0555555555555556
"11",2,7,1,7,0.108108108108108
"12",5,7,1,7,0.027027027027027
"13",3,7,1,7,0.0599999999999999
"14",2,7,4,7,0.148148148148148
"15",5,7,4,7,0.272727272727273
"16",3,7,4,7,0.131578947368421
"17",5,7,2,7,0.148148148148148
"18",3,7,2,7,0.0952380952380953
"19",3,7,5,7,0.162162162162162
"20",3,12,1,12,0.111111111111111
"21",4,15,1,15,0.121951219512195
"22",2,15,1,15,0.0731707317073171
"23",3,15,1,15,0.0652173913043478
"24",2,15,4,15,0.25
"25",3,15,4,15,0.166666666666667
"26",3,15,2,15,0.269230769230769
"27",2,23,1,23,0.105263157894737
"28",3,23,1,23,0.117647058823529
"29",2,23,4,23,0.272727272727273
"30",3,23,4,23,0.2
"31",3,23,2,23,0.384615384615385
"32",3,10,4,10,0.222222222222222
"33",3,10,2,10,0.375
"34",2,14,4,14,0.2
"35",2,30,4,30,0.181818181818182
"36",3,30,4,30,0.2
"37",3,30,2,30,0.181818181818182
"38",2,31,4,31,0.0588235294117647
"39",5,31,4,31,0.0833333333333334
"40",3,31,4,31,0.0714285714285714
"41",5,31,2,31,0.1
"42",3,31,2,31,0.181818181818182
"43",3,31,5,31,0.142857142857143
"44",3,34,2,34,0.1
"45",3,34,5,34,0.176470588235294
"46",3,1,4,1,0.125
"47",5,8,4,8,0.114285714285714
"48",3,8,4,8,0.137931034482759
"49",3,8,5,8,0.130434782608696
"50",3,18,4,18,0.125
"51",5,27,4,27,0.0714285714285714
"52",3,27,4,27,0.133333333333333
"53",3,27,5,27,0.1
"54",3,3,5,3,0.25
"55",5,2,4,2,0.111111111111111
"56",3,2,5,2,0.125
"57",5,29,4,29,0.142857142857143
"58",2,93,1,93,0.25
"59",3,93,1,93,0.333333333333333
"60",3,93,2,93,0.25
"61",4,183,1,183,0.5
"62",2,88,1,88,1
"63",3,144,5,144,1
"64",4,197,1,197,0.5
"65",2,197,1,197,0.666666666666667
"66",2,197,4,197,0.333333333333333
"67",3,203,1,203,0.166666666666667
"68",4,225,1,225,0.333333333333333
"69",2,225,1,225,0.25
"70",5,225,1,225,0.5
"71",3,225,1,225,0.125
"72",2,225,4,225,0.25
"73",5,225,4,225,0.5
"74",3,225,4,225,0.285714285714286
"75",5,225,2,225,0.333333333333333
"76",3,225,2,225,0.428571428571428
"77",3,225,5,225,0.142857142857143
"78",4,226,1,226,0.142857142857143
"79",2,226,1,226,0.142857142857143
"80",3,226,1,226,0.25
"81",2,226,4,226,0.333333333333333
"82",5,226,4,226,0.2
"83",3,226,4,226,0.25
"84",3,226,2,226,0.428571428571428
"85",2,43,1,43,0.5
"86",3,43,1,43,0.181818181818182
"87",3,43,2,43,0.25
"88",4,46,1,46,0.166666666666667
"89",2,46,1,46,0.2
"90",3,46,1,46,0.142857142857143
"91",5,46,4,46,0.2
"92",3,46,4,46,0.125
"93",3,46,2,46,0.142857142857143
"94",4,138,1,138,0.142857142857143
"95",2,138,4,138,0.222222222222222
"96",5,138,4,138,0.428571428571428
"97",5,138,2,138,0.166666666666667
"98",3,138,2,138,0.2
"99",4,234,1,234,1
"100",2,234,1,234,1
"101",3,234,1,234,1
"102",2,234,4,234,1
"103",3,234,4,234,1
"104",3,234,2,234,1
"105",2,75,1,75,0.125
"106",3,75,1,75,0.0454545454545455
"107",2,75,4,75,0.214285714285714
"108",5,75,4,75,0.416666666666667
"109",3,75,4,75,0.347826086956522
"110",5,75,2,75,0.230769230769231
"111",3,75,2,75,0.25
"112",3,75,5,75,0.25
"113",3,83,4,83,0.5
"114",2,49,4,49,0.285714285714286
"115",3,49,4,49,0.0909090909090909
"116",3,49,2,49,0.181818181818182
"117",2,139,4,139,0.4
"118",5,139,4,139,0.0909090909090909
"119",3,139,4,139,0.461538461538462
"120",5,139,2,139,0.25
"121",3,139,2,139,0.214285714285714
"122",3,139,5,139,0.0714285714285714
"123",3,158,4,158,0.333333333333333
"124",3,58,2,58,0.25
"125",3,114,5,114,0.5
"126",3,117,5,117,0.666666666666667
"127",3,184,2,184,0.0909090909090909
"128",2,39,4,39,0.5
"129",3,39,4,39,0.25
"130",3,39,2,39,0.333333333333333
"131",3,47,2,47,0.333333333333333
"132",3,108,2,108,0.333333333333333
"133",2,170,4,170,1
"134",2,182,4,182,0.333333333333333
"135",3,178,5,178,0.5
"136",3,223,5,223,1
"137",3,191,5,191,0.333333333333333
"138",3,50,4,50,0.25
"139",5,162,4,162,0.333333333333333
"140",3,162,4,162,0.25
"141",3,162,5,162,0.25
"142",3,204,4,204,0.333333333333333
"143",3,118,5,118,0.5
"144",5,104,4,104,0.25
"145",3,104,4,104,0.4
"146",3,104,5,104,0.333333333333333
"147",5,119,4,119,0.25
"148",3,119,4,119,0.666666666666667
"149",3,119,5,119,0.2
"150",5,116,4,116,0.2
"151",3,116,4,116,0.125
"152",3,116,5,116,0.285714285714286
"153",3,163,5,163,1
"154",5,214,4,214,0.2
"155",1,6,4,6,0.0952380952380953
"156",1,6,2,6,0.0869565217391304
"157",1,6,3,6,0.0416666666666666
"158",4,6,2,6,0.0833333333333334
"159",4,6,5,6,0.105263157894737
"160",4,6,3,6,0.0833333333333334
"161",2,6,5,6,0.0952380952380953
"162",2,6,3,6,0.166666666666667
"163",5,6,3,6,0.0952380952380953
"164",1,7,4,7,0.0555555555555556
"165",1,7,2,7,0.108108108108108
