"layer_from","layer_to","ave","sd","ave_dist","type","mean_dist_in_km"
1,2,0.55,NA,190474.5988,"empirical",190.4745988
1,3,0.310344827586207,NA,310640.4162,"empirical",310.6404162
1,4,0.391304347826087,NA,376892.6301,"empirical",376.8926301
1,5,0.115384615384615,NA,455676.6434,"empirical",455.6766434
2,3,0.413793103448276,NA,145159.7397,"empirical",145.1597397
2,4,0.521739130434783,NA,200274.2601,"empirical",200.2742601
2,5,0.185185185185185,NA,274346.546,"empirical",274.346546
3,4,0.555555555555556,NA,72875.52795,"empirical",72.87552795
3,5,0.56,NA,151088.9308,"empirical",151.0889308
4,5,0.375,NA,80112.73198,"empirical",80.11273198
1,2,0.0617234444727984,0.0502910453063072,190474.5988,"null_model_within",190.4745988
1,3,0.0370694004784959,0.0328707116643528,310640.4162,"null_model_within",310.6404162
1,4,0.0680275680966531,0.0518593902506011,376892.6301,"null_model_within",376.8926301
1,5,0.0260894367386725,0.0347823599350168,455676.6434,"null_model_within",455.6766434
2,3,0.0837666165113421,0.0479873259967357,145159.7397,"null_model_within",145.1597397
2,4,0.111081160215648,0.060889863996806,200274.2601,"null_model_within",200.2742601
2,5,0.0575834342008599,0.0489159573642606,274346.546,"null_model_within",274.346546
3,4,0.0942706458335235,0.0481427591277744,72875.52795,"null_model_within",72.87552795
3,5,0.0688411901029784,0.0433180073578946,151088.9308,"null_model_within",151.0889308
4,5,0.0913684212785001,0.0581417080571945,80112.73198,"null_model_within",80.11273198
