"node_to","layer_from","node_from"
104,3,1
104,4,1
110,3,1
113,3,1
115,3,1
134,3,1
138,3,1
138,4,1
139,3,1
139,4,1
140,3,1
144,3,1
144,4,1
152,3,1
160,3,1
162,3,1
162,4,1
166,3,1
171,3,1
182,4,1
184,3,1
189,3,1
191,3,1
192,3,1
202,3,1
213,3,1
214,4,1
220,3,1
222,4,1
223,3,1
223,4,1
224,4,1
225,3,1
225,4,1
226,3,1
226,4,1
227,3,1
229,3,1
231,3,1
43,3,1
49,3,1
49,4,1
58,3,1
65,4,1
66,3,1
71,4,1
73,4,1
75,3,1
75,4,1
93,3,1
93,4,1
138,2,10
138,3,10
138,4,10
139,2,10
139,3,10
139,4,10
200,2,10
200,4,10
226,2,10
226,3,10
226,4,10
43,2,10
43,3,10
44,2,10
46,2,10
46,3,10
46,4,10
47,2,10
47,3,10
47,4,10
49,2,10
49,3,10
49,4,10
61,2,10
75,2,10
75,3,10
75,4,10
135,3,11
156,3,11
184,3,11
220,3,11
40,3,11
75,3,11
83,3,11
109,1,12
123,1,12
123,3,12
184,3,12
196,1,12
220,3,12
225,1,12
225,3,12
226,1,12
226,3,12
49,3,12
75,1,12
75,3,12
132,1,13
168,1,13
226,1,13
139,2,14
139,3,14
139,4,14
221,2,14
226,2,14
226,3,14
226,4,14
46,2,14
46,3,14
46,4,14
75,2,14
75,3,14
75,4,14
103,1,15
104,3,15
104,4,15
106,1,15
108,2,15
108,3,15
109,1,15
114,2,15
114,3,15
116,3,15
116,4,15
118,3,15
121,3,15
121,4,15
123,1,15
123,3,15
124,1,15
124,4,15
130,1,15
133,4,15
138,1,15
138,2,15
138,3,15
138,4,15
139,2,15
139,3,15
139,4,15
142,1,15
144,1,15
144,2,15
144,3,15
144,4,15
150,3,15
162,3,15
162,4,15
170,2,15
170,4,15
173,1,15
182,2,15
182,4,15
183,1,15
183,3,15
183,4,15
184,2,15
184,3,15
188,1,15
190,1,15
196,1,15
198,1,15
203,1,15
203,3,15
213,3,15
220,3,15
221,2,15
224,4,15
226,1,15
226,2,15
226,3,15
226,4,15
230,3,15
232,2,15
234,1,15
234,2,15
234,3,15
234,4,15
42,1,15
43,1,15
43,2,15
43,3,15
46,1,15
46,2,15
46,3,15
46,4,15
48,1,15
49,2,15
49,3,15
49,4,15
50,3,15
50,4,15
57,1,15
58,2,15
58,3,15
59,1,15
61,2,15
62,1,15
66,1,15
66,3,15
71,4,15
72,1,15
74,1,15
75,1,15
75,2,15
75,3,15
75,4,15
78,1,15
78,2,15
81,3,15
81,4,15
82,1,15
93,1,15
93,2,15
93,3,15
93,4,15
140,3,16
46,3,16
47,3,16
75,3,16
46,2,17
139,3,18
139,4,18
209,3,18
211,3,18
220,3,18
47,3,18
47,4,18
49,3,18
49,4,18
75,3,18
75,4,18
137,5,19
139,5,19
148,5,19
169,5,19
204,5,19
226,5,19
81,5,19
104,3,2
104,4,2
104,5,2
116,3,2
116,4,2
116,5,2
117,3,2
117,5,2
119,3,2
119,4,2
119,5,2
235,5,2
46,3,2
46,4,2
46,5,2
75,3,2
75,4,2
75,5,2
81,3,2
81,4,2
81,5,2
95,5,2
62,1,20
74,1,20
87,1,20
153,3,21
164,3,21
220,3,21
46,3,21
75,3,21
169,2,22
109,1,23
117,2,23
117,3,23
138,1,23
138,2,23
138,3,23
138,4,23
139,2,23
139,3,23
139,4,23
142,1,23
182,2,23
182,4,23
184,2,23
184,3,23
203,1,23
203,3,23
220,3,23
225,1,23
225,2,23
225,3,23
225,4,23
226,1,23
226,2,23
226,3,23
226,4,23
228,1,23
43,1,23
43,2,23
43,3,23
46,1,23
46,2,23
46,3,23
46,4,23
47,2,23
47,3,23
47,4,23
49,2,23
49,3,23
49,4,23
62,1,23
66,1,23
66,3,23
68,1,23
68,3,23
68,4,23
74,1,23
75,1,23
75,2,23
75,3,23
75,4,23
226,3,24
75,3,24
91,3,24
75,3,25
102,3,26
104,3,26
116,3,26
117,3,26
139,3,26
140,3,26
152,3,26
178,3,26
213,3,26
229,3,26
43,3,26
46,3,26
75,3,26
105,5,27
116,3,27
116,4,27
116,5,27
119,3,27
119,4,27
119,5,27
127,3,27
129,3,27
139,3,27
139,4,27
139,5,27
144,3,27
144,4,27
144,5,27
149,4,27
156,3,27
158,3,27
158,4,27
163,3,27
163,5,27
174,4,27
174,5,27
179,3,27
183,3,27
183,4,27
184,3,27
197,3,27
197,4,27
199,3,27
199,4,27
202,3,27
203,3,27
203,5,27
204,3,27
204,4,27
204,5,27
205,4,27
212,3,27
219,5,27
43,3,27
49,3,27
49,4,27
50,3,27
50,4,27
75,3,27
75,4,27
75,5,27
90,4,27
90,5,27
91,3,27
92,3,27
93,3,27
93,4,27
93,5,27
94,3,27
99,5,27
218,1,28
74,1,28
83,1,28
124,4,29
138,4,29
138,5,29
139,4,29
139,5,29
144,4,29
144,5,29
162,4,29
162,5,29
177,5,29
183,4,29
208,5,29
224,4,29
226,4,29
226,5,29
233,4,29
49,4,29
71,4,29
75,4,29
75,5,29
116,3,3
116,5,3
152,3,3
175,5,3
178,3,3
178,5,3
184,3,3
213,3,3
213,5,3
43,3,3
75,3,3
75,5,3
108,2,30
108,3,30
138,2,30
138,3,30
138,4,30
139,2,30
139,3,30
139,4,30
166,2,30
166,3,30
178,2,30
178,3,30
214,4,30
220,3,30
223,2,30
223,3,30
223,4,30
49,2,30
49,3,30
49,4,30
61,2,30
75,2,30
75,3,30
75,4,30
96,2,30
116,3,31
116,4,31
116,5,31
121,3,31
121,4,31
138,2,31
138,3,31
138,4,31
138,5,31
144,2,31
144,3,31
144,4,31
144,5,31
146,2,31
147,3,31
158,2,31
158,3,31
158,4,31
160,3,31
160,5,31
165,4,31
166,2,31
166,3,31
183,3,31
183,4,31
199,3,31
199,4,31
203,3,31
203,5,31
204,3,31
204,4,31
204,5,31
219,5,31
43,2,31
43,3,31
50,3,31
50,4,31
54,4,31
61,2,31
63,3,31
75,2,31
75,3,31
75,4,31
75,5,31
94,2,31
94,3,31
196,1,32
224,4,32
46,1,32
46,4,32
83,1,32
83,4,32
131,3,33
139,3,33
139,5,33
158,3,33
220,3,33
225,3,33
225,5,33
75,3,33
75,5,33
102,3,34
118,3,34
118,5,34
139,2,34
139,3,34
139,5,34
140,3,34
141,3,34
150,3,34
162,3,34
162,5,34
183,3,34
184,2,34
184,3,34
191,3,34
191,5,34
220,3,34
225,2,34
225,3,34
225,5,34
226,2,34
226,3,34
226,5,34
227,2,34
227,3,34
43,2,34
43,3,34
49,2,34
49,3,34
58,2,34
58,3,34
61,2,34
75,2,34
75,3,34
75,5,34
78,2,34
227,3,4
229,3,4
75,3,4
75,3,5
101,2,6
107,5,6
109,1,6
111,4,6
111,5,6
116,3,6
116,4,6
116,5,6
119,3,6
119,4,6
119,5,6
122,4,6
138,1,6
138,2,6
138,3,6
138,4,6
138,5,6
139,2,6
139,3,6
139,4,6
139,5,6
144,1,6
144,2,6
144,3,6
144,4,6
144,5,6
150,3,6
158,2,6
158,3,6
158,4,6
159,1,6
160,3,6
160,5,6
166,2,6
166,3,6
183,1,6
183,3,6
183,4,6
184,2,6
184,3,6
185,3,6
186,1,6
186,4,6
191,3,6
191,5,6
196,1,6
197,1,6
197,2,6
197,3,6
197,4,6
199,3,6
199,4,6
203,1,6
203,3,6
203,5,6
206,2,6
214,4,6
214,5,6
216,3,6
220,3,6
224,4,6
225,1,6
225,2,6
225,3,6
225,4,6
225,5,6
48,1,6
49,2,6
49,3,6
49,4,6
52,1,6
53,4,6
56,2,6
66,1,6
66,3,6
68,1,6
68,3,6
68,4,6
71,4,6
75,1,6
75,2,6
75,3,6
75,4,6
75,5,6
79,3,6
79,5,6
83,1,6
83,2,6
83,3,6
83,4,6
84,3,6
89,5,6
93,1,6
93,2,6
93,3,6
93,4,6
93,5,6
96,2,6
96,5,6
100,1,7
102,3,7
104,3,7
104,4,7
104,5,7
108,2,7
108,3,7
111,4,7
111,5,7
116,3,7
116,4,7
116,5,7
119,3,7
119,4,7
119,5,7
120,3,7
138,1,7
138,2,7
138,3,7
138,4,7
138,5,7
139,2,7
139,3,7
139,4,7
139,5,7
141,3,7
144,1,7
144,2,7
144,3,7
144,4,7
144,5,7
147,3,7
154,1,7
155,3,7
158,2,7
158,3,7
158,4,7
165,1,7
165,4,7
166,2,7
166,3,7
167,3,7
172,4,7
174,4,7
174,5,7
175,5,7
177,1,7
177,5,7
181,1,7
183,1,7
183,3,7
183,4,7
184,2,7
184,3,7
186,1,7
186,4,7
193,5,7
194,1,7
195,5,7
196,1,7
197,1,7
197,2,7
197,3,7
197,4,7
201,1,7
203,1,7
203,3,7
203,5,7
206,2,7
207,3,7
210,2,7
214,4,7
214,5,7
215,1,7
217,1,7
218,1,7
220,3,7
223,2,7
223,3,7
223,4,7
223,5,7
224,4,7
225,1,7
225,2,7
225,3,7
225,4,7
225,5,7
227,2,7
227,3,7
229,3,7
41,4,7
43,1,7
43,2,7
43,3,7
45,2,7
48,1,7
49,2,7
49,3,7
49,4,7
55,1,7
58,2,7
58,3,7
61,2,7
62,1,7
63,3,7
64,3,7
66,1,7
66,3,7
67,3,7
70,3,7
75,1,7
75,2,7
75,3,7
75,4,7
75,5,7
76,1,7
77,5,7
81,3,7
81,4,7
81,5,7
85,5,7
86,3,7
88,1,7
88,2,7
89,5,7
90,4,7
90,5,7
93,1,7
93,2,7
93,3,7
93,4,7
93,5,7
97,3,7
98,3,7
99,5,7
104,3,8
104,4,8
104,5,8
107,5,8
112,5,8
114,3,8
114,5,8
115,3,8
116,3,8
116,4,8
116,5,8
117,3,8
117,5,8
119,3,8
119,4,8
119,5,8
120,3,8
125,4,8
138,3,8
138,4,8
138,5,8
139,3,8
139,4,8
139,5,8
143,5,8
144,3,8
144,4,8
144,5,8
145,3,8
148,3,8
148,5,8
157,3,8
158,3,8
158,4,8
160,3,8
160,5,8
161,5,8
165,4,8
174,4,8
174,5,8
176,5,8
180,3,8
184,3,8
187,3,8
199,3,8
199,4,8
200,4,8
200,5,8
203,3,8
203,5,8
204,3,8
204,4,8
204,5,8
212,3,8
213,3,8
213,5,8
214,4,8
214,5,8
219,5,8
225,3,8
225,4,8
225,5,8
43,3,8
46,3,8
46,4,8
46,5,8
49,3,8
49,4,8
50,3,8
50,4,8
51,3,8
60,5,8
68,3,8
68,4,8
75,3,8
75,4,8
75,5,8
79,3,8
79,5,8
80,5,8
83,3,8
83,4,8
85,5,8
89,5,8
93,3,8
93,4,8
93,5,8
96,5,8
114,2,9
117,2,9
126,2,9
128,2,9
136,2,9
139,2,9
144,2,9
151,2,9
158,2,9
166,2,9
197,2,9
200,2,9
43,2,9
44,2,9
46,2,9
61,2,9
69,2,9
75,2,9
93,2,9
96,2,9
