"module","node_id","layer_id","flow","type","species","size_of_module"
1,84,3,4.14778e-05,"pollinator","Chironomidae_sp.",89
1,8,4,0.0105225,"plant","Euphorbia.lamarckii",89
1,127,3,0.00013468,"pollinator","Fannia_sp.",89
1,205,4,9.08824e-05,"pollinator","Scymnus_canariensis",89
1,199,3,0.000493826,"pollinator","Sarcophagidae_sp._8",89
1,79,3,4.14778e-05,"pollinator","Ceratogoponidae_sp.",89
1,8,3,0.0110087,"plant","Euphorbia.lamarckii",89
1,94,2,5.72558e-05,"pollinator","Coccinella_miranda",89
1,35,3,4.48933e-05,"pollinator","Agromyzidae?_sp._2",89
1,157,3,8.09961e-05,"pollinator","Mordellistena_cf._canariensis",89
1,219,5,0.000445634,"pollinator","Thaumatomyia_notata",89
1,96,5,0.00127879,"pollinator","Colletes_dimidiatus",89
1,161,5,0.000196737,"pollinator","Mycetophilidae_sp._1",89
1,101,2,5.75169e-05,"pollinator","Curculionidae_sp.",89
1,75,1,0.00302108,"pollinator","Camponotus_feae",89
1,93,5,9.83683e-05,"pollinator","Chrysomya_albiceps",89
1,27,5,0.00860674,"plant","Periploca.laevigata",89
1,158,2,0.00108561,"pollinator","Musca_domestica",89
1,180,3,0.000242988,"pollinator","Phyto_discrepans",89
1,36,3,0.000210343,"pollinator","Agromyzidae_sp._1",89
1,129,3,4.48933e-05,"pollinator","Geometridae_sp.",89
1,25,3,0.000354494,"plant","Neochamaelea.pulverulenta",89
1,31,5,0.00154819,"plant","Rubia.fruticosa",89
1,186,4,9.1104e-05,"pollinator","Platypalpus_sp._1",89
1,31,3,0.00230945,"plant","Rubia.fruticosa",89
1,187,3,8.09961e-05,"pollinator","Platypalpus_sp._2",89
1,216,3,4.14778e-05,"pollinator","Tethina_marmorata",89
1,112,5,9.83683e-05,"pollinator","Empis_sp._1",89
1,85,5,0.000382305,"pollinator","Chironomidae_sp._1",89
1,111,5,8.35518e-05,"pollinator","Empididae_sp._1",89
1,165,4,0.000259217,"pollinator","Nyctia_lugubris",89
1,105,5,8.52238e-05,"pollinator","Delia_flavibasis",89
1,31,2,0.00473757,"plant","Rubia.fruticosa",89
1,5,3,7.08987e-05,"plant","Ceropegia.fusca",89
1,122,4,9.1104e-05,"pollinator","Eupelmus_testaceiventris",89
1,90,5,8.52238e-05,"pollinator","Chloropidae_sp._4",89
1,6,3,0.0114615,"plant","Euphorbia.balsamifera..f.",89
1,56,2,5.75169e-05,"pollinator","Atherigona_varia",89
1,197,3,0.000314253,"pollinator","Sarcophagidae_sp._5",89
1,125,4,0.000111339,"pollinator","Exetastes_segmentarius",89
1,68,3,8.09961e-05,"pollinator","Blaesoxipha_sp._1",89
1,33,5,6.80938e-05,"plant","Satureja.kuegleri",89
1,199,4,0.000498198,"pollinator","Sarcophagidae_sp._8",89
1,145,3,8.09961e-05,"pollinator","Macrocoma_splendens",89
1,60,5,9.83683e-05,"pollinator","Attalus_crispus",89
1,94,3,4.48933e-05,"pollinator","Coccinella_miranda",89
1,50,4,0.00181885,"pollinator","Aprostocetus_occidentalis",89
1,51,3,8.09961e-05,"pollinator","Aprostocetus_sp._2",89
1,149,4,0.000181765,"pollinator","Megaselia_sp._1",89
1,53,4,9.1104e-05,"pollinator","Araneidae_sp._1",89
1,6,5,0.00715859,"plant","Euphorbia.balsamifera..f.",89
1,27,4,0.0108862,"plant","Periploca.laevigata",89
1,143,5,9.83683e-05,"pollinator","Linnaemyia_soror",89
1,75,4,0.037889,"pollinator","Camponotus_feae",89
1,179,3,8.97866e-05,"pollinator","Physiphora_alceae",89
1,6,4,0.0116523,"plant","Euphorbia.balsamifera..f.",89
1,176,5,9.83683e-05,"pollinator","Perilampus_sp._2",89
1,174,4,0.000433737,"pollinator","Paratrechina_longicornis",89
1,50,3,0.000478266,"pollinator","Aprostocetus_occidentalis",89
1,146,2,5.72558e-05,"pollinator","Macroglossum_stellatarum",89
1,83,2,5.75169e-05,"pollinator","Chetogena_acuminata",89
1,160,5,0.000837435,"pollinator","Myathropa_florea",89
1,31,4,0.00398104,"plant","Rubia.fruticosa",89
1,213,5,9.83683e-05,"pollinator","Syritta_pipiens",89
1,150,3,0.000305604,"pollinator","Megaselia_sp._2",89
1,204,4,0.000452254,"pollinator","Sciaridae_sp._1",89
1,75,5,0.0418533,"pollinator","Camponotus_feae",89
1,204,3,0.000507266,"pollinator","Sciaridae_sp._1",89
1,79,5,0.000196737,"pollinator","Ceratogoponidae_sp.",89
1,80,5,9.83683e-05,"pollinator","Ceratogoponidae_sp._2",89
1,121,4,0.000147878,"pollinator","Eupelmus_sp.",89
1,200,5,9.83683e-05,"pollinator","Scaeva_albomaculata",89
1,6,2,0.0111921,"plant","Euphorbia.balsamifera..f.",89
1,92,3,4.48933e-05,"pollinator","Chloropidae_sp._6",89
1,54,4,0.000147878,"pollinator","Araneidae_sp._2",89
1,148,3,8.09961e-05,"pollinator","Megachile_canariensis",89
