"layer_id","module","lat","Lon","size_of_module","count"
1,16,26.161,-14.4222,10,1
1,4,26.161,-14.4222,14,1
1,11,26.161,-14.4222,6,1
1,3,26.161,-14.4222,53,1
1,9,26.161,-14.4222,23,1
1,25,26.161,-14.4222,4,1
1,28,26.161,-14.4222,5,1
1,14,26.161,-14.4222,10,1
2,1,28.5643,-13.8914,49,1
2,2,28.5643,-13.8914,53,1
2,4,28.5643,-13.8914,14,1
2,8,28.5643,-13.8914,21,1
2,9,28.5643,-13.8914,23,1
2,24,28.5643,-13.8914,8,1
2,3,28.5643,-13.8914,53,1
2,12,28.5643,-13.8914,8,1
2,31,28.5643,-13.8914,3,1
2,11,28.5643,-13.8914,6,1
2,38,28.5643,-13.8914,2,1
2,5,28.5643,-13.8914,16,1
2,33,28.5643,-13.8914,3,1
2,22,28.5643,-13.8914,5,1
3,1,27.9041,-15.4331,49,1
3,19,27.9041,-15.4331,9,1
3,38,27.9041,-15.4331,2,1
3,2,27.9041,-15.4331,53,1
3,30,27.9041,-15.4331,2,1
3,8,27.9041,-15.4331,21,1
3,3,27.9041,-15.4331,53,1
3,18,27.9041,-15.4331,12,1
3,12,27.9041,-15.4331,8,1
3,9,27.9041,-15.4331,23,1
3,22,27.9041,-15.4331,5,1
3,31,27.9041,-15.4331,3,1
3,15,27.9041,-15.4331,15,1
3,35,27.9041,-15.4331,3,1
3,5,27.9041,-15.4331,16,1
3,10,27.9041,-15.4331,23,1
3,13,27.9041,-15.4331,6,1
3,11,27.9041,-15.4331,6,1
4,6,28.2222,-16.4173,39,1
4,1,28.2222,-16.4173,49,1
4,10,28.2222,-16.4173,23,1
4,2,28.2222,-16.4173,53,1
4,21,28.2222,-16.4173,8,1
4,7,28.2222,-16.4173,29,1
4,39,28.2222,-16.4173,2,1
4,26,28.2222,-16.4173,6,1
4,5,28.2222,-16.4173,16,1
4,8,28.2222,-16.4173,21,1
4,19,28.2222,-16.4173,9,1
4,3,28.2222,-16.4173,53,1
4,37,28.2222,-16.4173,2,1
4,34,28.2222,-16.4173,3,1
4,15,28.2222,-16.4173,15,1
4,32,28.2222,-16.4173,5,1
4,36,28.2222,-16.4173,2,1
4,12,28.2222,-16.4173,8,1
4,13,28.2222,-16.4173,6,1
4,29,28.2222,-16.4173,2,1
4,11,28.2222,-16.4173,6,1
5,21,28.3531,-16.9123,8,1
5,7,28.3531,-16.9123,29,1
5,8,28.3531,-16.9123,21,1
5,1,28.3531,-16.9123,49,1
5,2,28.3531,-16.9123,53,1
5,15,28.3531,-16.9123,15,1
5,37,28.3531,-16.9123,2,1
5,5,28.3531,-16.9123,16,1
5,17,28.3531,-16.9123,10,1
5,42,28.3531,-16.9123,2,1
5,10,28.3531,-16.9123,23,1
5,12,28.3531,-16.9123,8,1
5,23,28.3531,-16.9123,6,1
5,9,28.3531,-16.9123,23,1
5,41,28.3531,-16.9123,2,1
5,27,28.3531,-16.9123,3,1
5,13,28.3531,-16.9123,6,1
5,6,28.3531,-16.9123,39,1
5,11,28.3531,-16.9123,6,1
5,32,28.3531,-16.9123,5,1
5,39,28.3531,-16.9123,2,1
5,22,28.3531,-16.9123,5,1
5,3,28.3531,-16.9123,53,1
5,40,28.3531,-16.9123,2,1
6,7,28.0398,-17.2267,29,1
6,3,28.0398,-17.2267,53,1
6,2,28.0398,-17.2267,53,1
6,17,28.0398,-17.2267,10,1
6,6,28.0398,-17.2267,39,1
6,1,28.0398,-17.2267,49,1
6,31,28.0398,-17.2267,3,1
6,32,28.0398,-17.2267,5,1
6,19,28.0398,-17.2267,9,1
6,4,28.0398,-17.2267,14,1
6,8,28.0398,-17.2267,21,1
6,10,28.0398,-17.2267,23,1
6,35,28.0398,-17.2267,3,1
6,5,28.0398,-17.2267,16,1
6,36,28.0398,-17.2267,2,1
6,15,28.0398,-17.2267,15,1
6,22,28.0398,-17.2267,5,1
6,27,28.0398,-17.2267,3,1
6,26,28.0398,-17.2267,6,1
6,13,28.0398,-17.2267,6,1
6,11,28.0398,-17.2267,6,1
7,2,27.8047,-17.8954,53,1
7,6,27.8047,-17.8954,39,1
7,10,27.8047,-17.8954,23,1
7,17,27.8047,-17.8954,10,1
7,40,27.8047,-17.8954,2,1
7,1,27.8047,-17.8954,49,1
7,23,27.8047,-17.8954,6,1
7,20,27.8047,-17.8954,7,1
7,27,27.8047,-17.8954,3,1
7,15,27.8047,-17.8954,15,1
7,41,27.8047,-17.8954,2,1
7,22,27.8047,-17.8954,5,1
7,29,27.8047,-17.8954,2,1
7,13,27.8047,-17.8954,6,1
