"trial_number","layer_from","node_from","layer_to","node_to"
327,1,226,"7",226
327,1,60,"10",60
327,1,60,"13",60
327,1,60,"14",60
327,1,60,"2",60
327,1,60,"4",60
327,1,60,"8",60
327,1,60,"9",60
327,1,89,"2",89
327,1,81,"3",81
327,1,81,"8",81
327,1,55,"11",55
327,1,55,"12",55
327,1,55,"14",55
327,1,55,"2",55
327,1,55,"4",55
327,1,55,"5",55
327,1,55,"6",55
327,1,55,"7",55
327,1,55,"8",55
327,1,55,"9",55
327,1,50,"11",50
327,1,50,"2",50
327,1,50,"3",50
327,1,50,"4",50
327,1,50,"6",50
327,1,50,"7",50
327,1,50,"8",50
327,1,230,"6",230
327,1,111,"10",111
327,1,111,"11",111
327,1,111,"12",111
327,1,111,"13",111
327,1,111,"14",111
327,1,111,"6",111
327,1,115,"12",115
327,1,115,"5",115
327,1,235,"10",235
327,1,235,"14",235
327,1,235,"4",235
327,1,235,"8",235
327,1,193,"4",193
327,1,165,"11",165
327,1,165,"12",165
327,1,165,"13",165
327,1,165,"14",165
327,1,165,"3",165
327,1,165,"4",165
327,1,165,"6",165
327,1,165,"7",165
327,1,165,"8",165
327,1,170,"10",170
327,1,170,"11",170
327,1,170,"12",170
327,1,170,"13",170
327,1,170,"14",170
327,1,170,"2",170
327,1,170,"3",170
327,1,170,"4",170
327,1,170,"5",170
327,1,170,"8",170
327,1,284,"10",284
327,1,284,"11",284
327,1,284,"12",284
327,1,284,"14",284
327,1,284,"2",284
327,1,284,"4",284
327,1,284,"6",284
327,1,284,"7",284
327,1,141,"10",141
327,1,141,"11",141
327,1,141,"12",141
327,1,141,"14",141
327,1,141,"2",141
327,1,87,"6",87
327,1,227,"14",227
327,1,211,"3",211
327,1,211,"5",211
327,1,211,"8",211
327,1,210,"12",210
327,1,167,"7",167
327,1,254,"12",254
327,1,254,"6",254
327,1,254,"8",254
327,1,92,"10",92
327,1,92,"11",92
327,1,92,"12",92
327,1,92,"13",92
327,1,92,"2",92
327,1,92,"3",92
327,1,92,"6",92
327,1,92,"7",92
327,1,92,"8",92
327,1,92,"9",92
327,1,199,"13",199
327,1,199,"14",199
327,1,199,"8",199
327,1,213,"8",213
327,1,130,"4",130
327,1,130,"9",130
327,1,62,"12",62
327,1,62,"4",62
327,1,163,"11",163
327,1,163,"13",163
327,1,163,"2",163
327,1,163,"3",163
327,1,163,"4",163
327,1,163,"5",163
327,1,163,"7",163
327,1,163,"8",163
327,1,163,"9",163
327,1,275,"10",275
327,1,275,"11",275
327,1,275,"12",275
327,1,275,"13",275
327,1,275,"14",275
327,1,275,"3",275
327,1,275,"4",275
327,1,275,"6",275
327,1,275,"7",275
327,1,275,"8",275
327,1,275,"9",275
327,1,140,"12",140
327,1,140,"9",140
327,1,49,"4",49
327,10,275,"1",275
327,10,275,"11",275
327,10,275,"12",275
327,10,275,"13",275
327,10,275,"14",275
327,10,275,"3",275
327,10,275,"4",275
327,10,275,"6",275
327,10,275,"7",275
327,10,275,"8",275
327,10,275,"9",275
327,10,232,"13",232
327,10,216,"11",216
327,10,216,"12",216
327,10,216,"14",216
327,10,216,"2",216
327,10,216,"6",216
327,10,216,"8",216
327,10,76,"3",76
327,10,44,"2",44
327,10,44,"5",44
327,10,44,"7",44
327,10,44,"8",44
327,10,145,"5",145
327,10,111,"1",111
327,10,111,"11",111
327,10,111,"12",111
327,10,111,"13",111
327,10,111,"14",111
327,10,111,"6",111
327,10,276,"11",276
327,10,276,"4",276
327,10,276,"5",276
327,10,141,"1",141
327,10,141,"11",141
327,10,141,"12",141
327,10,141,"14",141
327,10,141,"2",141
327,10,190,"11",190
327,10,190,"5",190
327,10,103,"13",103
327,10,203,"14",203
327,10,284,"1",284
327,10,284,"11",284
327,10,284,"12",284
