"trial_number","layer_from","node_from","layer_to","node_to"
560,1,56,"2",56
560,1,56,"5",56
560,1,56,"6",56
560,1,275,"10",275
560,1,275,"11",275
560,1,275,"12",275
560,1,275,"14",275
560,1,275,"2",275
560,1,275,"3",275
560,1,275,"4",275
560,1,275,"5",275
560,1,275,"6",275
560,1,275,"7",275
560,1,275,"8",275
560,1,197,"13",197
560,1,197,"2",197
560,1,230,"12",230
560,1,44,"4",44
560,1,44,"5",44
560,1,44,"6",44
560,1,44,"7",44
560,1,199,"12",199
560,1,199,"13",199
560,1,199,"8",199
560,1,241,"4",241
560,1,241,"8",241
560,1,284,"12",284
560,1,284,"13",284
560,1,284,"14",284
560,1,284,"2",284
560,1,284,"3",284
560,1,284,"4",284
560,1,284,"8",284
560,1,284,"9",284
560,1,60,"13",60
560,1,60,"14",60
560,1,60,"2",60
560,1,60,"4",60
560,1,60,"5",60
560,1,60,"8",60
560,1,60,"9",60
560,1,50,"10",50
560,1,50,"14",50
560,1,50,"3",50
560,1,50,"6",50
560,1,50,"7",50
560,1,50,"8",50
560,1,50,"9",50
560,1,216,"12",216
560,1,216,"13",216
560,1,216,"4",216
560,1,216,"5",216
560,1,216,"7",216
560,1,216,"8",216
560,1,238,"11",238
560,1,238,"14",238
560,1,238,"7",238
560,1,135,"10",135
560,1,270,"13",270
560,1,270,"2",270
560,1,270,"4",270
560,1,115,"11",115
560,1,115,"4",115
560,1,276,"2",276
560,1,276,"3",276
560,1,276,"9",276
560,1,213,"6",213
560,1,81,"10",81
560,1,81,"6",81
560,1,242,"13",242
560,1,242,"2",242
560,1,242,"4",242
560,1,242,"6",242
560,1,242,"8",242
560,1,242,"9",242
560,1,55,"10",55
560,1,55,"11",55
560,1,55,"12",55
560,1,55,"13",55
560,1,55,"14",55
560,1,55,"2",55
560,1,55,"4",55
560,1,55,"6",55
560,1,55,"7",55
560,1,55,"9",55
560,1,140,"10",140
560,1,140,"6",140
560,1,266,"7",266
560,1,266,"9",266
560,1,165,"10",165
560,1,165,"13",165
560,1,165,"14",165
560,1,165,"3",165
560,1,165,"4",165
560,1,165,"5",165
560,1,165,"7",165
560,1,165,"8",165
560,1,165,"9",165
560,1,187,"11",187
560,1,187,"12",187
560,1,187,"13",187
560,1,187,"14",187
560,1,187,"2",187
560,1,187,"3",187
560,1,187,"4",187
560,1,187,"6",187
560,1,187,"8",187
560,1,274,"10",274
560,1,274,"11",274
560,1,274,"12",274
560,1,274,"13",274
560,1,274,"14",274
560,1,274,"2",274
560,1,274,"3",274
560,1,274,"6",274
560,1,274,"7",274
560,1,274,"8",274
560,1,274,"9",274
560,1,262,"3",262
560,1,181,"5",181
560,1,138,"10",138
560,1,138,"14",138
560,1,138,"3",138
560,1,138,"4",138
560,1,138,"8",138
560,10,273,"13",273
560,10,135,"1",135
560,10,258,"7",258
560,10,140,"1",140
560,10,140,"6",140
560,10,170,"11",170
560,10,170,"12",170
560,10,170,"13",170
560,10,170,"14",170
560,10,170,"2",170
560,10,170,"3",170
560,10,170,"6",170
560,10,170,"7",170
560,10,170,"8",170
560,10,170,"9",170
560,10,274,"1",274
560,10,274,"11",274
560,10,274,"12",274
560,10,274,"13",274
560,10,274,"14",274
560,10,274,"2",274
560,10,274,"3",274
560,10,274,"6",274
560,10,274,"7",274
560,10,274,"8",274
560,10,274,"9",274
560,10,54,"5",54
560,10,194,"8",194
560,10,92,"11",92
560,10,92,"12",92
560,10,92,"13",92
560,10,92,"14",92
560,10,92,"2",92
560,10,92,"4",92
560,10,92,"5",92
560,10,92,"6",92
560,10,92,"7",92
560,10,92,"8",92
560,10,225,"12",225
560,10,225,"6",225
560,10,50,"1",50
560,10,50,"14",50
560,10,50,"3",50
560,10,50,"6",50
560,10,50,"7",50
560,10,50,"8",50
560,10,50,"9",50
560,10,55,"1",55
560,10,55,"11",55
560,10,55,"12",55
560,10,55,"13",55
560,10,55,"14",55
560,10,55,"2",55
560,10,55,"4",55
560,10,55,"6",55
560,10,55,"7",55
560,10,55,"9",55
560,10,217,"13",217
560,10,217,"3",217
560,10,217,"5",217
560,10,217,"7",217
560,10,272,"2",272
560,10,62,"6",62
560,10,62,"8",62
560,10,111,"11",111
560,10,111,"12",111
560,10,111,"13",111
560,10,111,"2",111
560,10,111,"4",111
560,10,111,"8",111
560,10,275,"1",275
560,10,275,"11",275
560,10,275,"12",275
560,10,275,"14",275
560,10,275,"2",275
560,10,275,"3",275
560,10,275,"4",275
560,10,275,"5",275
560,10,275,"6",275
560,10,275,"7",275
560,10,275,"8",275
560,10,143,"5",143
560,10,210,"12",210
560,10,73,"13",73
560,10,73,"14",73
560,10,145,"8",145
560,10,109,"8",109
560,10,130,"12",130
560,10,130,"3",130
560,10,234,"3",234
560,10,175,"13",175
560,10,192,"3",192
560,10,192,"4",192
560,10,192,"7",192
560,10,192,"8",192
560,10,101,"11",101
560,10,101,"14",101
560,10,101,"2",101
560,10,101,"5",101
560,10,101,"6",101
560,10,212,"9",212
560,10,165,"1",165
560,10,165,"13",165
560,10,165,"14",165
560,10,165,"3",165
560,10,165,"4",165
